Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,1.30781,1.32141,1.30153,1.31897,2498531.2276999997
31.07.2019 16:00:00.000 GMT-0500,1.31896,1.33456,1.31773,1.33085,3503171.364299999
31.08.2019 16:00:00.000 GMT-0500,1.33157,1.33823,1.31333,1.32397,2291234.0824000025
30.09.2019 16:00:00.000 GMT-0500,1.32397,1.33476,1.30417,1.31621,2756433.181399998
31.10.2019 16:00:00.000 GMT-0500,1.31621,1.33273,1.31151,1.32727,1759479.5481999991
30.11.2019 16:00:00.000 GMT-0600,1.32723,1.33206,1.29514,1.29853,1626705.1307999995
31.12.2019 16:00:00.000 GMT-0600,1.29842,1.32532,1.29566,1.32347,2084966.0413000002
31.01.2020 16:00:00.000 GMT-0600,1.32374,1.34642,1.32018,1.33965,3605632.5122999987
29.02.2020 16:00:00.000 GMT-0600,1.34330,1.46675,1.33146,1.40595,5330775.597300001
31.03.2020 16:00:00.000 GMT-0500,1.40595,1.42986,1.38498,1.39439,3846004.796200001
30.04.2020 16:00:00.000 GMT-0500,1.39439,1.41726,1.37141,1.37660,2519921.2605999983
31.05.2020 16:00:00.000 GMT-0500,1.37761,1.38004,1.33149,1.35739,3636253.971400002
30.06.2020 16:00:00.000 GMT-0500,1.35760,1.36460,1.33307,1.34097,2577165.215899999
31.07.2020 16:00:00.000 GMT-0500,1.34001,1.34509,1.30199,1.30461,3139227.527800002
31.08.2020 16:00:00.000 GMT-0500,1.30456,1.34201,1.29938,1.33156,2672589.637800001
30.09.2020 16:00:00.000 GMT-0500,1.33161,1.33897,1.30806,1.33185,1983040.0067999996
31.10.2020 16:00:00.000 GMT-0500,1.33151,1.33702,1.29228,1.29967,2019095.3408999988
30.11.2020 16:00:00.000 GMT-0600,1.29967,1.30078,1.26876,1.27219,1728647.7909000001
31.12.2020 16:00:00.000 GMT-0600,1.27136,1.28810,1.25885,1.27718,1997447.232400001
31.01.2021 16:00:00.000 GMT-0600,1.27865,1.28695,1.24676,1.27346,1768453.9701000017
28.02.2021 16:00:00.000 GMT-0600,1.27284,1.27370,1.23647,1.25612,2233480.1808999996
31.03.2021 16:00:00.000 GMT-0500,1.25612,1.26532,1.22656,1.22865,1449128.4323999996
30.04.2021 16:00:00.000 GMT-0500,1.22875,1.23513,1.20124,1.20621,1642901.1009999989
31.05.2021 16:00:00.000 GMT-0500,1.20629,1.24866,1.20064,1.23955,1653568.4921999995
30.06.2021 16:00:00.000 GMT-0500,1.23949,1.28072,1.23023,1.24661,2096109.2600999982
31.07.2021 16:00:00.000 GMT-0500,1.24784,1.29487,1.24525,1.26146,1704671.9207999997
31.08.2021 16:00:00.000 GMT-0500,1.26141,1.28956,1.24932,1.26771,2137318.3101000013
30.09.2021 16:00:00.000 GMT-0500,1.26772,1.27383,1.22879,1.23823,1969912.8392999994
31.10.2021 16:00:00.000 GMT-0500,1.23804,1.28367,1.23514,1.27760,2107052.2122000004
30.11.2021 16:00:00.000 GMT-0600,1.27756,1.29633,1.26063,1.26356,2320189.7098000003
31.12.2021 16:00:00.000 GMT-0600,1.26327,1.28134,1.24497,1.27049,2836562.550600001
31.01.2022 16:00:00.000 GMT-0600,1.27049,1.28771,1.26355,1.26703,3156523.3997999984
28.02.2022 16:00:00.000 GMT-0600,1.26702,1.29006,1.24293,1.25032,3438355.3989999983
31.03.2022 16:00:00.000 GMT-0500,1.24963,1.28792,1.24024,1.28536,2624105.001700003
30.04.2022 16:00:00.000 GMT-0500,1.28291,1.30761,1.26287,1.26445,3662469.6200000006
31.05.2022 16:00:00.000 GMT-0500,1.26455,1.30785,1.25172,1.28716,3496250.054199999
30.06.2022 16:00:00.000 GMT-0500,1.28713,1.32233,1.27881,1.27925,3528186.6492999992
31.07.2022 16:00:00.000 GMT-0500,1.27974,1.31401,1.27272,1.31263,4705928.432200008
31.08.2022 16:00:00.000 GMT-0500,1.31263,1.38376,1.29533,1.38305,6367339.845400005
30.09.2022 16:00:00.000 GMT-0500,1.38085,1.39769,1.34946,1.36214,7463672.148499997
31.10.2022 16:00:00.000 GMT-0500,1.36200,1.38075,1.32254,1.34078,6497358.3977000015
30.11.2022 16:00:00.000 GMT-0600,1.34218,1.37046,1.33842,1.35460,4325644.366600002
31.12.2022 16:00:00.000 GMT-0600,1.35256,1.36849,1.32983,1.33042,3366527.7098000012
31.01.2023 16:00:00.000 GMT-0600,1.33041,1.36647,1.32616,1.36450,3099275.0479000015
28.02.2023 16:00:00.000 GMT-0600,1.36447,1.38615,1.35070,1.35132,3896863.496700003
31.03.2023 16:00:00.000 GMT-0500,1.34941,1.36675,1.33001,1.35412,1710359.9799000008
30.04.2023 16:00:00.000 GMT-0500,1.35333,1.36542,1.33143,1.35715,1674357.4723000014
31.05.2023 16:00:00.000 GMT-0500,1.35715,1.35846,1.31160,1.32431,1726948.6071000008
30.06.2023 16:00:00.000 GMT-0500,1.32334,1.33867,1.30920,1.32130,759414.3699999984
