Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,1.30781,1.31448,1.30373,1.30772,441282.38090000016
07.07.2019 16:00:00.000 GMT-0500,1.30683,1.31437,1.30176,1.30262,486819.74649999995
14.07.2019 16:00:00.000 GMT-0500,1.30268,1.31095,1.30153,1.30565,524929.1896000002
21.07.2019 16:00:00.000 GMT-0500,1.30584,1.31988,1.30401,1.31654,625717.6689
28.07.2019 16:00:00.000 GMT-0500,1.31624,1.32657,1.31048,1.32014,924252.9831999998
04.08.2019 16:00:00.000 GMT-0500,1.32093,1.33446,1.31773,1.32205,959726.3111999999
11.08.2019 16:00:00.000 GMT-0500,1.31984,1.33391,1.31841,1.32642,824160.1921000001
18.08.2019 16:00:00.000 GMT-0500,1.32618,1.33456,1.32506,1.32808,544199.3691
25.08.2019 16:00:00.000 GMT-0500,1.32903,1.33333,1.32247,1.33085,670614.7504999997
01.09.2019 16:00:00.000 GMT-0500,1.33157,1.33823,1.31576,1.31653,554222.5287
08.09.2019 16:00:00.000 GMT-0500,1.31762,1.32872,1.31333,1.32852,496543.5815
15.09.2019 16:00:00.000 GMT-0500,1.32211,1.33097,1.32093,1.32614,601389.1797000001
22.09.2019 16:00:00.000 GMT-0500,1.32597,1.33046,1.32135,1.32464,532284.7921000001
29.09.2019 16:00:00.000 GMT-0500,1.32344,1.33476,1.32055,1.33037,678019.5446999997
06.10.2019 16:00:00.000 GMT-0500,1.33226,1.33453,1.31707,1.31995,761333.9791999998
13.10.2019 16:00:00.000 GMT-0500,1.32016,1.32392,1.31191,1.31218,554551.7171999998
20.10.2019 16:00:00.000 GMT-0500,1.31334,1.31378,1.30526,1.30546,485890.0995000002
27.10.2019 16:00:00.000 GMT-0500,1.30616,1.32081,1.30417,1.31393,485497.53159999993
03.11.2019 16:00:00.000 GMT-0600,1.31363,1.32368,1.31151,1.32258,456171.1300000001
10.11.2019 16:00:00.000 GMT-0600,1.32196,1.32704,1.32123,1.32210,410143.5494999999
17.11.2019 16:00:00.000 GMT-0600,1.32234,1.33273,1.31903,1.32964,441995.9109
24.11.2019 16:00:00.000 GMT-0600,1.32964,1.33188,1.32599,1.32727,349103.26739999995
01.12.2019 16:00:00.000 GMT-0600,1.32723,1.33206,1.31581,1.32484,376850.00959999993
08.12.2019 16:00:00.000 GMT-0600,1.32524,1.32648,1.31504,1.31655,440642.82009999995
15.12.2019 16:00:00.000 GMT-0600,1.31734,1.31859,1.31022,1.31486,401800.0703
22.12.2019 16:00:00.000 GMT-0600,1.31475,1.31764,1.30638,1.30779,230251.09969999996
29.12.2019 16:00:00.000 GMT-0600,1.30728,1.30841,1.29514,1.29972,414079.9210999998
05.01.2020 16:00:00.000 GMT-0600,1.29868,1.31046,1.29566,1.30492,510944.6268
12.01.2020 16:00:00.000 GMT-0600,1.30516,1.30792,1.30312,1.30639,425227.30350000004
19.01.2020 16:00:00.000 GMT-0600,1.30586,1.31713,1.30356,1.31428,439030.79070000007
26.01.2020 16:00:00.000 GMT-0600,1.31514,1.32532,1.31473,1.32347,472844.5303
02.02.2020 16:00:00.000 GMT-0600,1.32374,1.33208,1.32316,1.33042,509091.85999999987
09.02.2020 16:00:00.000 GMT-0600,1.32997,1.33291,1.32355,1.32483,2040478.7115999996
16.02.2020 16:00:00.000 GMT-0600,1.32495,1.32782,1.32018,1.32189,358757.9608000001
23.02.2020 16:00:00.000 GMT-0600,1.32504,1.34642,1.32430,1.33965,697303.9798999999
01.03.2020 16:00:00.000 GMT-0600,1.34330,1.34392,1.33146,1.34156,738388.0969000004
08.03.2020 16:00:00.000 GMT-0500,1.35447,1.39950,1.35173,1.38008,1149773.0112
15.03.2020 16:00:00.000 GMT-0500,1.38878,1.46675,1.37296,1.43309,1546361.3306999996
22.03.2020 16:00:00.000 GMT-0500,1.43525,1.45594,1.39206,1.39783,1418523.0877999996
29.03.2020 16:00:00.000 GMT-0500,1.40159,1.43487,1.40067,1.41964,1188529.6306000007
05.04.2020 16:00:00.000 GMT-0500,1.42242,1.42611,1.39305,1.39503,904134.1181000001
12.04.2020 16:00:00.000 GMT-0500,1.39244,1.41821,1.38551,1.39976,796180.7604000003
19.04.2020 16:00:00.000 GMT-0500,1.40154,1.42645,1.39996,1.40923,949077.1778999997
26.04.2020 16:00:00.000 GMT-0500,1.40839,1.41168,1.38498,1.40861,598091.8311000001
03.05.2020 16:00:00.000 GMT-0500,1.40835,1.41726,1.39083,1.39238,683401.7245000001
10.05.2020 16:00:00.000 GMT-0500,1.39323,1.41408,1.38996,1.41045,594560.8086000001
17.05.2020 16:00:00.000 GMT-0500,1.40932,1.41141,1.38662,1.40002,500985.0789000001
24.05.2020 16:00:00.000 GMT-0500,1.39882,1.40071,1.37141,1.37660,628694.9974000001
31.05.2020 16:00:00.000 GMT-0500,1.37761,1.38004,1.33912,1.34203,693837.0095999998
07.06.2020 16:00:00.000 GMT-0500,1.34084,1.36662,1.33149,1.35860,916938.1701000001
14.06.2020 16:00:00.000 GMT-0500,1.36009,1.36857,1.35044,1.36050,999192.5614999996
21.06.2020 16:00:00.000 GMT-0500,1.36131,1.37151,1.34854,1.36844,752257.7894
