Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,6.82964,6.91505,6.81651,6.90814,2627686.8277999996
31.07.2019 16:00:00.000 GMT-0500,6.90814,7.18352,6.90224,7.15967,4358147.080799999
31.08.2019 16:00:00.000 GMT-0500,7.17297,7.19605,7.03084,7.13845,3924224.263499996
30.09.2019 16:00:00.000 GMT-0500,7.13860,7.16817,7.02934,7.04553,4570679.588900002
31.10.2019 16:00:00.000 GMT-0500,7.04462,7.05327,6.95246,7.03042,3254536.515799998
30.11.2019 16:00:00.000 GMT-0600,7.02601,7.08678,6.92162,6.96077,3116482.5606999975
31.12.2019 16:00:00.000 GMT-0600,6.96361,7.00689,6.84550,6.99770,4072409.0844999994
31.01.2020 16:00:00.000 GMT-0600,6.99068,7.05727,6.95721,6.97728,4142700.9083
29.02.2020 16:00:00.000 GMT-0600,6.99239,7.16507,6.90452,7.09243,6574939.385200006
31.03.2020 16:00:00.000 GMT-0500,7.09229,7.14213,7.03657,7.07917,4791436.879600002
30.04.2020 16:00:00.000 GMT-0500,7.07979,7.19631,7.07978,7.13292,4378366.313400001
31.05.2020 16:00:00.000 GMT-0500,7.13519,7.15167,7.03993,7.06693,3675073.6767000034
30.06.2020 16:00:00.000 GMT-0500,7.06646,7.07634,6.96410,6.98810,2647970.2838
31.07.2020 16:00:00.000 GMT-0500,6.98698,6.99354,6.84359,6.84619,3003066.6089000003
31.08.2020 16:00:00.000 GMT-0500,6.84941,6.86090,6.74217,6.78387,3015891.427300002
30.09.2020 16:00:00.000 GMT-0500,6.78337,6.79027,6.62751,6.69430,2772544.127300002
31.10.2020 16:00:00.000 GMT-0500,6.69329,6.77440,6.53173,6.58234,3424489.6255000043
30.11.2020 16:00:00.000 GMT-0600,6.58203,6.58306,6.48824,6.50098,2554373.3989999993
31.12.2020 16:00:00.000 GMT-0600,6.49701,6.51504,6.41162,6.45115,2789681.8612000016
31.01.2021 16:00:00.000 GMT-0600,6.44811,6.50823,6.40070,6.47775,2352726.836299998
28.02.2021 16:00:00.000 GMT-0600,6.47758,6.58377,6.45780,6.56188,3589747.9528000033
31.03.2021 16:00:00.000 GMT-0500,6.56228,6.58751,6.46130,6.47105,1967999.5281999987
30.04.2021 16:00:00.000 GMT-0500,6.47035,6.49294,6.35243,6.37180,2059919.3477
31.05.2021 16:00:00.000 GMT-0500,6.37174,6.49465,6.36041,6.46772,2228689.3572000014
30.06.2021 16:00:00.000 GMT-0500,6.46771,6.52847,6.45056,6.46061,2651000.3042999962
31.07.2021 16:00:00.000 GMT-0500,6.45889,6.51027,6.44707,6.45343,1923183.7296999982
31.08.2021 16:00:00.000 GMT-0500,6.45343,6.48787,6.42411,6.44847,2563870.659200001
30.09.2021 16:00:00.000 GMT-0500,6.44882,6.47049,6.36845,6.40306,2406738.5547999977
31.10.2021 16:00:00.000 GMT-0500,6.40598,6.40878,6.36140,6.36413,2505048.817300003
30.11.2021 16:00:00.000 GMT-0600,6.36403,6.39369,6.33042,6.36192,2061794.2746999986
31.12.2021 16:00:00.000 GMT-0600,6.36078,6.39753,6.32351,6.37017,2183470.5792000005
31.01.2022 16:00:00.000 GMT-0600,6.37018,6.38068,6.30578,6.31143,2245381.9213
28.02.2022 16:00:00.000 GMT-0600,6.31142,6.41059,6.30667,6.35439,2580715.9419999984
31.03.2022 16:00:00.000 GMT-0500,6.35209,6.69375,6.35132,6.64018,2785599.7910999986
30.04.2022 16:00:00.000 GMT-0500,6.64609,6.83723,6.61035,6.67620,4964866.5841999985
31.05.2022 16:00:00.000 GMT-0500,6.67433,6.78576,6.61586,6.69243,9812091.7161
30.06.2022 16:00:00.000 GMT-0500,6.69488,6.79155,6.68013,6.75012,15961305.175200012
31.07.2022 16:00:00.000 GMT-0500,6.73959,6.93260,6.71606,6.90430,21854756.82150001
31.08.2022 16:00:00.000 GMT-0500,6.90506,7.26710,6.88793,7.13892,16970203.2127
30.09.2022 16:00:00.000 GMT-0500,7.12082,7.37471,7.01233,7.33420,8142814.8374
31.10.2022 16:00:00.000 GMT-0500,7.33305,7.35616,7.01910,7.04285,7580735.261200002
30.11.2022 16:00:00.000 GMT-0600,7.04276,7.09084,6.90480,6.91672,5843116.594899998
31.12.2022 16:00:00.000 GMT-0600,6.90944,6.93921,6.69730,6.75425,4638748.617099998
31.01.2023 16:00:00.000 GMT-0600,6.75407,6.98956,6.70534,6.95236,3719314.659800003
28.02.2023 16:00:00.000 GMT-0600,6.95149,6.99622,6.81023,6.87125,4731337.381699999
31.03.2023 16:00:00.000 GMT-0500,6.86277,6.95053,6.82995,6.92477,3018746.7065
30.04.2023 16:00:00.000 GMT-0500,6.92456,7.13417,6.89604,7.11878,3269776.1211000034
31.05.2023 16:00:00.000 GMT-0500,7.11877,7.28551,7.06658,7.26524,3821236.747
30.06.2023 16:00:00.000 GMT-0500,7.26105,7.27428,7.12258,7.15434,1562063.919799996
