Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,22.3745,22.7575,22.3565,22.7027,216439.50989999998
07.07.2019 16:00:00.000 GMT-0500,22.6996,22.8155,22.6770,22.6938,226664.23160000006
14.07.2019 16:00:00.000 GMT-0500,22.6896,22.8557,22.6325,22.7409,241276.91889999993
21.07.2019 16:00:00.000 GMT-0500,22.7573,23.0062,22.7407,22.9742,276137.0397000001
28.07.2019 16:00:00.000 GMT-0500,22.9636,23.3500,22.9400,23.1668,385107.25890000013
04.08.2019 16:00:00.000 GMT-0500,23.1614,23.1834,22.9065,23.0741,390687.7093999999
11.08.2019 16:00:00.000 GMT-0500,23.0498,23.3075,23.0020,23.2072,378582.98010000004
18.08.2019 16:00:00.000 GMT-0500,23.1848,23.3255,23.1695,23.2160,281266.04
25.08.2019 16:00:00.000 GMT-0500,23.1905,23.6655,23.1405,23.5876,348670.2226
01.09.2019 16:00:00.000 GMT-0500,23.5992,23.6965,23.3245,23.4228,251388.2906
08.09.2019 16:00:00.000 GMT-0500,23.4239,23.6375,23.2625,23.3234,238257.6205
15.09.2019 16:00:00.000 GMT-0500,23.3251,23.5425,23.3125,23.4535,283157.1815
22.09.2019 16:00:00.000 GMT-0500,23.4710,23.6935,23.4485,23.6039,288579.7207
29.09.2019 16:00:00.000 GMT-0500,23.6047,23.7205,23.3724,23.4131,289362.18959999987
06.10.2019 16:00:00.000 GMT-0500,23.4091,23.5814,23.3124,23.3795,267186.79970000003
13.10.2019 16:00:00.000 GMT-0500,23.3626,23.4884,22.9251,22.9283,259461.42989999996
20.10.2019 16:00:00.000 GMT-0500,22.9553,23.0906,22.9154,23.0499,218680.88929999992
27.10.2019 16:00:00.000 GMT-0500,23.0621,23.0904,22.8134,22.8323,225523.33940000006
03.11.2019 16:00:00.000 GMT-0600,22.8384,23.1424,22.8254,23.1143,215668.17950000006
10.11.2019 16:00:00.000 GMT-0600,23.1169,23.2694,23.0971,23.1470,174683.94970000003
17.11.2019 16:00:00.000 GMT-0600,23.1258,23.1595,22.9814,23.1195,173209.8596
24.11.2019 16:00:00.000 GMT-0600,23.1284,23.2454,23.0718,23.1610,151692.59019999998
01.12.2019 16:00:00.000 GMT-0600,23.1442,23.2126,22.9574,23.0583,197976.72899999993
08.12.2019 16:00:00.000 GMT-0600,23.0726,23.0924,22.7784,22.8863,245154.00150000007
15.12.2019 16:00:00.000 GMT-0600,22.8964,22.9804,22.7724,22.9455,195092.8095000001
22.12.2019 16:00:00.000 GMT-0600,22.9414,23.0583,22.7496,22.7599,147170.7301
29.12.2019 16:00:00.000 GMT-0600,22.7468,22.7894,22.6044,22.7051,180739.47929999998
05.01.2020 16:00:00.000 GMT-0600,22.7104,22.7864,22.5334,22.7006,236042.33050000013
12.01.2020 16:00:00.000 GMT-0600,22.7124,22.7334,22.4554,22.6763,178761.29989999998
19.01.2020 16:00:00.000 GMT-0600,22.6424,22.8247,22.5134,22.8191,166387.41959999996
26.01.2020 16:00:00.000 GMT-0600,22.7855,22.9624,22.7080,22.7259,179145.28970000002
02.02.2020 16:00:00.000 GMT-0600,22.7020,22.8984,22.6034,22.8691,193008.42869999996
09.02.2020 16:00:00.000 GMT-0600,22.8714,22.9715,22.7524,22.9658,182658.31910000002
16.02.2020 16:00:00.000 GMT-0600,22.9184,23.2564,22.8464,23.0683,194671.709
23.02.2020 16:00:00.000 GMT-0600,23.1169,23.3493,22.9559,23.0527,410638.16029999993
01.03.2020 16:00:00.000 GMT-0600,23.0339,23.0574,22.3444,22.4783,628446.7899999999
08.03.2020 16:00:00.000 GMT-0500,22.4024,23.8270,22.2020,23.6540,815291.6277000001
15.03.2020 16:00:00.000 GMT-0500,23.6232,26.0694,23.5425,25.3474,573868.4883000002
22.03.2020 16:00:00.000 GMT-0500,25.4410,25.9432,24.4783,24.5183,632431.0414000002
29.03.2020 16:00:00.000 GMT-0500,24.5066,25.7778,24.4714,25.6253,430231.7413000002
05.04.2020 16:00:00.000 GMT-0500,25.5905,25.6701,24.5744,24.6309,375820.1705
12.04.2020 16:00:00.000 GMT-0500,24.5432,25.1884,24.3644,24.9902,343277.06060000014
19.04.2020 16:00:00.000 GMT-0500,24.9719,25.6473,24.9628,25.0479,318819.5210000001
26.04.2020 16:00:00.000 GMT-0500,25.0967,25.2728,24.5946,24.7395,227633.03049999994
03.05.2020 16:00:00.000 GMT-0500,24.7333,25.3614,24.7170,25.0955,222933.2305
10.05.2020 16:00:00.000 GMT-0500,25.1470,25.6462,25.0064,25.5813,241436.1612999999
17.05.2020 16:00:00.000 GMT-0500,25.5389,25.5832,24.6414,24.9700,230806.61049999995
24.05.2020 16:00:00.000 GMT-0500,25.0162,25.1274,24.1464,24.2074,256324.64149999994
31.05.2020 16:00:00.000 GMT-0500,24.1955,24.2465,23.3434,23.5351,348345.2213
07.06.2020 16:00:00.000 GMT-0500,23.4799,23.8574,23.2240,23.7186,419582.0914
14.06.2020 16:00:00.000 GMT-0500,23.7742,23.9312,23.4051,23.8215,457199.9884000001
21.06.2020 16:00:00.000 GMT-0500,23.7858,23.9934,23.4524,23.8291,279183.88149999996
28.06.2020 16:00:00.000 GMT-0500,23.8301,23.9617,23.5345,23.6817,249378.5906
05.07.2020 16:00:00.000 GMT-0500,23.7057,23.7830,23.4264,23.5920,246864.65939999997
