Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,6.57003,6.61619,6.56360,6.61329,148888.32009999998
01.07.2019 16:00:00.000 GMT-0500,6.61329,6.61929,6.59252,6.61320,127845.97990000002
02.07.2019 16:00:00.000 GMT-0500,6.61343,6.62363,6.59767,6.61659,112756.7314
03.07.2019 16:00:00.000 GMT-0500,6.61659,6.62023,6.60663,6.61312,76816.7099
04.07.2019 16:00:00.000 GMT-0500,6.61320,6.65893,6.61172,6.64699,127280.9997
07.07.2019 16:00:00.000 GMT-0500,6.64682,6.65781,6.64282,6.65340,91646.9701
08.07.2019 16:00:00.000 GMT-0500,6.65340,6.66685,6.65085,6.65919,105235.3097
09.07.2019 16:00:00.000 GMT-0500,6.65919,6.66315,6.62630,6.63390,139554.72090000001
10.07.2019 16:00:00.000 GMT-0500,6.63372,6.64036,6.61644,6.63450,153310.17960000003
11.07.2019 16:00:00.000 GMT-0500,6.63523,6.64442,6.62252,6.62460,140628.38880000002
14.07.2019 16:00:00.000 GMT-0500,6.62623,6.63545,6.61649,6.63257,94781.0306
15.07.2019 16:00:00.000 GMT-0500,6.63240,6.66557,6.62909,6.66005,135704.6797
16.07.2019 16:00:00.000 GMT-0500,6.66007,6.66732,6.64724,6.65277,106533.40929999998
17.07.2019 16:00:00.000 GMT-0500,6.65277,6.66383,6.61900,6.61980,138852.2513
18.07.2019 16:00:00.000 GMT-0500,6.62023,6.66328,6.61733,6.65170,142300.2406
21.07.2019 16:00:00.000 GMT-0500,6.65545,6.66234,6.65089,6.65982,85271.87039999997
22.07.2019 16:00:00.000 GMT-0500,6.65982,6.69746,6.65942,6.69376,96237.37929999999
23.07.2019 16:00:00.000 GMT-0500,6.69369,6.70929,6.69150,6.70134,108481.60910000002
24.07.2019 16:00:00.000 GMT-0500,6.70134,6.72406,6.67356,6.69760,150606.36079999997
25.07.2019 16:00:00.000 GMT-0500,6.69750,6.72031,6.69559,6.70960,104824.9912
28.07.2019 16:00:00.000 GMT-0500,6.70932,6.71883,6.69558,6.69920,88196.1499
29.07.2019 16:00:00.000 GMT-0500,6.69920,6.70695,6.69051,6.69403,107231.83930000002
30.07.2019 16:00:00.000 GMT-0500,6.69403,6.75162,6.68950,6.74181,150827.33069999996
31.07.2019 16:00:00.000 GMT-0500,6.74174,6.77056,6.72870,6.73510,200511.9806
01.08.2019 16:00:00.000 GMT-0500,6.73468,6.74452,6.71631,6.72210,209109.2494
04.08.2019 16:00:00.000 GMT-0500,6.71698,6.72302,6.65633,6.66207,197418.82049999997
05.08.2019 16:00:00.000 GMT-0500,6.66186,6.68375,6.63433,6.66401,210082.41090000002
06.08.2019 16:00:00.000 GMT-0500,6.66370,6.67573,6.63814,6.66191,250757.04829999997
07.08.2019 16:00:00.000 GMT-0500,6.66181,6.67608,6.64323,6.67369,222375.5083
08.08.2019 16:00:00.000 GMT-0500,6.67369,6.67400,6.64982,6.66290,147022.9495
11.08.2019 16:00:00.000 GMT-0500,6.66120,6.68630,6.64554,6.65583,163044.1097
12.08.2019 16:00:00.000 GMT-0500,6.65581,6.68094,6.64653,6.68036,236936.5371
13.08.2019 16:00:00.000 GMT-0500,6.68036,6.70131,6.66615,6.69550,179599.80120000002
14.08.2019 16:00:00.000 GMT-0500,6.69620,6.72493,6.68455,6.71500,219708.93999999994
15.08.2019 16:00:00.000 GMT-0500,6.71480,6.73972,6.71208,6.72270,153668.4297
18.08.2019 16:00:00.000 GMT-0500,6.71936,6.73233,6.71059,6.73100,86828.9689
19.08.2019 16:00:00.000 GMT-0500,6.73090,6.73782,6.71280,6.71570,89806.06979999998
20.08.2019 16:00:00.000 GMT-0500,6.71600,6.72833,6.71301,6.72600,82608.9302
21.08.2019 16:00:00.000 GMT-0500,6.72600,6.73875,6.70915,6.72840,107637.67979999998
22.08.2019 16:00:00.000 GMT-0500,6.72840,6.74592,6.68610,6.69149,139431.45930000002
25.08.2019 16:00:00.000 GMT-0500,6.68703,6.72116,6.67857,6.71749,145547.81970000008
26.08.2019 16:00:00.000 GMT-0500,6.71640,6.72633,6.70843,6.72340,109723.5294
27.08.2019 16:00:00.000 GMT-0500,6.72340,6.73418,6.71910,6.73021,111784.7296
28.08.2019 16:00:00.000 GMT-0500,6.73010,6.75234,6.72181,6.74310,107264.85
29.08.2019 16:00:00.000 GMT-0500,6.74310,6.80055,6.74094,6.78380,115526.55949999999
01.09.2019 16:00:00.000 GMT-0500,6.78332,6.80413,6.77998,6.79577,70294.45009999999
02.09.2019 16:00:00.000 GMT-0500,6.79580,6.82422,6.79180,6.79410,125110.8796
03.09.2019 16:00:00.000 GMT-0500,6.79439,6.79806,6.75700,6.75865,107268.66950000002
04.09.2019 16:00:00.000 GMT-0500,6.75810,6.77013,6.72993,6.76043,112945.05110000001
05.09.2019 16:00:00.000 GMT-0500,6.76013,6.77019,6.74767,6.76670,107340.37990000001
08.09.2019 16:00:00.000 GMT-0500,6.76583,6.77339,6.73923,6.75090,84387.44039999999
09.09.2019 16:00:00.000 GMT-0500,6.75090,6.76414,6.74481,6.75515,85728.19989999996
10.09.2019 16:00:00.000 GMT-0500,6.75500,6.79127,6.74778,6.77544,87025.5105
11.09.2019 16:00:00.000 GMT-0500,6.77510,6.82861,6.73126,6.74510,143497.0606
12.09.2019 16:00:00.000 GMT-0500,6.74493,6.75148,6.71782,6.74089,102236.07939999999
15.09.2019 16:00:00.000 GMT-0500,6.74200,6.79313,6.73541,6.78558,97762.5191
16.09.2019 16:00:00.000 GMT-0500,6.78560,6.79422,6.74296,6.74341,105498.24039999998
17.09.2019 16:00:00.000 GMT-0500,6.74333,6.77984,6.74202,6.77082,100428.24
18.09.2019 16:00:00.000 GMT-0500,6.77080,6.77503,6.74310,6.76230,120061.50029999997
19.09.2019 16:00:00.000 GMT-0500,6.76242,6.79041,6.74650,6.77710,106579.8798
22.09.2019 16:00:00.000 GMT-0500,6.77973,6.80820,6.77290,6.79230,101868.24040000001
23.09.2019 16:00:00.000 GMT-0500,6.79150,6.79811,6.77223,6.77468,83008.7795
24.09.2019 16:00:00.000 GMT-0500,6.77189,6.82581,6.77149,6.82220,85205.21990000001
25.09.2019 16:00:00.000 GMT-0500,6.82119,6.84482,6.80653,6.83740,83541.6504
26.09.2019 16:00:00.000 GMT-0500,6.83733,6.84743,6.81299,6.82380,92129.6001
29.09.2019 16:00:00.000 GMT-0500,6.82164,6.85905,6.81945,6.84943,114803.79979999998
30.09.2019 16:00:00.000 GMT-0500,6.84984,6.86197,6.82193,6.82878,140979.23049999998
01.10.2019 16:00:00.000 GMT-0500,6.82818,6.84675,6.80963,6.81143,128013.82060000002
02.10.2019 16:00:00.000 GMT-0500,6.81143,6.82341,6.78730,6.80923,136167.5583
03.10.2019 16:00:00.000 GMT-0500,6.80818,6.81440,6.78775,6.80086,137848.1092
06.10.2019 16:00:00.000 GMT-0500,6.79933,6.81169,6.78920,6.80744,112210.4297
07.10.2019 16:00:00.000 GMT-0500,6.80743,6.82633,6.79231,6.81593,151591.1495
08.10.2019 16:00:00.000 GMT-0500,6.81635,6.81846,6.79593,6.80727,115291.971
09.10.2019 16:00:00.000 GMT-0500,6.80636,6.80711,6.76851,6.78494,165315.0007
10.10.2019 16:00:00.000 GMT-0500,6.78491,6.78891,6.75137,6.76636,186087.16090000002
13.10.2019 16:00:00.000 GMT-0500,6.76843,6.78167,6.76327,6.77345,105701.96979999999
14.10.2019 16:00:00.000 GMT-0500,6.77027,6.79672,6.76134,6.77051,159872.80969999998
15.10.2019 16:00:00.000 GMT-0500,6.77028,6.77783,6.73949,6.74769,165609.0405
16.10.2019 16:00:00.000 GMT-0500,6.74558,6.75193,6.70615,6.71550,171655.8789
17.10.2019 16:00:00.000 GMT-0500,6.71496,6.72130,6.68579,6.68709,129124.37950000002
20.10.2019 16:00:00.000 GMT-0500,6.69243,6.70720,6.68273,6.70033,110176.9303
21.10.2019 16:00:00.000 GMT-0500,6.69879,6.71954,6.69570,6.71455,119439.52009999998
22.10.2019 16:00:00.000 GMT-0500,6.71454,6.72637,6.70596,6.71130,100896.58070000002
23.10.2019 16:00:00.000 GMT-0500,6.71130,6.73418,6.69223,6.72712,145887.8008
24.10.2019 16:00:00.000 GMT-0500,6.72685,6.74574,6.71601,6.74041,96765.37989999999
27.10.2019 16:00:00.000 GMT-0500,6.74066,6.74370,6.72565,6.73019,88695.98030000001
28.10.2019 16:00:00.000 GMT-0500,6.73019,6.74611,6.71903,6.72263,110281.42079999998
29.10.2019 16:00:00.000 GMT-0500,6.72232,6.74266,6.69939,6.69983,147662.9391
30.10.2019 16:00:00.000 GMT-0500,6.69983,6.71107,6.68447,6.69848,154016.0005
31.10.2019 16:00:00.000 GMT-0500,6.69848,6.71346,6.68762,6.69041,126091.32949999999
03.11.2019 16:00:00.000 GMT-0600,6.68893,6.71576,6.68535,6.71343,109951.65999999999
04.11.2019 16:00:00.000 GMT-0600,6.71374,6.75391,6.70609,6.74703,156998.06010000003
05.11.2019 16:00:00.000 GMT-0600,6.74683,6.75215,6.73518,6.75128,114927.17979999998
06.11.2019 16:00:00.000 GMT-0600,6.75077,6.77153,6.73615,6.76237,168485.40099999998
07.11.2019 16:00:00.000 GMT-0600,6.76237,6.78335,6.75883,6.77988,109991.10989999998
10.11.2019 16:00:00.000 GMT-0600,6.77819,6.78224,6.76609,6.77153,99672.82869999998
11.11.2019 16:00:00.000 GMT-0600,6.77153,6.79102,6.76863,6.78669,113044.7393
12.11.2019 16:00:00.000 GMT-0600,6.78669,6.79603,6.78024,6.78865,117573.61909999998
13.11.2019 16:00:00.000 GMT-0600,6.78864,6.79923,6.77577,6.77932,117889.9192
14.11.2019 16:00:00.000 GMT-0600,6.77961,6.78342,6.75829,6.75943,102653.0199
17.11.2019 16:00:00.000 GMT-0600,6.76023,6.76128,6.73782,6.74816,106821.3805
18.11.2019 16:00:00.000 GMT-0600,6.74810,6.75440,6.74177,6.74445,96610.2497
19.11.2019 16:00:00.000 GMT-0600,6.74467,6.76103,6.73939,6.74849,120055.32999999999
20.11.2019 16:00:00.000 GMT-0600,6.74841,6.76115,6.73432,6.75643,117211.72
21.11.2019 16:00:00.000 GMT-0600,6.75639,6.78426,6.73976,6.77949,118222.61
24.11.2019 16:00:00.000 GMT-0600,6.78213,6.78982,6.77095,6.78412,101315.81940000002
25.11.2019 16:00:00.000 GMT-0600,6.78346,6.78793,6.77646,6.77958,104841.1299
26.11.2019 16:00:00.000 GMT-0600,6.77955,6.79645,6.77682,6.79184,103697.44939999997
27.11.2019 16:00:00.000 GMT-0600,6.79173,6.79222,6.78133,6.78469,79721.8609
28.11.2019 16:00:00.000 GMT-0600,6.78460,6.80343,6.77482,6.77799,118523.4295
01.12.2019 16:00:00.000 GMT-0600,6.77729,6.79000,6.73665,6.74331,112767.94919999999
02.12.2019 16:00:00.000 GMT-0600,6.74327,6.75165,6.73460,6.74172,118999.90050000002
03.12.2019 16:00:00.000 GMT-0600,6.74210,6.75153,6.72083,6.74405,112718.1394
04.12.2019 16:00:00.000 GMT-0600,6.74379,6.74402,6.72587,6.72829,99245.5103
05.12.2019 16:00:00.000 GMT-0600,6.72783,6.76817,6.72519,6.75389,100623.25039999998
08.12.2019 16:00:00.000 GMT-0600,6.75601,6.75963,6.74506,6.75352,77214.66999999998
09.12.2019 16:00:00.000 GMT-0600,6.75332,6.75474,6.73397,6.73701,118378.26889999998
10.12.2019 16:00:00.000 GMT-0600,6.73701,6.75022,6.70590,6.71495,158413.6616
11.12.2019 16:00:00.000 GMT-0600,6.71483,6.73051,6.69967,6.71346,163281.34
12.12.2019 16:00:00.000 GMT-0600,6.70798,6.72503,6.67149,6.71789,212519.96089999998
15.12.2019 16:00:00.000 GMT-0600,6.71433,6.71856,6.69727,6.70567,106328.7804
16.12.2019 16:00:00.000 GMT-0600,6.70567,6.71474,6.68743,6.70166,117101.9104
17.12.2019 16:00:00.000 GMT-0600,6.70200,6.72501,6.69874,6.72283,113749.28069999999
18.12.2019 16:00:00.000 GMT-0600,6.72276,6.72781,6.70505,6.71912,120683.94929999998
19.12.2019 16:00:00.000 GMT-0600,6.71627,6.75053,6.71398,6.74309,94336.8995
22.12.2019 16:00:00.000 GMT-0600,6.74033,6.74826,6.73216,6.73538,93088.0601
23.12.2019 16:00:00.000 GMT-0600,6.73705,6.74939,6.73433,6.73585,79861.82999999999
24.12.2019 16:00:00.000 GMT-0600,6.73575,6.74497,6.73563,6.74086,547.24
25.12.2019 16:00:00.000 GMT-0600,6.73538,6.74140,6.72551,6.73272,43251.61030000001
26.12.2019 16:00:00.000 GMT-0600,6.72689,6.72800,6.67389,6.68019,112601.3398
29.12.2019 16:00:00.000 GMT-0600,6.68206,6.68403,6.65653,6.67107,105901.57929999998
30.12.2019 16:00:00.000 GMT-0600,6.67113,6.67150,6.64721,6.66209,94938.2892
01.01.2020 16:00:00.000 GMT-0600,6.66138,6.69375,6.65469,6.68827,106391.3202
02.01.2020 16:00:00.000 GMT-0600,6.68827,6.71719,6.68440,6.69685,139984.96039999998
05.01.2020 16:00:00.000 GMT-0600,6.69240,6.69798,6.66895,6.67385,112047.1103
06.01.2020 16:00:00.000 GMT-0600,6.67385,6.71198,6.67365,6.69936,125872.7485
07.01.2020 16:00:00.000 GMT-0600,6.69918,6.73079,6.69065,6.72835,159550.2797
08.01.2020 16:00:00.000 GMT-0600,6.72833,6.73675,6.71950,6.72871,115157.76040000001
09.01.2020 16:00:00.000 GMT-0600,6.72871,6.74143,6.71481,6.71778,116530.01969999999
12.01.2020 16:00:00.000 GMT-0600,6.72103,6.72467,6.70393,6.71168,84408.16980000002
13.01.2020 16:00:00.000 GMT-0600,6.71161,6.72967,6.70536,6.71409,105124.7791
14.01.2020 16:00:00.000 GMT-0600,6.71409,6.72056,6.69406,6.70178,100515.1803
15.01.2020 16:00:00.000 GMT-0600,6.70177,6.71513,6.68838,6.70946,106147.6901
16.01.2020 16:00:00.000 GMT-0600,6.70946,6.74038,6.70642,6.73735,97707.63029999998
19.01.2020 16:00:00.000 GMT-0600,6.73608,6.74549,6.73057,6.73447,70240.6005
20.01.2020 16:00:00.000 GMT-0600,6.73452,6.74337,6.72097,6.74236,93213.9404
21.01.2020 16:00:00.000 GMT-0600,6.74069,6.75046,6.73326,6.73621,97712.55940000003
22.01.2020 16:00:00.000 GMT-0600,6.73572,6.77132,6.72720,6.75955,118646.8208
