Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,6.57003,6.65893,6.56360,6.64699,593588.7410000002
07.07.2019 16:00:00.000 GMT-0500,6.64682,6.66685,6.61644,6.62460,630375.5691
14.07.2019 16:00:00.000 GMT-0500,6.62623,6.66732,6.61649,6.65170,618171.6114999999
21.07.2019 16:00:00.000 GMT-0500,6.65545,6.72406,6.65089,6.70960,545422.2107999999
28.07.2019 16:00:00.000 GMT-0500,6.70932,6.77056,6.68950,6.72210,755876.5498999998
04.08.2019 16:00:00.000 GMT-0500,6.71698,6.72302,6.63433,6.66290,1027656.7375
11.08.2019 16:00:00.000 GMT-0500,6.66120,6.73972,6.64554,6.72270,952957.8176999998
18.08.2019 16:00:00.000 GMT-0500,6.71936,6.74592,6.68610,6.69149,506313.108
25.08.2019 16:00:00.000 GMT-0500,6.68703,6.80055,6.67857,6.78380,589847.4882
01.09.2019 16:00:00.000 GMT-0500,6.78332,6.82422,6.72993,6.76670,522959.43019999994
08.09.2019 16:00:00.000 GMT-0500,6.76583,6.82861,6.71782,6.74089,502874.2908
15.09.2019 16:00:00.000 GMT-0500,6.74200,6.79422,6.73541,6.77710,530330.3795999999
22.09.2019 16:00:00.000 GMT-0500,6.77973,6.84743,6.77149,6.82380,445753.49029999995
29.09.2019 16:00:00.000 GMT-0500,6.82164,6.86197,6.78730,6.80086,657812.5184000001
06.10.2019 16:00:00.000 GMT-0500,6.79933,6.82633,6.75137,6.76636,730495.7117999999
13.10.2019 16:00:00.000 GMT-0500,6.76843,6.79672,6.68579,6.68709,731964.0783999999
20.10.2019 16:00:00.000 GMT-0500,6.69243,6.74574,6.68273,6.74041,573166.2118000002
27.10.2019 16:00:00.000 GMT-0500,6.74066,6.74611,6.68447,6.69041,626747.6701999998
03.11.2019 16:00:00.000 GMT-0600,6.68893,6.78335,6.68535,6.77988,660353.4108000001
10.11.2019 16:00:00.000 GMT-0600,6.77819,6.79923,6.75829,6.75943,550834.1261999999
17.11.2019 16:00:00.000 GMT-0600,6.76023,6.78426,6.73432,6.77949,558921.2901999998
24.11.2019 16:00:00.000 GMT-0600,6.78213,6.80343,6.77095,6.77799,508099.6891000001
01.12.2019 16:00:00.000 GMT-0600,6.77729,6.79000,6.72083,6.75389,544354.7498000002
08.12.2019 16:00:00.000 GMT-0600,6.75601,6.75963,6.67149,6.71789,729807.9013999997
15.12.2019 16:00:00.000 GMT-0600,6.71433,6.75053,6.68743,6.74309,552200.8202999998
22.12.2019 16:00:00.000 GMT-0600,6.74033,6.74939,6.67389,6.68019,329350.0801999999
29.12.2019 16:00:00.000 GMT-0600,6.68206,6.71719,6.64721,6.69685,447216.1490999999
05.01.2020 16:00:00.000 GMT-0600,6.69240,6.74143,6.66895,6.71778,629157.9185999999
12.01.2020 16:00:00.000 GMT-0600,6.72103,6.74038,6.68838,6.73735,493903.4496000003
19.01.2020 16:00:00.000 GMT-0600,6.73608,6.78145,6.72097,6.77658,476364.19219999993
26.01.2020 16:00:00.000 GMT-0600,6.77323,6.79793,6.73358,6.73473,501538.3387000001
02.02.2020 16:00:00.000 GMT-0600,6.73462,6.82876,6.73462,6.82635,467713.48109999986
09.02.2020 16:00:00.000 GMT-0600,6.82702,6.90027,6.81924,6.89646,440480.19920000003
16.02.2020 16:00:00.000 GMT-0600,6.89084,6.92927,6.87528,6.88352,482149.9011
23.02.2020 16:00:00.000 GMT-0600,6.89869,6.91264,6.76042,6.77503,959568.0547000002
01.03.2020 16:00:00.000 GMT-0600,6.76535,6.76942,6.57783,6.61687,1054513.2438999997
08.03.2020 16:00:00.000 GMT-0500,6.58726,6.76019,6.49834,6.73160,1865375.3781
15.03.2020 16:00:00.000 GMT-0500,6.70299,7.01837,6.65007,6.97963,2446225.5252
22.03.2020 16:00:00.000 GMT-0500,6.99614,7.00985,6.69289,6.69289,1714336.4282999993
29.03.2020 16:00:00.000 GMT-0500,6.71038,6.93223,6.69520,6.91026,1157069.5451999998
05.04.2020 16:00:00.000 GMT-0500,6.90605,6.93363,6.81374,6.82257,747308.5208000002
12.04.2020 16:00:00.000 GMT-0500,6.82373,6.89960,6.78871,6.85801,821514.0227000001
19.04.2020 16:00:00.000 GMT-0500,6.86244,6.95180,6.84515,6.88489,896601.1227999998
26.04.2020 16:00:00.000 GMT-0500,6.89063,6.89829,6.77036,6.79309,837284.3368999994
03.05.2020 16:00:00.000 GMT-0500,6.80037,6.92896,6.79975,6.87781,749625.9515000002
10.05.2020 16:00:00.000 GMT-0500,6.88849,6.92084,6.84197,6.88761,746879.2206
17.05.2020 16:00:00.000 GMT-0500,6.88864,6.90256,6.77303,6.83797,736410.8790000001
24.05.2020 16:00:00.000 GMT-0500,6.83876,6.85959,6.68803,6.70877,893895.3113
31.05.2020 16:00:00.000 GMT-0500,6.70138,6.71583,6.54934,6.60273,1130378.8615999995
07.06.2020 16:00:00.000 GMT-0500,6.59620,6.64903,6.52652,6.61969,1185142.8191000004
14.06.2020 16:00:00.000 GMT-0500,6.63121,6.67577,6.56682,6.66967,1136233.0320000001
21.06.2020 16:00:00.000 GMT-0500,6.66607,6.67533,6.56707,6.64015,942513.5706000002
28.06.2020 16:00:00.000 GMT-0500,6.63843,6.66238,6.59213,6.62467,768164.5599000001
05.07.2020 16:00:00.000 GMT-0500,6.62387,6.62454,6.55086,6.59067,787638.4385999999
