Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,7.81088,7.81366,7.80733,7.81258,7116.100000000001
01.07.2019 16:00:00.000 GMT-0500,7.81258,7.81531,7.79767,7.79785,16246.844999999998
02.07.2019 16:00:00.000 GMT-0500,7.79785,7.80006,7.79482,7.79768,21545.314899999998
03.07.2019 16:00:00.000 GMT-0500,7.79769,7.79776,7.78237,7.78555,12195.57
04.07.2019 16:00:00.000 GMT-0500,7.78563,7.79737,7.78492,7.79549,12171.5601
07.07.2019 16:00:00.000 GMT-0500,7.79458,7.80118,7.79435,7.79873,12036.8
08.07.2019 16:00:00.000 GMT-0500,7.79870,7.81165,7.79835,7.80738,12973.759999999998
09.07.2019 16:00:00.000 GMT-0500,7.80733,7.81868,7.80707,7.81811,12739.6299
10.07.2019 16:00:00.000 GMT-0500,7.81808,7.82337,7.81498,7.82248,10977.45
11.07.2019 16:00:00.000 GMT-0500,7.82146,7.82620,7.82045,7.82375,10378.435000000001
14.07.2019 16:00:00.000 GMT-0500,7.82360,7.82914,7.82315,7.82519,9459.679999999998
15.07.2019 16:00:00.000 GMT-0500,7.82479,7.82711,7.81108,7.81627,16157.33
16.07.2019 16:00:00.000 GMT-0500,7.81631,7.81835,7.80901,7.81306,12724.210000000001
17.07.2019 16:00:00.000 GMT-0500,7.81337,7.81727,7.80916,7.81513,12667.930100000001
18.07.2019 16:00:00.000 GMT-0500,7.81367,7.81522,7.80236,7.80754,13233.290000000003
21.07.2019 16:00:00.000 GMT-0500,7.80591,7.81077,7.80124,7.80997,11445.860200000001
22.07.2019 16:00:00.000 GMT-0500,7.80841,7.81288,7.80749,7.80999,9628.6
23.07.2019 16:00:00.000 GMT-0500,7.80949,7.81481,7.80915,7.81441,8635.410100000001
24.07.2019 16:00:00.000 GMT-0500,7.81280,7.81709,7.81266,7.81564,8679.359999999999
25.07.2019 16:00:00.000 GMT-0500,7.81557,7.81937,7.81241,7.81757,8271.189999999999
28.07.2019 16:00:00.000 GMT-0500,7.81652,7.82231,7.81362,7.82214,7814.829999999999
29.07.2019 16:00:00.000 GMT-0500,7.82214,7.82433,7.81967,7.82366,8607.539999999999
30.07.2019 16:00:00.000 GMT-0500,7.82228,7.82815,7.82206,7.82760,8457.02
31.07.2019 16:00:00.000 GMT-0500,7.82721,7.82855,7.82466,7.82485,6805.160000000001
01.08.2019 16:00:00.000 GMT-0500,7.82485,7.83102,7.81683,7.82966,12008.672499999999
04.08.2019 16:00:00.000 GMT-0500,7.82881,7.84857,7.82541,7.84536,14291.854999999998
05.08.2019 16:00:00.000 GMT-0500,7.84641,7.84709,7.82901,7.83894,17055.5899
06.08.2019 16:00:00.000 GMT-0500,7.83750,7.84329,7.83405,7.84039,12178.850100000001
07.08.2019 16:00:00.000 GMT-0500,7.83943,7.84229,7.83622,7.84026,10438.140000000001
08.08.2019 16:00:00.000 GMT-0500,7.84044,7.84325,7.83789,7.84197,12364.029999999999
11.08.2019 16:00:00.000 GMT-0500,7.84146,7.84697,7.83895,7.84656,10524.15
12.08.2019 16:00:00.000 GMT-0500,7.84649,7.84718,7.84382,7.84645,10964.929999999997
13.08.2019 16:00:00.000 GMT-0500,7.84438,7.84726,7.84376,7.84496,9540.27
14.08.2019 16:00:00.000 GMT-0500,7.84406,7.84587,7.83160,7.83995,11418.7201
15.08.2019 16:00:00.000 GMT-0500,7.84001,7.84490,7.83876,7.84456,9589.904999999999
18.08.2019 16:00:00.000 GMT-0500,7.84327,7.84645,7.84168,7.84446,7572.839999999999
19.08.2019 16:00:00.000 GMT-0500,7.84381,7.84584,7.84115,7.84142,8941.629999999997
20.08.2019 16:00:00.000 GMT-0500,7.84124,7.84433,7.84092,7.84296,7835.825
