Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,284.165,286.535,284.045,286.435,54117.9196
01.07.2019 16:00:00.000 GMT-0500,286.405,286.615,285.220,286.264,46318.240699999995
02.07.2019 16:00:00.000 GMT-0500,286.067,286.746,284.989,285.745,48128.5806
03.07.2019 16:00:00.000 GMT-0500,285.665,286.496,285.299,286.025,27829.4799
04.07.2019 16:00:00.000 GMT-0500,285.785,289.451,285.785,288.586,46802.750400000004
07.07.2019 16:00:00.000 GMT-0500,288.505,289.750,288.385,289.655,48390.419600000016
08.07.2019 16:00:00.000 GMT-0500,289.385,290.800,289.292,290.509,40095.04030000001
09.07.2019 16:00:00.000 GMT-0500,290.395,290.838,289.125,289.350,59562.42020000001
10.07.2019 16:00:00.000 GMT-0500,289.206,289.845,288.625,289.546,55327.97989999999
11.07.2019 16:00:00.000 GMT-0500,289.485,289.841,288.695,288.865,62531.340499999984
14.07.2019 16:00:00.000 GMT-0500,288.875,289.210,288.695,288.895,47381.0099
15.07.2019 16:00:00.000 GMT-0500,288.775,291.026,288.686,290.799,41974.460100000004
16.07.2019 16:00:00.000 GMT-0500,290.666,291.370,290.494,290.855,32511.059799999995
17.07.2019 16:00:00.000 GMT-0500,290.785,291.370,288.745,288.845,46565.4203
18.07.2019 16:00:00.000 GMT-0500,288.775,290.084,288.715,289.600,49810.130600000004
21.07.2019 16:00:00.000 GMT-0500,289.854,290.205,289.434,290.064,34201.3501
22.07.2019 16:00:00.000 GMT-0500,290.221,292.421,290.132,292.337,40727.1498
23.07.2019 16:00:00.000 GMT-0500,292.029,292.801,291.603,292.136,42381.1895
24.07.2019 16:00:00.000 GMT-0500,291.910,293.376,291.290,292.716,70198.4999
25.07.2019 16:00:00.000 GMT-0500,292.596,294.180,292.589,293.846,52145.1703
28.07.2019 16:00:00.000 GMT-0500,293.496,294.563,293.194,294.062,40665.4901
29.07.2019 16:00:00.000 GMT-0500,294.012,294.503,293.341,293.539,45143.229999999996
30.07.2019 16:00:00.000 GMT-0500,293.660,294.823,292.255,294.602,74631.32
31.07.2019 16:00:00.000 GMT-0500,294.311,296.529,294.197,295.230,88355.09000000001
01.08.2019 16:00:00.000 GMT-0500,295.157,295.778,293.747,294.746,94191.8003
04.08.2019 16:00:00.000 GMT-0500,294.554,294.725,291.223,291.795,80985.3207
05.08.2019 16:00:00.000 GMT-0500,291.555,292.035,289.925,290.011,75334.5499
