Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,284.165,294.823,284.045,294.602,1107439.6520999996
31.07.2019 16:00:00.000 GMT-0500,294.311,302.095,288.545,301.265,1356613.6516999984
31.08.2019 16:00:00.000 GMT-0500,301.375,307.985,297.075,307.145,949749.1608999998
30.09.2019 16:00:00.000 GMT-0500,307.185,308.151,293.964,294.534,1097737.6929999995
31.10.2019 16:00:00.000 GMT-0500,294.644,306.207,293.364,303.606,925310.9780000004
30.11.2019 16:00:00.000 GMT-0600,303.594,303.764,293.904,294.909,765457.3704999998
31.12.2019 16:00:00.000 GMT-0600,294.850,307.764,293.754,304.134,766714.9200999999
31.01.2020 16:00:00.000 GMT-0600,304.334,313.802,303.904,305.974,1101564.7590999997
29.02.2020 16:00:00.000 GMT-0600,306.294,335.529,292.579,326.624,3418639.311799998
31.03.2020 16:00:00.000 GMT-0500,326.184,341.101,319.335,321.604,2251399.426200001
30.04.2020 16:00:00.000 GMT-0500,322.204,329.104,310.924,312.434,1325132.2381
31.05.2020 16:00:00.000 GMT-0500,312.054,318.690,300.464,314.954,2409301.552100001
30.06.2020 16:00:00.000 GMT-0500,315.494,317.149,289.184,291.991,2175905.624000001
31.07.2020 16:00:00.000 GMT-0500,292.024,303.066,289.054,297.916,1568064.4187000003
31.08.2020 16:00:00.000 GMT-0500,297.175,314.425,294.994,309.984,1613186.3375000001
30.09.2020 16:00:00.000 GMT-0500,309.874,315.946,301.024,314.844,1239755.0891000007
31.10.2020 16:00:00.000 GMT-0500,314.644,315.961,298.984,300.905,1070548.7287999995
30.11.2020 16:00:00.000 GMT-0600,300.474,300.624,289.323,296.380,993301.6379999989
31.12.2020 16:00:00.000 GMT-0600,296.464,299.144,289.303,294.046,958688.6881999997
31.01.2021 16:00:00.000 GMT-0600,294.384,300.381,293.264,300.372,935666.9884999993
28.02.2021 16:00:00.000 GMT-0600,299.774,310.628,298.692,308.754,1372993.5807000007
31.03.2021 16:00:00.000 GMT-0500,308.724,309.096,296.461,299.352,1412997.039300001
30.04.2021 16:00:00.000 GMT-0500,299.260,300.798,283.407,283.755,1292910.526400002
31.05.2021 16:00:00.000 GMT-0500,284.064,300.623,282.699,296.214,1085460.7801000008
30.06.2021 16:00:00.000 GMT-0500,296.122,307.650,295.207,302.309,1314031.5412999997
31.07.2021 16:00:00.000 GMT-0500,301.725,303.632,293.950,295.450,1145079.0403999998
31.08.2021 16:00:00.000 GMT-0500,295.424,312.004,291.565,309.999,1231476.0072000003
30.09.2021 16:00:00.000 GMT-0500,309.854,316.467,305.293,311.250,1208141.1104999986
31.10.2021 16:00:00.000 GMT-0500,311.304,330.836,308.568,321.502,1511626.9318000004
30.11.2021 16:00:00.000 GMT-0600,321.484,329.384,318.648,324.644,1393610.0316000003
31.12.2021 16:00:00.000 GMT-0600,323.994,326.204,308.128,316.244,1189002.5482999994
31.01.2022 16:00:00.000 GMT-0600,316.095,333.897,307.423,331.790,1599722.101399999
28.02.2022 16:00:00.000 GMT-0600,330.914,368.032,327.974,331.778,1734780.529999998
31.03.2022 16:00:00.000 GMT-0500,331.755,360.710,331.176,358.354,1293554.7039999994
30.04.2022 16:00:00.000 GMT-0500,358.012,376.138,352.901,369.914,1137573.0600000022
31.05.2022 16:00:00.000 GMT-0500,369.242,386.622,361.136,378.254,1283328.6188999992
30.06.2022 16:00:00.000 GMT-0500,377.963,414.284,377.868,395.382,1834987.0439999995
31.07.2022 16:00:00.000 GMT-0500,394.461,417.184,379.474,398.654,1393653.6622999993
31.08.2022 16:00:00.000 GMT-0500,398.254,437.144,386.595,431.514,1614630.2351000006
30.09.2022 16:00:00.000 GMT-0500,429.994,449.834,404.334,414.044,1729990.1172000002
31.10.2022 16:00:00.000 GMT-0500,413.904,420.874,386.884,392.719,1968915.9977
30.11.2022 16:00:00.000 GMT-0600,392.328,399.394,371.774,372.703,1275784.4929999993
31.12.2022 16:00:00.000 GMT-0600,371.193,383.394,353.537,359.441,1210178.4648000004
31.01.2023 16:00:00.000 GMT-0600,359.729,369.993,350.622,357.638,1001196.0375999995
28.02.2023 16:00:00.000 GMT-0600,356.994,381.296,346.831,350.251,1977533.1604999986
31.03.2023 16:00:00.000 GMT-0500,349.485,353.402,336.780,338.472,1473782.1062000012
30.04.2023 16:00:00.000 GMT-0500,337.301,351.563,335.383,346.662,1135764.223
31.05.2023 16:00:00.000 GMT-0500,346.303,347.660,335.459,341.452,936022.3828000011
30.06.2023 16:00:00.000 GMT-0500,340.869,357.407,332.279,333.316,607662.4699999994
