Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,3.57759,3.58178,3.55507,3.57159,49397.32990000002
07.07.2019 16:00:00.000 GMT-0500,3.57550,3.57923,3.53996,3.54917,54825.78990000002
14.07.2019 16:00:00.000 GMT-0500,3.55074,3.55210,3.53077,3.53847,45130.27030000002
21.07.2019 16:00:00.000 GMT-0500,3.53981,3.54261,3.51467,3.52077,37209.450099999995
28.07.2019 16:00:00.000 GMT-0500,3.52355,3.52777,3.46747,3.48737,52381.88990000001
04.08.2019 16:00:00.000 GMT-0500,3.49627,3.50080,3.46447,3.47057,61822.510100000014
11.08.2019 16:00:00.000 GMT-0500,3.47576,3.54940,3.46830,3.53966,76871.09950000003
18.08.2019 16:00:00.000 GMT-0500,3.54610,3.55296,3.50663,3.50746,44976.170099999996
25.08.2019 16:00:00.000 GMT-0500,3.52229,3.53720,3.50636,3.52806,47163.92
01.09.2019 16:00:00.000 GMT-0500,3.53549,3.55050,3.50733,3.51923,41140.74000000001
08.09.2019 16:00:00.000 GMT-0500,3.52170,3.55200,3.51950,3.52666,43071.180100000005
15.09.2019 16:00:00.000 GMT-0500,3.52990,3.56019,3.50773,3.51917,49960.74
22.09.2019 16:00:00.000 GMT-0500,3.51383,3.52280,3.47649,3.47866,47547.160099999994
29.09.2019 16:00:00.000 GMT-0500,3.48060,3.50459,3.47157,3.48159,43876.54999999998
06.10.2019 16:00:00.000 GMT-0500,3.48339,3.51449,3.48029,3.49769,60589.39019999999
13.10.2019 16:00:00.000 GMT-0500,3.49849,3.54819,3.49715,3.53599,60508.040400000005
20.10.2019 16:00:00.000 GMT-0500,3.53779,3.54359,3.50745,3.53179,56752.959899999994
27.10.2019 16:00:00.000 GMT-0500,3.53279,3.53937,3.51533,3.52651,67866.8502
03.11.2019 16:00:00.000 GMT-0600,3.52579,3.53329,3.48069,3.48845,50515.07000000002
10.11.2019 16:00:00.000 GMT-0600,3.49039,3.52072,3.46799,3.46995,56711.57
17.11.2019 16:00:00.000 GMT-0600,3.46786,3.47719,3.44719,3.46708,50241.280099999996
24.11.2019 16:00:00.000 GMT-0600,3.46729,3.48059,3.44929,3.47155,61222.32990000001
01.12.2019 16:00:00.000 GMT-0600,3.47149,3.49035,3.45884,3.46556,49937.979999999996
08.12.2019 16:00:00.000 GMT-0600,3.46639,3.48459,3.46249,3.48166,45443.029899999994
15.12.2019 16:00:00.000 GMT-0600,3.48029,3.50499,3.47232,3.47386,42582.969999999994
22.12.2019 16:00:00.000 GMT-0600,3.47549,3.47839,3.45365,3.45365,34388.810099999995
29.12.2019 16:00:00.000 GMT-0600,3.45479,3.48261,3.44414,3.47735,38344.399999999994
05.01.2020 16:00:00.000 GMT-0600,3.48319,3.48598,3.45459,3.46539,46164.95010000001
12.01.2020 16:00:00.000 GMT-0600,3.46399,3.47349,3.45155,3.45295,40413.380000000005
19.01.2020 16:00:00.000 GMT-0600,3.45369,3.46429,3.44819,3.45349,29251.0999
26.01.2020 16:00:00.000 GMT-0600,3.45619,3.46380,3.44429,3.44692,45239.25990000002
02.02.2020 16:00:00.000 GMT-0600,3.45119,3.45279,3.41649,3.42579,43544.680000000015
09.02.2020 16:00:00.000 GMT-0600,3.42772,3.43741,3.39749,3.42500,65457.41970000001
16.02.2020 16:00:00.000 GMT-0600,3.42519,3.43956,3.41394,3.41394,62127.76970000002
23.02.2020 16:00:00.000 GMT-0600,3.42379,3.49276,3.41678,3.46443,121309.5799
01.03.2020 16:00:00.000 GMT-0600,3.47029,3.49425,3.42593,3.48095,168514.7698
08.03.2020 16:00:00.000 GMT-0500,3.49645,3.69490,3.49356,3.66015,270516.7829999999
15.03.2020 16:00:00.000 GMT-0500,3.66713,3.88711,3.56449,3.60699,322091.7095
22.03.2020 16:00:00.000 GMT-0500,3.63371,3.71949,3.55692,3.55692,345934.11049999995
29.03.2020 16:00:00.000 GMT-0500,3.57935,3.65939,3.52611,3.62209,131171.28859999997
05.04.2020 16:00:00.000 GMT-0500,3.62889,3.63445,3.55676,3.57059,163649.49049999996
12.04.2020 16:00:00.000 GMT-0500,3.58476,3.61809,3.55435,3.58070,233141.41970000006
19.04.2020 16:00:00.000 GMT-0500,3.58398,3.59081,3.51039,3.52183,352048.07200000004
26.04.2020 16:00:00.000 GMT-0500,3.51795,3.51899,3.46602,3.50193,97844.82029999996
03.05.2020 16:00:00.000 GMT-0500,3.51246,3.54093,3.48449,3.50583,105155.81080000004
10.05.2020 16:00:00.000 GMT-0500,3.50309,3.55935,3.49899,3.52993,137144.48060000004
17.05.2020 16:00:00.000 GMT-0500,3.52939,3.54916,3.49705,3.52589,157264.0401
24.05.2020 16:00:00.000 GMT-0500,3.52939,3.53292,3.48785,3.50503,141006.91979999995
31.05.2020 16:00:00.000 GMT-0500,3.50925,3.51529,3.43899,3.46479,129510.79950000001
07.06.2020 16:00:00.000 GMT-0500,3.46217,3.48539,3.42792,3.47095,138817.87979999997
14.06.2020 16:00:00.000 GMT-0500,3.47759,3.50247,3.43835,3.44549,180003.64089999997
21.06.2020 16:00:00.000 GMT-0500,3.44937,3.46049,3.41755,3.42805,190318.8406
28.06.2020 16:00:00.000 GMT-0500,3.42500,3.47045,3.42449,3.43219,139106.53960000002
05.07.2020 16:00:00.000 GMT-0500,3.43053,3.46683,3.43004,3.45423,136859.36070000002
12.07.2020 16:00:00.000 GMT-0500,3.45119,3.45935,3.42019,3.42663,112855.21960000003
19.07.2020 16:00:00.000 GMT-0500,3.43089,3.43519,3.40539,3.40669,79087.5796
26.07.2020 16:00:00.000 GMT-0500,3.40166,3.41963,3.39279,3.40049,95772.43010000003
02.08.2020 16:00:00.000 GMT-0500,3.40209,3.42842,3.39879,3.40444,108377.26960000003
09.08.2020 16:00:00.000 GMT-0500,3.41094,3.41815,3.39359,3.39359,77711.0993
16.08.2020 16:00:00.000 GMT-0500,3.39979,3.41284,3.39598,3.39944,84791.56990000003
23.08.2020 16:00:00.000 GMT-0500,3.40199,3.40579,3.35300,3.35504,95084.47999999997
30.08.2020 16:00:00.000 GMT-0500,3.35762,3.37358,3.34804,3.36469,65412.78980000001
06.09.2020 16:00:00.000 GMT-0500,3.37149,3.46756,3.37149,3.45843,72693.05020000001
13.09.2020 16:00:00.000 GMT-0500,3.46031,3.46114,3.40799,3.41183,66255.8202
20.09.2020 16:00:00.000 GMT-0500,3.41839,3.48849,3.41428,3.47593,78128.25970000002
27.09.2020 16:00:00.000 GMT-0500,3.47989,3.48224,3.41770,3.42939,59677.2402
04.10.2020 16:00:00.000 GMT-0500,3.42931,3.43187,3.37289,3.37543,51005.74020000001
11.10.2020 16:00:00.000 GMT-0500,3.37559,3.40010,3.36694,3.36904,66948.8403
18.10.2020 16:00:00.000 GMT-0500,3.37789,3.39104,3.36609,3.37052,44160.36000000002
25.10.2020 16:00:00.000 GMT-0500,3.37419,3.42403,3.37236,3.40342,62572.709900000016
01.11.2020 16:00:00.000 GMT-0600,3.40439,3.42476,3.36919,3.36969,45609.2301
08.11.2020 16:00:00.000 GMT-0600,3.36942,3.38669,3.35316,3.36430,34404.6801
15.11.2020 16:00:00.000 GMT-0600,3.36208,3.36622,3.32639,3.33662,36558.689999999995
22.11.2020 16:00:00.000 GMT-0600,3.33672,3.35269,3.30399,3.30864,43330.53990000001
29.11.2020 16:00:00.000 GMT-0600,3.31349,3.31909,3.25183,3.26380,43096.090200000006
06.12.2020 16:00:00.000 GMT-0600,3.26261,3.27821,3.24285,3.25384,43181.29979999999
13.12.2020 16:00:00.000 GMT-0600,3.25489,3.26286,3.22949,3.23462,38607.409999999996
20.12.2020 16:00:00.000 GMT-0600,3.24338,3.25949,3.20869,3.21459,49358.720000000016
27.12.2020 16:00:00.000 GMT-0600,3.21486,3.22313,3.20602,3.20943,30410.76010000001
03.01.2021 16:00:00.000 GMT-0600,3.21007,3.21570,3.17273,3.18582,42866.219900000004
10.01.2021 16:00:00.000 GMT-0600,3.19073,3.28555,3.11179,3.26242,57371.01980000001
17.01.2021 16:00:00.000 GMT-0600,3.27119,3.29035,3.21007,3.26642,58250.48040000002
24.01.2021 16:00:00.000 GMT-0600,3.26859,3.29959,3.25923,3.27903,43435.899900000004
31.01.2021 16:00:00.000 GMT-0600,3.28114,3.31232,3.27581,3.28562,35595.270000000004
07.02.2021 16:00:00.000 GMT-0600,3.28830,3.29141,3.24451,3.24962,33237.0098
14.02.2021 16:00:00.000 GMT-0600,3.24984,3.27785,3.23314,3.26672,28870.719899999993
21.02.2021 16:00:00.000 GMT-0600,3.26561,3.31482,3.25049,3.30512,46430.6502
28.02.2021 16:00:00.000 GMT-0600,3.29936,3.33289,3.28439,3.32249,48459.809799999995
07.03.2021 16:00:00.000 GMT-0600,3.32602,3.34446,3.28153,3.31822,37290.580200000004
14.03.2021 16:00:00.000 GMT-0500,3.30909,3.32588,3.24993,3.29502,44687.600099999996
21.03.2021 16:00:00.000 GMT-0500,3.30329,3.33367,3.28577,3.32746,42651.56000000002
28.03.2021 16:00:00.000 GMT-0500,3.32646,3.35149,3.31849,3.32532,28358.460100000008
04.04.2021 16:00:00.000 GMT-0500,3.32277,3.32585,3.27772,3.28627,35836.749899999995
11.04.2021 16:00:00.000 GMT-0500,3.29027,3.30780,3.27509,3.27642,30765.36
18.04.2021 16:00:00.000 GMT-0500,3.27707,3.28237,3.24289,3.24722,32053.59000000002
25.04.2021 16:00:00.000 GMT-0500,3.24976,3.25781,3.23419,3.24618,34695.37999999999
02.05.2021 16:00:00.000 GMT-0500,3.24657,3.27639,3.23836,3.24622,47805.81030000003
09.05.2021 16:00:00.000 GMT-0500,3.24956,3.30017,3.24268,3.26903,47799.42990000001
16.05.2021 16:00:00.000 GMT-0500,3.26859,3.28717,3.24807,3.25153,33113.540000000015
23.05.2021 16:00:00.000 GMT-0500,3.24992,3.26235,3.23659,3.24383,30283.349899999994
30.05.2021 16:00:00.000 GMT-0500,3.24879,3.25987,3.23706,3.24743,37467.349899999994
06.06.2021 16:00:00.000 GMT-0500,3.24775,3.25628,3.23711,3.24904,28846.329999999994
13.06.2021 16:00:00.000 GMT-0500,3.24853,3.28769,3.23481,3.28044,43636.439699999995
20.06.2021 16:00:00.000 GMT-0500,3.28001,3.28362,3.23674,3.24584,49979.2903
27.06.2021 16:00:00.000 GMT-0500,3.24744,3.27385,3.24648,3.26394,60995.820299999985
04.07.2021 16:00:00.000 GMT-0500,3.26554,3.28317,3.25284,3.27264,72155.00009999999
11.07.2021 16:00:00.000 GMT-0500,3.27597,3.29051,3.25140,3.28474,56943.2298
18.07.2021 16:00:00.000 GMT-0500,3.28898,3.30160,3.26237,3.26584,45546.75029999999
