Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,108.150,108.997,107.211,108.748,3094248.8957
31.07.2019 16:00:00.000 GMT-0500,108.747,109.318,104.453,106.228,5957589.1882
31.08.2019 16:00:00.000 GMT-0500,106.061,108.475,105.737,108.071,4023660.6080999984
30.09.2019 16:00:00.000 GMT-0500,108.071,109.287,106.483,108.019,3858087.949400001
31.10.2019 16:00:00.000 GMT-0500,108.021,109.669,107.887,109.469,2398392.6793
30.11.2019 16:00:00.000 GMT-0600,109.509,109.727,108.427,108.631,2071515.5867000003
31.12.2019 16:00:00.000 GMT-0600,108.730,110.290,107.651,108.308,2871686.5592999994
31.01.2020 16:00:00.000 GMT-0600,108.416,112.224,107.510,107.994,4959873.1951
29.02.2020 16:00:00.000 GMT-0600,107.434,111.713,101.180,107.485,10016432.930200007
31.03.2020 16:00:00.000 GMT-0500,107.496,109.381,106.357,107.158,4121153.7373000034
30.04.2020 16:00:00.000 GMT-0500,107.159,108.088,105.986,107.767,2524109.5271000005
31.05.2020 16:00:00.000 GMT-0500,107.678,109.849,106.072,107.923,4334017.706700001
30.06.2020 16:00:00.000 GMT-0500,107.924,108.164,104.186,105.819,3938504.338499998
31.07.2020 16:00:00.000 GMT-0500,105.772,107.049,105.101,105.898,5315451.709200001
31.08.2020 16:00:00.000 GMT-0500,105.900,106.552,103.999,105.445,3821853.236500005
30.09.2020 16:00:00.000 GMT-0500,105.474,106.107,104.025,104.623,2792146.0311000003
31.10.2020 16:00:00.000 GMT-0500,104.518,105.676,103.176,104.315,3347865.2964000036
30.11.2020 16:00:00.000 GMT-0600,104.306,104.751,102.873,103.259,2193113.576300001
31.12.2020 16:00:00.000 GMT-0600,103.097,104.940,102.591,104.638,2049721.9485000004
31.01.2021 16:00:00.000 GMT-0600,104.776,106.692,104.408,106.509,1652526.441899999
28.02.2021 16:00:00.000 GMT-0600,106.481,110.965,106.364,110.703,2418988.1362000005
31.03.2021 16:00:00.000 GMT-0500,110.708,110.847,107.476,109.296,1902330.8135999995
30.04.2021 16:00:00.000 GMT-0500,109.283,110.198,108.337,109.556,1754620.4305000007
31.05.2021 16:00:00.000 GMT-0500,109.556,111.120,109.187,111.101,1808785.357799998
30.06.2021 16:00:00.000 GMT-0500,111.102,111.657,109.063,109.672,2155066.934099999
31.07.2021 16:00:00.000 GMT-0500,109.669,110.801,108.721,109.992,1724178.9240999992
31.08.2021 16:00:00.000 GMT-0500,109.993,112.078,109.112,111.284,1825141.278899999
30.09.2021 16:00:00.000 GMT-0500,111.239,114.700,110.821,113.965,2383829.7284999993
31.10.2021 16:00:00.000 GMT-0500,114.048,115.522,112.530,113.148,2935156.803000001
30.11.2021 16:00:00.000 GMT-0600,113.142,115.206,112.558,115.091,2382980.812200001
31.12.2021 16:00:00.000 GMT-0600,115.039,116.352,113.466,115.101,2470493.7054999997
31.01.2022 16:00:00.000 GMT-0600,115.100,116.337,114.150,114.961,2998351.4197000014
28.02.2022 16:00:00.000 GMT-0600,114.953,125.097,114.649,121.652,3950189.8868999975
31.03.2022 16:00:00.000 GMT-0500,121.646,131.251,121.592,129.824,5470409.144799999
30.04.2022 16:00:00.000 GMT-0500,129.723,131.345,126.359,128.604,5545577.854199999
31.05.2022 16:00:00.000 GMT-0500,128.592,137.002,128.592,135.705,6062173.457599997
30.06.2022 16:00:00.000 GMT-0500,135.698,139.387,132.503,133.209,5414868.983100002
31.07.2022 16:00:00.000 GMT-0500,133.199,139.076,130.392,138.945,9536173.620500002
31.08.2022 16:00:00.000 GMT-0500,138.935,145.901,138.851,144.698,11786465.532399999
30.09.2022 16:00:00.000 GMT-0500,144.613,151.941,143.521,148.659,10982505.2233
31.10.2022 16:00:00.000 GMT-0500,148.716,148.822,137.497,138.001,16548268.077300016
30.11.2022 16:00:00.000 GMT-0600,138.001,138.171,130.566,131.072,13834047.927399991
31.12.2022 16:00:00.000 GMT-0600,130.925,134.773,127.218,130.070,12568349.523600005
31.01.2023 16:00:00.000 GMT-0600,130.070,136.917,128.080,136.197,12255713.387800008
28.02.2023 16:00:00.000 GMT-0600,136.196,137.910,129.638,132.797,15260679.232699988
31.03.2023 16:00:00.000 GMT-0500,133.368,136.560,130.611,136.243,10312147.631699998
30.04.2023 16:00:00.000 GMT-0500,136.105,140.932,133.498,139.326,11356504.410599992
31.05.2023 16:00:00.000 GMT-0500,139.324,145.067,138.430,144.223,8610321.203
30.06.2023 16:00:00.000 GMT-0500,144.220,144.912,137.237,138.743,4252185.790200012
