Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,108.150,108.637,107.532,108.454,620440.8274000001
07.07.2019 16:00:00.000 GMT-0500,108.411,108.990,107.804,107.884,665976.4305000004
14.07.2019 16:00:00.000 GMT-0500,107.861,108.375,107.211,107.698,695173.2090000004
21.07.2019 16:00:00.000 GMT-0500,107.711,108.828,107.699,108.662,630697.7685000001
28.07.2019 16:00:00.000 GMT-0500,108.620,109.318,106.508,106.550,1180540.4876000006
04.08.2019 16:00:00.000 GMT-0500,106.549,107.087,105.268,105.638,1590536.7369
11.08.2019 16:00:00.000 GMT-0500,105.545,106.973,105.049,106.358,1454616.6652999998
18.08.2019 16:00:00.000 GMT-0500,106.245,106.734,105.254,105.363,995042.3139999999
25.08.2019 16:00:00.000 GMT-0500,104.947,106.681,104.453,106.228,1218813.6446999998
01.09.2019 16:00:00.000 GMT-0500,106.061,107.232,105.737,106.914,923936.3354
08.09.2019 16:00:00.000 GMT-0500,106.820,108.259,106.761,108.057,949514.6322
15.09.2019 16:00:00.000 GMT-0500,107.476,108.475,107.457,107.535,905643.6396999996
22.09.2019 16:00:00.000 GMT-0500,107.714,108.180,106.961,107.862,1063773.5999999996
29.09.2019 16:00:00.000 GMT-0500,107.960,108.470,106.483,106.890,1063648.419
06.10.2019 16:00:00.000 GMT-0500,106.651,108.628,106.649,108.358,991878.0429999997
13.10.2019 16:00:00.000 GMT-0500,108.343,108.939,108.032,108.371,766616.5768000002
20.10.2019 16:00:00.000 GMT-0500,108.453,108.773,108.250,108.655,682891.6006999997
27.10.2019 16:00:00.000 GMT-0500,108.740,109.287,107.887,108.168,655839.5318
03.11.2019 16:00:00.000 GMT-0600,108.218,109.487,108.182,109.217,634891.8471000002
10.11.2019 16:00:00.000 GMT-0600,109.195,109.292,108.237,108.773,556071.8791999997
17.11.2019 16:00:00.000 GMT-0600,108.782,109.073,108.279,108.619,636695.7722999998
24.11.2019 16:00:00.000 GMT-0600,108.673,109.669,108.611,109.469,448739.3595999999
01.12.2019 16:00:00.000 GMT-0600,109.509,109.727,108.427,108.534,636544.2590999999
08.12.2019 16:00:00.000 GMT-0600,108.614,109.707,108.430,109.320,550348.9989000002
15.12.2019 16:00:00.000 GMT-0600,109.267,109.685,109.181,109.429,401757.041
22.12.2019 16:00:00.000 GMT-0600,109.400,109.684,109.273,109.421,322510.038
