Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,19.14411,19.20610,19.03637,19.11811,113457.9001
01.07.2019 16:00:00.000 GMT-0500,19.11965,19.12004,19.04637,19.04707,112741.3801
02.07.2019 16:00:00.000 GMT-0500,19.04717,19.08545,19.00208,19.00957,92720.21900000001
03.07.2019 16:00:00.000 GMT-0500,19.00957,19.02105,18.96621,18.98965,38636.989799999996
04.07.2019 16:00:00.000 GMT-0500,18.99758,19.07821,18.96071,19.00671,100166.76839999999
07.07.2019 16:00:00.000 GMT-0500,19.01154,19.02585,18.86271,18.90907,107474.86949999999
08.07.2019 16:00:00.000 GMT-0500,18.90907,19.36218,18.87871,19.15057,121500.56899999999
09.07.2019 16:00:00.000 GMT-0500,19.15107,19.31151,19.12717,19.13015,123600.64960000002
10.07.2019 16:00:00.000 GMT-0500,19.12771,19.16941,19.06671,19.06707,88972.95969999999
11.07.2019 16:00:00.000 GMT-0500,19.06353,19.12291,18.97274,18.98271,160750.41059999997
14.07.2019 16:00:00.000 GMT-0500,18.98264,18.99834,18.91943,18.97005,134746.5309
15.07.2019 16:00:00.000 GMT-0500,18.97175,19.11631,18.95294,19.09103,96379.7103
16.07.2019 16:00:00.000 GMT-0500,19.09103,19.12284,18.99351,19.06203,87207.38040000001
17.07.2019 16:00:00.000 GMT-0500,19.05437,19.11705,18.93915,18.93997,90259.71
18.07.2019 16:00:00.000 GMT-0500,18.93937,19.04714,18.92086,19.01903,94200.52040000001
21.07.2019 16:00:00.000 GMT-0500,19.01904,19.08477,19.00269,19.05106,74090.1503
22.07.2019 16:00:00.000 GMT-0500,19.05007,19.18951,19.03921,19.16806,83644.52049999998
23.07.2019 16:00:00.000 GMT-0500,19.16645,19.19055,19.05157,19.05503,71841.28089999998
24.07.2019 16:00:00.000 GMT-0500,19.05907,19.12504,18.96024,19.01637,108432.27060000002
25.07.2019 16:00:00.000 GMT-0500,19.01651,19.10527,18.98704,19.03440,93579.6496
28.07.2019 16:00:00.000 GMT-0500,19.03224,19.12661,19.00563,19.05883,70921.53970000001
29.07.2019 16:00:00.000 GMT-0500,19.05512,19.09047,19.01617,19.05777,95360.7998
30.07.2019 16:00:00.000 GMT-0500,19.05797,19.18621,18.94818,19.15111,130377.4493
31.07.2019 16:00:00.000 GMT-0500,19.14384,19.27860,19.11324,19.23604,134975.0719
01.08.2019 16:00:00.000 GMT-0500,19.22447,19.37324,19.19354,19.30094,139387.7996
04.08.2019 16:00:00.000 GMT-0500,19.29207,19.67120,19.28233,19.60777,141324.32909999994
05.08.2019 16:00:00.000 GMT-0500,19.60875,19.73647,19.53111,19.57112,136593.0392
06.08.2019 16:00:00.000 GMT-0500,19.57007,19.73634,19.52969,19.62246,133121.94049999997
07.08.2019 16:00:00.000 GMT-0500,19.62085,19.65487,19.40153,19.40503,104962.7397
08.08.2019 16:00:00.000 GMT-0500,19.40303,19.49104,19.37660,19.40074,80927.0506
11.08.2019 16:00:00.000 GMT-0500,19.39934,19.77411,19.38291,19.60083,105212.7717
12.08.2019 16:00:00.000 GMT-0500,19.60127,19.67686,19.35147,19.36995,109521.05040000002
13.08.2019 16:00:00.000 GMT-0500,19.37407,19.74969,19.36144,19.66904,126284.56
14.08.2019 16:00:00.000 GMT-0500,19.68503,19.76708,19.57722,19.60403,152902.39950000003
15.08.2019 16:00:00.000 GMT-0500,19.59735,19.68329,19.52003,19.65386,115460.8696
18.08.2019 16:00:00.000 GMT-0500,19.66514,19.89206,19.60454,19.85904,118213.5192
19.08.2019 16:00:00.000 GMT-0500,19.85903,19.88641,19.72031,19.75865,132767.1993
20.08.2019 16:00:00.000 GMT-0500,19.76116,19.77103,19.63666,19.68169,107097.9798
21.08.2019 16:00:00.000 GMT-0500,19.68705,19.84646,19.66003,19.81552,120446.6708
22.08.2019 16:00:00.000 GMT-0500,19.80154,19.93777,19.75639,19.91318,138859.3309
25.08.2019 16:00:00.000 GMT-0500,19.95925,20.12103,19.80863,19.92903,168742.4587
26.08.2019 16:00:00.000 GMT-0500,19.92218,20.08287,19.87701,19.98537,142177.2393
27.08.2019 16:00:00.000 GMT-0500,19.98504,20.12507,19.94674,20.07854,128456.78860000001
28.08.2019 16:00:00.000 GMT-0500,20.10214,20.25471,20.04591,20.13224,138430.61049999998
29.08.2019 16:00:00.000 GMT-0500,20.13729,20.19497,20.00821,20.04623,122824.39949999998
01.09.2019 16:00:00.000 GMT-0500,20.09103,20.15033,20.03236,20.14573,56530.64950000001
02.09.2019 16:00:00.000 GMT-0500,20.12811,20.16144,19.96221,19.97003,123833.91970000001
03.09.2019 16:00:00.000 GMT-0500,19.96775,19.98838,19.71010,19.71225,129174.77900000001
04.09.2019 16:00:00.000 GMT-0500,19.71815,19.75807,19.61246,19.74355,107789.04000000001
05.09.2019 16:00:00.000 GMT-0500,19.75779,19.76113,19.51816,19.52554,104988.84059999998
08.09.2019 16:00:00.000 GMT-0500,19.53982,19.59223,19.47234,19.56225,96718.4803
09.09.2019 16:00:00.000 GMT-0500,19.55613,19.60114,19.47242,19.48753,96225.06999999999
10.09.2019 16:00:00.000 GMT-0500,19.49333,19.57114,19.46656,19.50263,88458.86050000001
11.09.2019 16:00:00.000 GMT-0500,19.50903,19.53733,19.39826,19.43833,106330.09879999999
