Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,19.14411,19.36218,18.86271,19.15111,2291064.2285000016
31.07.2019 16:00:00.000 GMT-0500,19.14384,20.25471,19.11324,20.04623,2798689.818400001
31.08.2019 16:00:00.000 GMT-0500,20.09103,20.16144,19.31869,19.72895,2038038.5166999998
30.09.2019 16:00:00.000 GMT-0500,19.72993,19.85904,19.01585,19.22820,2213876.1933000013
31.10.2019 16:00:00.000 GMT-0500,19.23041,19.65741,19.04410,19.54232,1808665.2371000021
30.11.2019 16:00:00.000 GMT-0600,19.51897,19.62724,18.80040,18.93679,1733797.5020999992
31.12.2019 16:00:00.000 GMT-0600,18.88460,19.02628,18.64389,18.83810,2255520.932100001
31.01.2020 16:00:00.000 GMT-0600,18.86376,19.89246,18.52134,19.59191,2715136.082800005
29.02.2020 16:00:00.000 GMT-0600,19.85894,25.44374,19.15070,23.69493,3694521.4409000007
31.03.2020 16:00:00.000 GMT-0500,23.71257,25.76701,23.30691,24.18800,2793040.0126000005
30.04.2020 16:00:00.000 GMT-0500,24.13881,24.88387,22.00151,22.16511,2895776.7181000016
31.05.2020 16:00:00.000 GMT-0500,22.27221,23.22723,21.45691,22.99641,3654319.917499998
30.06.2020 16:00:00.000 GMT-0500,22.98881,23.09140,21.84837,22.27666,3198220.4430000004
31.07.2020 16:00:00.000 GMT-0500,22.28710,22.90781,21.73585,21.88574,3031549.4884000006
31.08.2020 16:00:00.000 GMT-0500,21.88499,22.69730,20.84293,22.10061,3582040.3697000034
30.09.2020 16:00:00.000 GMT-0500,22.09321,22.12256,20.82904,21.17491,3819627.5147000025
31.10.2020 16:00:00.000 GMT-0500,21.21922,21.98043,19.93475,20.17476,4151329.5242999983
30.11.2020 16:00:00.000 GMT-0600,20.19320,20.66056,19.69777,19.85631,3151665.554300004
31.12.2020 16:00:00.000 GMT-0600,19.88531,20.59841,19.54671,20.58920,3619576.0223
31.01.2021 16:00:00.000 GMT-0600,20.44487,21.04607,19.88909,20.85761,4244912.709000002
28.02.2021 16:00:00.000 GMT-0600,20.85327,21.63210,20.27909,20.44160,5293214.801999996
31.03.2021 16:00:00.000 GMT-0500,20.43419,20.49369,19.78241,20.22879,3126041.6238999995
30.04.2021 16:00:00.000 GMT-0500,20.22317,20.32551,19.71721,19.94971,3224684.5911000026
31.05.2021 16:00:00.000 GMT-0500,19.95096,20.74809,19.59651,19.93547,2855433.4987999992
30.06.2021 16:00:00.000 GMT-0500,19.92986,20.24843,19.74427,19.88029,3168480.3001
31.07.2021 16:00:00.000 GMT-0500,19.89619,20.45588,19.80157,20.06708,2327409.381500003
31.08.2021 16:00:00.000 GMT-0500,20.06611,20.67641,19.84756,20.63410,2621612.171300001
30.09.2021 16:00:00.000 GMT-0500,20.63381,20.90101,20.11791,20.54569,2858829.137900002
31.10.2021 16:00:00.000 GMT-0500,20.54965,22.15138,20.24968,21.44226,2740825.3402000037
30.11.2021 16:00:00.000 GMT-0600,21.44250,21.51356,20.32331,20.49908,2670115.8775000004
31.12.2021 16:00:00.000 GMT-0600,20.49295,20.91130,20.27553,20.63121,2850037.0262999996
31.01.2022 16:00:00.000 GMT-0600,20.62761,20.78821,20.15498,20.46564,3289578.0620999993
28.02.2022 16:00:00.000 GMT-0600,20.46441,21.46557,19.81511,19.86567,4063716.0108000026
31.03.2022 16:00:00.000 GMT-0500,19.87410,20.63781,19.72549,20.41660,3510092.190999999
30.04.2022 16:00:00.000 GMT-0500,20.40282,20.50824,19.41116,19.65280,5641474.654800001
31.05.2022 16:00:00.000 GMT-0500,19.65000,20.70064,19.46903,20.09430,4487842.399799999
30.06.2022 16:00:00.000 GMT-0500,20.08971,21.05201,20.08791,20.35460,4280229.3802
31.07.2022 16:00:00.000 GMT-0500,20.37431,20.82589,19.81010,20.13370,5154613.4382
31.08.2022 16:00:00.000 GMT-0500,20.13370,20.57776,19.75079,20.13844,6796704.058400002
30.09.2022 16:00:00.000 GMT-0500,20.13858,20.17349,19.78302,19.80239,6846831.376100002
31.10.2022 16:00:00.000 GMT-0500,19.80166,19.82597,19.03780,19.26230,6734307.474700003
30.11.2022 16:00:00.000 GMT-0600,19.25963,19.91570,19.10531,19.48524,6420608.040100001
31.12.2022 16:00:00.000 GMT-0600,19.49149,19.53274,18.56401,18.82705,5930705.495300003
31.01.2023 16:00:00.000 GMT-0600,18.82561,19.28927,18.27930,18.29944,5926463.530800007
28.02.2023 16:00:00.000 GMT-0600,18.30641,19.22837,17.89608,18.01531,8100534.250100002
31.03.2023 16:00:00.000 GMT-0500,18.02789,18.39993,17.92858,17.98581,6326306.199100001
30.04.2023 16:00:00.000 GMT-0500,17.99789,18.07518,17.40883,17.67588,7080116.6561999945
31.05.2023 16:00:00.000 GMT-0500,17.67575,17.72585,17.02223,17.11151,5076494.5622000005
30.06.2023 16:00:00.000 GMT-0500,17.11319,17.39342,16.71406,16.73974,2162704.7300000056
