Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,8.51407,8.88456,8.50712,8.84888,2622201.5619000006
31.07.2019 16:00:00.000 GMT-0500,8.84742,9.13024,8.84292,9.10914,4015731.346700002
31.08.2019 16:00:00.000 GMT-0500,9.10569,9.16440,8.87903,9.09143,3361877.5705000013
30.09.2019 16:00:00.000 GMT-0500,9.09133,9.30575,9.05002,9.18942,3332179.2893000003
31.10.2019 16:00:00.000 GMT-0500,9.18893,9.22636,9.06226,9.20384,2241756.6706000036
30.11.2019 16:00:00.000 GMT-0600,9.18972,9.21866,8.76202,8.77174,2812052.8828999996
31.12.2019 16:00:00.000 GMT-0600,8.77078,9.24503,8.75391,9.19311,3048361.1050000023
31.01.2020 16:00:00.000 GMT-0600,9.19049,9.49505,9.17442,9.38616,2420304.5513000013
29.02.2020 16:00:00.000 GMT-0600,9.43218,12.12280,9.17847,10.36649,7044407.206699995
31.03.2020 16:00:00.000 GMT-0500,10.38610,10.80430,10.12402,10.24085,7561686.676300004
30.04.2020 16:00:00.000 GMT-0500,10.21412,10.47349,9.66113,9.69946,4420442.633200004
31.05.2020 16:00:00.000 GMT-0500,9.70363,9.81128,9.19618,9.62072,6043382.390900004
30.06.2020 16:00:00.000 GMT-0500,9.62062,9.63670,9.00892,9.09037,5918696.739500009
31.07.2020 16:00:00.000 GMT-0500,9.10366,9.17648,8.66964,8.73019,5030730.818399997
31.08.2020 16:00:00.000 GMT-0500,8.70186,9.61579,8.65179,9.33042,4875310.852700006
30.09.2020 16:00:00.000 GMT-0500,9.32870,9.59829,9.11402,9.52501,3726686.889300003
31.10.2020 16:00:00.000 GMT-0500,9.51342,9.60739,8.78216,8.89457,3977303.3678000006
30.11.2020 16:00:00.000 GMT-0600,8.87292,8.91949,8.50729,8.56892,3331849.3766000043
31.12.2020 16:00:00.000 GMT-0600,8.54942,8.72872,8.36127,8.53292,3961373.856199999
31.01.2021 16:00:00.000 GMT-0600,8.56894,8.67511,8.31400,8.65466,2762392.0465000016
28.02.2021 16:00:00.000 GMT-0600,8.65052,8.67976,8.37747,8.54652,3921477.9327000002
31.03.2021 16:00:00.000 GMT-0500,8.54622,8.58746,8.14688,8.31345,3504313.0069999993
30.04.2021 16:00:00.000 GMT-0500,8.28342,8.42081,8.17463,8.31097,3596010.996500001
31.05.2021 16:00:00.000 GMT-0500,8.30987,8.71842,8.23584,8.59726,3899073.1358999945
30.06.2021 16:00:00.000 GMT-0500,8.59378,9.10424,8.52320,8.80812,4720905.405200001
31.07.2021 16:00:00.000 GMT-0500,8.79875,9.10321,8.62547,8.69052,3873781.210199997
31.08.2021 16:00:00.000 GMT-0500,8.69283,8.82983,8.54939,8.74131,3774593.582900001
30.09.2021 16:00:00.000 GMT-0500,8.73786,8.78358,8.27714,8.43178,3589763.8079000004
31.10.2021 16:00:00.000 GMT-0500,8.42971,9.12956,8.39099,9.02557,4175785.2587000006
30.11.2021 16:00:00.000 GMT-0600,9.03021,9.19343,8.75680,8.79773,3677799.511499996
31.12.2021 16:00:00.000 GMT-0600,8.79419,9.04470,8.56965,8.88565,3263158.935799999
31.01.2022 16:00:00.000 GMT-0600,8.88328,9.08832,8.68293,8.80332,5131308.894599996
28.02.2022 16:00:00.000 GMT-0600,8.80269,9.07872,8.55000,8.78294,6607064.078400008
31.03.2022 16:00:00.000 GMT-0500,8.78121,9.45282,8.64394,9.37157,5735642.358100001
30.04.2022 16:00:00.000 GMT-0500,9.34120,9.91131,9.20462,9.36208,5944843.819300001
31.05.2022 16:00:00.000 GMT-0500,9.34450,10.09168,9.34316,9.83654,6629163.612600002
30.06.2022 16:00:00.000 GMT-0500,9.84570,10.35289,9.64537,9.65561,6663192.478600001
31.07.2022 16:00:00.000 GMT-0500,9.64934,9.97302,9.45497,9.89362,10874933.436299998
31.08.2022 16:00:00.000 GMT-0500,9.89243,11.00990,9.77876,10.86693,9608736.71500001
30.09.2022 16:00:00.000 GMT-0500,10.83859,10.89402,10.21503,10.38266,10495388.561099999
31.10.2022 16:00:00.000 GMT-0500,10.38728,10.63655,9.81928,9.83497,10450101.517500006
30.11.2022 16:00:00.000 GMT-0600,9.83354,10.07605,9.68552,9.78034,8925336.114100007
31.12.2022 16:00:00.000 GMT-0600,9.78623,10.30190,9.77236,9.97994,7496839.333899999
31.01.2023 16:00:00.000 GMT-0600,9.97856,10.43260,9.86337,10.37847,6623647.644099997
28.02.2023 16:00:00.000 GMT-0600,10.38118,10.87534,10.27420,10.46453,6389833.240099998
31.03.2023 16:00:00.000 GMT-0500,10.42050,10.77278,10.24382,10.64769,3426728.7296
30.04.2023 16:00:00.000 GMT-0500,10.60207,11.29843,10.43161,11.07955,3131711.9731000043
31.05.2023 16:00:00.000 GMT-0500,11.07517,11.20434,10.46699,10.73191,3326852.3896000013
30.06.2023 16:00:00.000 GMT-0500,10.69599,10.82822,9.90358,10.03992,1755901.449999998
