Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,4.17215,4.21427,4.16455,4.20066,106055
07.07.2019 16:00:00.000 GMT-0500,4.20809,4.22243,4.18973,4.19223,102133.5
14.07.2019 16:00:00.000 GMT-0500,4.19597,4.22461,4.19127,4.20802,85886.63
21.07.2019 16:00:00.000 GMT-0500,4.21424,4.25285,4.20461,4.23850,90959.5
28.07.2019 16:00:00.000 GMT-0500,4.24577,4.29078,4.23244,4.24936,102182.99
04.08.2019 16:00:00.000 GMT-0500,4.25100,4.25499,4.20563,4.21718,140422.5
11.08.2019 16:00:00.000 GMT-0500,4.21355,4.27292,4.20277,4.25681,104660
18.08.2019 16:00:00.000 GMT-0500,4.26176,4.27376,4.23157,4.23294,73998
25.08.2019 16:00:00.000 GMT-0500,4.23596,4.30952,4.23530,4.29781,100422.25
01.09.2019 16:00:00.000 GMT-0500,4.29954,4.32875,4.26746,4.28543,94460
08.09.2019 16:00:00.000 GMT-0500,4.29118,4.33064,4.26262,4.27204,112532
15.09.2019 16:00:00.000 GMT-0500,4.27508,4.32092,4.27008,4.30913,99756
22.09.2019 16:00:00.000 GMT-0500,4.30819,4.35237,4.30719,4.34505,103405
29.09.2019 16:00:00.000 GMT-0500,4.34595,4.36295,4.31582,4.32121,92684
06.10.2019 16:00:00.000 GMT-0500,4.32267,4.34050,4.29436,4.30338,111213
13.10.2019 16:00:00.000 GMT-0500,4.30846,4.32538,4.25330,4.25330,103185
20.10.2019 16:00:00.000 GMT-0500,4.26151,4.29143,4.25636,4.28416,76712
27.10.2019 16:00:00.000 GMT-0500,4.28623,4.29559,4.25202,4.25318,81628
03.11.2019 16:00:00.000 GMT-0600,4.25268,4.32324,4.24965,4.31799,82357.25
10.11.2019 16:00:00.000 GMT-0600,4.32005,4.33638,4.31055,4.31055,65789.25
17.11.2019 16:00:00.000 GMT-0600,4.30932,4.33568,4.30415,4.32958,62891.75
24.11.2019 16:00:00.000 GMT-0600,4.32913,4.36902,4.32349,4.33582,54106.75
01.12.2019 16:00:00.000 GMT-0600,4.33618,4.34166,4.29540,4.31565,63659.75
08.12.2019 16:00:00.000 GMT-0600,4.31453,4.32134,4.27102,4.29350,79472.75
15.12.2019 16:00:00.000 GMT-0600,4.28815,4.30869,4.27375,4.30329,64793.5
22.12.2019 16:00:00.000 GMT-0600,4.30102,4.31700,4.27545,4.27642,37679.25
29.12.2019 16:00:00.000 GMT-0600,4.26801,4.29504,4.25446,4.27369,40501.5
05.01.2020 16:00:00.000 GMT-0600,4.27279,4.31085,4.26035,4.29272,80824.25
12.01.2020 16:00:00.000 GMT-0600,4.29317,4.31065,4.27662,4.30564,67821
19.01.2020 16:00:00.000 GMT-0600,4.30259,4.33697,4.29567,4.33344,61704.5
26.01.2020 16:00:00.000 GMT-0600,4.33268,4.34663,4.30313,4.30313,61883
02.02.2020 16:00:00.000 GMT-0600,4.31040,4.35042,4.30886,4.34601,65016.25
09.02.2020 16:00:00.000 GMT-0600,4.34512,4.40233,4.34423,4.39997,61304.25
16.02.2020 16:00:00.000 GMT-0600,4.39804,4.44929,4.39804,4.41664,60967.75
23.02.2020 16:00:00.000 GMT-0600,4.43256,4.44563,4.35336,4.36132,142300.5
01.03.2020 16:00:00.000 GMT-0600,4.35601,4.36161,4.23774,4.25435,172068
