Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,9.27913,9.37160,9.27223,9.35413,147094.9714
01.07.2019 16:00:00.000 GMT-0500,9.35443,9.36143,9.31516,9.32854,128206.6006
02.07.2019 16:00:00.000 GMT-0500,9.32922,9.36514,9.28563,9.30556,132071.7102
03.07.2019 16:00:00.000 GMT-0500,9.30553,9.33512,9.29695,9.32138,72316.23939999999
04.07.2019 16:00:00.000 GMT-0500,9.32138,9.46273,9.31773,9.42613,123202.84070000002
07.07.2019 16:00:00.000 GMT-0500,9.43166,9.46561,9.42072,9.45747,99862.35940000002
08.07.2019 16:00:00.000 GMT-0500,9.45747,9.49914,9.45433,9.47045,101310.09060000001
09.07.2019 16:00:00.000 GMT-0500,9.47053,9.47925,9.40645,9.41781,144741.55070000002
10.07.2019 16:00:00.000 GMT-0500,9.41743,9.42487,9.36999,9.37953,137106.8901
11.07.2019 16:00:00.000 GMT-0500,9.37933,9.39093,9.35303,9.35303,119182.531
14.07.2019 16:00:00.000 GMT-0500,9.36514,9.37746,9.35014,9.35036,123800.3092
15.07.2019 16:00:00.000 GMT-0500,9.35036,9.40271,9.34523,9.38561,121099.5113
16.07.2019 16:00:00.000 GMT-0500,9.38555,9.40513,9.35286,9.36546,101719.49
17.07.2019 16:00:00.000 GMT-0500,9.36493,9.37538,9.30013,9.30077,121341.36980000001
18.07.2019 16:00:00.000 GMT-0500,9.30010,9.39738,9.30007,9.37529,85045.19009999999
21.07.2019 16:00:00.000 GMT-0500,9.37593,9.41473,9.37469,9.40782,75548.05040000001
22.07.2019 16:00:00.000 GMT-0500,9.40775,9.47653,9.40532,9.45783,90117.90010000003
23.07.2019 16:00:00.000 GMT-0500,9.45783,9.48704,9.41542,9.42393,88732.93939999999
24.07.2019 16:00:00.000 GMT-0500,9.42393,9.46294,9.41573,9.44972,119808.21869999998
25.07.2019 16:00:00.000 GMT-0500,9.44972,9.51148,9.44220,9.49433,89633.99040000001
28.07.2019 16:00:00.000 GMT-0500,9.49283,9.51815,9.48001,9.48283,76950.13979999999
29.07.2019 16:00:00.000 GMT-0500,9.48283,9.57334,9.47943,9.56016,86199.52919999999
30.07.2019 16:00:00.000 GMT-0500,9.55163,9.67682,9.54923,9.65043,113262.85929999998
31.07.2019 16:00:00.000 GMT-0500,9.65143,9.69996,9.63492,9.64513,156483.9082
01.08.2019 16:00:00.000 GMT-0500,9.64023,9.67284,9.62718,9.62718,145920.85170000003
04.08.2019 16:00:00.000 GMT-0500,9.63033,9.65072,9.57914,9.59486,182172.69939999998
05.08.2019 16:00:00.000 GMT-0500,9.59753,9.60654,9.56643,9.58338,200663.60969999997
06.08.2019 16:00:00.000 GMT-0500,9.58193,9.64498,9.55422,9.63640,262219.8311
07.08.2019 16:00:00.000 GMT-0500,9.59523,9.64151,9.57054,9.59755,173312.10159999997
08.08.2019 16:00:00.000 GMT-0500,9.59735,9.60428,9.52380,9.52753,144293.3791
11.08.2019 16:00:00.000 GMT-0500,9.53311,9.60358,9.52773,9.55983,146268.0493
12.08.2019 16:00:00.000 GMT-0500,9.55984,9.58789,9.52503,9.53568,200122.1095
13.08.2019 16:00:00.000 GMT-0500,9.53568,9.63755,9.49023,9.62901,179610.78900000002
14.08.2019 16:00:00.000 GMT-0500,9.62891,9.65572,9.59099,9.63662,239733.6592
15.08.2019 16:00:00.000 GMT-0500,9.63778,9.69304,9.63193,9.64613,224779.7694
18.08.2019 16:00:00.000 GMT-0500,9.63823,9.68736,9.63443,9.68352,129349.0797
19.08.2019 16:00:00.000 GMT-0500,9.68292,9.73292,9.67334,9.68675,111820.08020000001
20.08.2019 16:00:00.000 GMT-0500,9.68520,9.69276,9.60757,9.62182,105008.89970000001
21.08.2019 16:00:00.000 GMT-0500,9.62241,9.69059,9.59003,9.67471,146760.841
22.08.2019 16:00:00.000 GMT-0500,9.67491,9.69820,9.56640,9.57476,187131.4612
25.08.2019 16:00:00.000 GMT-0500,9.62483,9.68244,9.61153,9.66910,192656.9102
26.08.2019 16:00:00.000 GMT-0500,9.66910,9.68748,9.62273,9.66872,138077.6293
27.08.2019 16:00:00.000 GMT-0500,9.66663,9.72954,9.62736,9.72363,131394.35099999997
28.08.2019 16:00:00.000 GMT-0500,9.72363,9.78540,9.71183,9.77125,135256.16160000002
29.08.2019 16:00:00.000 GMT-0500,9.77110,9.83839,9.76854,9.80465,135662.25970000005
01.09.2019 16:00:00.000 GMT-0500,9.81635,9.83057,9.79532,9.82014,97239.8199
02.09.2019 16:00:00.000 GMT-0500,9.82049,9.89272,9.81283,9.81295,139011.29969999997
03.09.2019 16:00:00.000 GMT-0500,9.81253,9.82310,9.72601,9.73965,127295.94080000003
04.09.2019 16:00:00.000 GMT-0500,9.72848,9.74106,9.65064,9.68530,137581.1793
05.09.2019 16:00:00.000 GMT-0500,9.68525,9.69327,9.59863,9.63713,129760.24020000001
08.09.2019 16:00:00.000 GMT-0500,9.63525,9.67024,9.63165,9.65455,110737.73999999999
09.09.2019 16:00:00.000 GMT-0500,9.65455,9.75832,9.65032,9.67893,119331.69890000002
10.09.2019 16:00:00.000 GMT-0500,9.67893,9.70610,9.66252,9.67243,106007.30949999999
11.09.2019 16:00:00.000 GMT-0500,9.67243,9.73178,9.60019,9.61854,165267.08990000002
12.09.2019 16:00:00.000 GMT-0500,9.61854,9.63317,9.58337,9.60081,122072.1191
15.09.2019 16:00:00.000 GMT-0500,9.61425,9.69203,9.59325,9.65693,134456.7805
16.09.2019 16:00:00.000 GMT-0500,9.65770,9.72890,9.64940,9.66496,129472.0393
17.09.2019 16:00:00.000 GMT-0500,9.66535,9.74496,9.66326,9.72446,133893.9201
18.09.2019 16:00:00.000 GMT-0500,9.72427,9.73968,9.67137,9.68972,159268.6777
19.09.2019 16:00:00.000 GMT-0500,9.68601,9.73728,9.65761,9.69393,128406.5991
22.09.2019 16:00:00.000 GMT-0500,9.69943,9.77678,9.68903,9.70580,108449.7202
23.09.2019 16:00:00.000 GMT-0500,9.71137,9.74321,9.65880,9.66398,91068.72999999998
24.09.2019 16:00:00.000 GMT-0500,9.66400,9.75766,9.66013,9.74949,85342.4101
25.09.2019 16:00:00.000 GMT-0500,9.74943,9.77365,9.72173,9.76054,90359.56070000002
26.09.2019 16:00:00.000 GMT-0500,9.76070,9.81608,9.75068,9.78870,112277.2607
29.09.2019 16:00:00.000 GMT-0500,9.78710,9.84931,9.78362,9.83223,141543.1002
30.09.2019 16:00:00.000 GMT-0500,9.82923,9.93060,9.82692,9.87199,165960.76909999998
01.10.2019 16:00:00.000 GMT-0500,9.87199,9.92019,9.85512,9.86663,150122.79919999998
02.10.2019 16:00:00.000 GMT-0500,9.86593,9.91093,9.83220,9.85763,124514.03159999999
03.10.2019 16:00:00.000 GMT-0500,9.86164,9.87347,9.82603,9.83357,104568.20030000001
06.10.2019 16:00:00.000 GMT-0500,9.83658,9.91969,9.83193,9.91172,95862.99990000001
07.10.2019 16:00:00.000 GMT-0500,9.91158,9.95246,9.87523,9.94338,106560.52040000001
08.10.2019 16:00:00.000 GMT-0500,9.94338,9.96406,9.91713,9.95391,86111.4593
09.10.2019 16:00:00.000 GMT-0500,9.95391,9.95699,9.81734,9.83846,129863.09070000002
10.10.2019 16:00:00.000 GMT-0500,9.83693,9.84234,9.78487,9.79729,140955.48829999994
13.10.2019 16:00:00.000 GMT-0500,9.80763,9.86084,9.80223,9.81389,81754.88990000002
14.10.2019 16:00:00.000 GMT-0500,9.81389,9.84475,9.77762,9.80756,134421.4892
15.10.2019 16:00:00.000 GMT-0500,9.80756,9.82940,9.76357,9.77560,124417.31069999997
16.10.2019 16:00:00.000 GMT-0500,9.77560,9.82112,9.68407,9.70572,129841.83959999998
17.10.2019 16:00:00.000 GMT-0500,9.70623,9.71036,9.62803,9.63661,96246.7897
20.10.2019 16:00:00.000 GMT-0500,9.65219,9.66636,9.59613,9.63914,133462.34139999998
21.10.2019 16:00:00.000 GMT-0500,9.63942,9.65763,9.61959,9.64523,127574.91060000002
22.10.2019 16:00:00.000 GMT-0500,9.64523,9.67318,9.62769,9.63832,134249.6887
23.10.2019 16:00:00.000 GMT-0500,9.63829,9.66290,9.55606,9.65373,169030.0178
24.10.2019 16:00:00.000 GMT-0500,9.65366,9.69791,9.63440,9.67833,125225.6104
27.10.2019 16:00:00.000 GMT-0500,9.68364,9.70815,9.66533,9.70134,123669.43959999998
28.10.2019 16:00:00.000 GMT-0500,9.70134,9.74964,9.69604,9.69620,150642.3396
29.10.2019 16:00:00.000 GMT-0500,9.69629,9.74145,9.64955,9.65294,140258.65069999997
30.10.2019 16:00:00.000 GMT-0500,9.65243,9.66795,9.61853,9.64768,159230.43090000006
31.10.2019 16:00:00.000 GMT-0500,9.64707,9.65605,9.54763,9.55860,143385.4398
03.11.2019 16:00:00.000 GMT-0600,9.55493,9.62631,9.53949,9.61523,119923.04890000001
04.11.2019 16:00:00.000 GMT-0600,9.61101,9.67333,9.58226,9.64503,115522.29039999998
05.11.2019 16:00:00.000 GMT-0600,9.64493,9.66453,9.59533,9.62051,98406.54120000002
06.11.2019 16:00:00.000 GMT-0600,9.62073,9.64070,9.57620,9.62448,123064.46070000003
07.11.2019 16:00:00.000 GMT-0600,9.62473,9.71611,9.62273,9.68729,90586.8301
10.11.2019 16:00:00.000 GMT-0600,9.69124,9.72329,9.69124,9.69443,70317.8297
