Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,9.27913,9.67682,9.27223,9.65043,2498355.281800001
31.07.2019 16:00:00.000 GMT-0500,9.65143,9.83839,9.49023,9.80465,3668698.430799999
31.08.2019 16:00:00.000 GMT-0500,9.81635,9.89272,9.58337,9.83223,2568843.2359000016
30.09.2019 16:00:00.000 GMT-0500,9.82923,9.96406,9.55606,9.64768,2934545.107600001
31.10.2019 16:00:00.000 GMT-0500,9.64707,9.76506,9.53796,9.57053,1924995.8202999993
30.11.2019 16:00:00.000 GMT-0600,9.56213,9.58804,9.29381,9.35660,2721809.696900001
31.12.2019 16:00:00.000 GMT-0600,9.35370,9.68381,9.31939,9.61393,3274969.3815999995
31.01.2020 16:00:00.000 GMT-0600,9.60113,9.83446,9.54986,9.57493,2961004.1466000006
29.02.2020 16:00:00.000 GMT-0600,9.62694,10.46372,9.30154,9.87804,7317151.1304
31.03.2020 16:00:00.000 GMT-0500,9.88048,10.20452,9.74499,9.75299,5589792.516200003
30.04.2020 16:00:00.000 GMT-0500,9.74024,9.94107,9.39779,9.40774,3933143.3852000018
31.05.2020 16:00:00.000 GMT-0500,9.39462,9.47993,9.12933,9.31716,4056627.2243999992
30.06.2020 16:00:00.000 GMT-0500,9.31708,9.37780,8.64003,8.77273,3728323.090300002
31.07.2020 16:00:00.000 GMT-0500,8.77353,8.81703,8.60554,8.64084,3294635.526799999
31.08.2020 16:00:00.000 GMT-0500,8.64083,9.16507,8.59501,8.95383,3148131.414500001
30.09.2020 16:00:00.000 GMT-0500,8.95300,8.97276,8.68968,8.88394,2982429.784499999
31.10.2020 16:00:00.000 GMT-0500,8.89304,8.94513,8.44361,8.58248,2879119.570300004
30.11.2020 16:00:00.000 GMT-0600,8.56983,8.57655,8.14809,8.22012,2964569.1877999967
31.12.2020 16:00:00.000 GMT-0600,8.19794,8.43053,8.12374,8.35764,3316249.4568000003
31.01.2021 16:00:00.000 GMT-0600,8.35181,8.47984,8.20515,8.42812,2656323.684000001
28.02.2021 16:00:00.000 GMT-0600,8.42776,8.76424,8.35464,8.72673,3333736.6231999993
31.03.2021 16:00:00.000 GMT-0500,8.72663,8.76173,8.31655,8.46928,2913706.1075999993
30.04.2021 16:00:00.000 GMT-0500,8.44488,8.50657,8.24395,8.29254,3250055.0758000007
31.05.2021 16:00:00.000 GMT-0500,8.27456,8.64039,8.23462,8.54559,2999465.2946
30.06.2021 16:00:00.000 GMT-0500,8.54638,8.73354,8.52070,8.57749,3299235.7597000008
31.07.2021 16:00:00.000 GMT-0500,8.57479,8.85398,8.56487,8.61972,2756264.9539000015
31.08.2021 16:00:00.000 GMT-0500,8.62001,8.81151,8.52015,8.75639,2961258.235500002
30.09.2021 16:00:00.000 GMT-0500,8.74869,8.82598,8.50467,8.58364,3226063.847300003
31.10.2021 16:00:00.000 GMT-0500,8.58517,9.18209,8.50963,9.01769,3873472.8128
30.11.2021 16:00:00.000 GMT-0600,9.00988,9.17973,8.99221,9.04271,3349734.276099998
31.12.2021 16:00:00.000 GMT-0600,9.02633,9.47843,8.89639,9.31936,2758963.5311999987
31.01.2022 16:00:00.000 GMT-0600,9.31152,9.64169,9.04517,9.45455,4796777.359199998
28.02.2022 16:00:00.000 GMT-0600,9.45180,10.06763,9.22253,9.39021,7614373.857700001
31.03.2022 16:00:00.000 GMT-0500,9.36496,9.90301,9.33588,9.82018,5349776.221999997
30.04.2022 16:00:00.000 GMT-0500,9.79363,10.17913,9.71533,9.75737,5757721.769199999
31.05.2022 16:00:00.000 GMT-0500,9.73380,10.34470,9.67153,10.22008,6702367.868799996
30.06.2022 16:00:00.000 GMT-0500,10.19914,10.68194,10.12602,10.13625,6490204.636799999
31.07.2022 16:00:00.000 GMT-0500,10.15691,10.76174,9.99839,10.64937,9037069.8594
31.08.2022 16:00:00.000 GMT-0500,10.63272,11.49432,10.41133,11.09894,8384232.240400007
30.09.2022 16:00:00.000 GMT-0500,11.07743,11.47575,10.81685,11.03256,10496935.344699994
31.10.2022 16:00:00.000 GMT-0500,11.02013,11.23931,10.30055,10.48916,8490781.569300005
30.11.2022 16:00:00.000 GMT-0600,10.48808,10.53890,10.14341,10.42243,6943270.357000002
31.12.2022 16:00:00.000 GMT-0600,10.39702,10.74851,10.17381,10.45514,5647631.191399997
31.01.2023 16:00:00.000 GMT-0600,10.45514,10.67255,10.24263,10.45900,4278950.547599998
28.02.2023 16:00:00.000 GMT-0600,10.45920,10.77910,10.20027,10.37108,3938363.906600004
31.03.2023 16:00:00.000 GMT-0500,10.37209,10.56293,10.22172,10.25743,2313429.455900001
30.04.2023 16:00:00.000 GMT-0500,10.23718,10.95765,10.13159,10.84637,3304837.1132000037
31.05.2023 16:00:00.000 GMT-0500,10.83446,10.94534,10.55892,10.77943,2759967.781100001
30.06.2023 16:00:00.000 GMT-0500,10.76702,10.99063,10.13862,10.23843,1130316.5800000022
