Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,9.27913,9.46273,9.27223,9.42613,602892.3623000002
07.07.2019 16:00:00.000 GMT-0500,9.43166,9.49914,9.35303,9.35303,602203.4217999999
14.07.2019 16:00:00.000 GMT-0500,9.36514,9.40513,9.30007,9.37529,553005.8704000002
21.07.2019 16:00:00.000 GMT-0500,9.37593,9.51148,9.37469,9.49433,463841.09899999993
28.07.2019 16:00:00.000 GMT-0500,9.49283,9.69996,9.47943,9.62718,578817.2882000001
04.08.2019 16:00:00.000 GMT-0500,9.63033,9.65072,9.52380,9.52753,962661.6209000004
11.08.2019 16:00:00.000 GMT-0500,9.53311,9.69304,9.49023,9.64613,990514.3763999998
18.08.2019 16:00:00.000 GMT-0500,9.63823,9.73292,9.56640,9.57476,680070.3618000002
25.08.2019 16:00:00.000 GMT-0500,9.62483,9.83839,9.61153,9.80465,733047.3118
01.09.2019 16:00:00.000 GMT-0500,9.81635,9.89272,9.59863,9.63713,630888.4799000002
08.09.2019 16:00:00.000 GMT-0500,9.63525,9.75832,9.58337,9.60081,623415.9573999997
15.09.2019 16:00:00.000 GMT-0500,9.61425,9.74496,9.59325,9.69393,685498.0167000002
22.09.2019 16:00:00.000 GMT-0500,9.69943,9.81608,9.65880,9.78870,487497.6817000001
29.09.2019 16:00:00.000 GMT-0500,9.78710,9.93060,9.78362,9.83357,686708.9004
06.10.2019 16:00:00.000 GMT-0500,9.83658,9.96406,9.78487,9.79729,559353.5586
13.10.2019 16:00:00.000 GMT-0500,9.80763,9.86084,9.62803,9.63661,566682.3191
20.10.2019 16:00:00.000 GMT-0500,9.65219,9.69791,9.55606,9.67833,689542.5689000001
27.10.2019 16:00:00.000 GMT-0500,9.68364,9.74964,9.54763,9.55860,717186.3006000001
03.11.2019 16:00:00.000 GMT-0600,9.55493,9.71611,9.53949,9.68729,547503.1713000003
10.11.2019 16:00:00.000 GMT-0600,9.69124,9.76506,9.62588,9.63345,423327.13930000004
17.11.2019 16:00:00.000 GMT-0600,9.63073,9.72085,9.58543,9.61700,440375.18979999993
24.11.2019 16:00:00.000 GMT-0600,9.62763,9.65350,9.53796,9.57053,370404.88009999983
01.12.2019 16:00:00.000 GMT-0600,9.56213,9.58804,9.46486,9.49324,414659.7594999999
08.12.2019 16:00:00.000 GMT-0600,9.49733,9.54480,9.32373,9.38436,739587.5213000003
15.12.2019 16:00:00.000 GMT-0600,9.37863,9.44166,9.33528,9.39933,638583.6510000003
22.12.2019 16:00:00.000 GMT-0600,9.40013,9.45112,9.31693,9.31693,520127.3021000001
29.12.2019 16:00:00.000 GMT-0600,9.33033,9.45857,9.29381,9.39508,788620.2949999997
05.01.2020 16:00:00.000 GMT-0600,9.39403,9.52127,9.38735,9.49443,887564.4201999997
12.01.2020 16:00:00.000 GMT-0600,9.49533,9.52935,9.44083,9.50893,678472.8995999999
19.01.2020 16:00:00.000 GMT-0600,9.51064,9.57705,9.48859,9.55693,625410.1797999998
26.01.2020 16:00:00.000 GMT-0600,9.55933,9.68381,9.55754,9.61393,703753.0499999998
02.02.2020 16:00:00.000 GMT-0600,9.60113,9.67022,9.54986,9.65245,717710.6689000003
09.02.2020 16:00:00.000 GMT-0600,9.65164,9.72477,9.61210,9.71224,596674.8281999996
16.02.2020 16:00:00.000 GMT-0600,9.69637,9.83446,9.67818,9.70946,610449.8984000002
23.02.2020 16:00:00.000 GMT-0600,9.76884,9.80141,9.57189,9.57493,1036168.7510999994
01.03.2020 16:00:00.000 GMT-0600,9.62694,9.63464,9.33071,9.36544,1257683.1916000003
08.03.2020 16:00:00.000 GMT-0500,9.38725,9.87105,9.30154,9.66843,1643299.0345000005
15.03.2020 16:00:00.000 GMT-0500,9.65695,10.45945,9.59165,10.34590,1712370.2024000003
22.03.2020 16:00:00.000 GMT-0500,10.36639,10.46372,9.84390,9.88071,1905171.4418
29.03.2020 16:00:00.000 GMT-0500,9.89030,10.19900,9.86894,10.17015,1748702.2254
05.04.2020 16:00:00.000 GMT-0500,10.16023,10.20452,9.91643,9.92715,1455957.4964000005
12.04.2020 16:00:00.000 GMT-0500,9.92569,10.08151,9.89876,9.97352,1201826.0062999995
19.04.2020 16:00:00.000 GMT-0500,9.97855,10.13459,9.96115,10.02692,1102697.5261000004
26.04.2020 16:00:00.000 GMT-0500,10.02613,10.06815,9.74013,9.83247,1065416.3911000004
03.05.2020 16:00:00.000 GMT-0500,9.82602,9.94107,9.73180,9.76523,945643.8267999999
10.05.2020 16:00:00.000 GMT-0500,9.79676,9.91015,9.70789,9.85095,956690.9401999995
17.05.2020 16:00:00.000 GMT-0500,9.81711,9.86813,9.55742,9.65499,886105.771
24.05.2020 16:00:00.000 GMT-0500,9.66821,9.70157,9.39779,9.40774,958522.9781999998
31.05.2020 16:00:00.000 GMT-0500,9.39462,9.43393,9.12933,9.16920,798600.7390999997
07.06.2020 16:00:00.000 GMT-0500,9.15589,9.39228,9.13734,9.32248,932694.0382000003
14.06.2020 16:00:00.000 GMT-0500,9.33699,9.47993,9.24263,9.46502,1126932.8781000008
21.06.2020 16:00:00.000 GMT-0500,9.45436,9.47115,9.25137,9.32737,865322.7701
28.06.2020 16:00:00.000 GMT-0500,9.30906,9.38733,9.23623,9.29994,786512.6316
05.07.2020 16:00:00.000 GMT-0500,9.31122,9.34640,9.14463,9.19176,792593.102
12.07.2020 16:00:00.000 GMT-0500,9.17761,9.20438,9.00686,9.02498,717108.0609999996
19.07.2020 16:00:00.000 GMT-0500,9.01503,9.05197,8.78310,8.83249,815466.2614999998
26.07.2020 16:00:00.000 GMT-0500,8.82093,8.84581,8.64003,8.77273,949719.8331000003
02.08.2020 16:00:00.000 GMT-0500,8.77353,8.80672,8.62349,8.74566,903841.9902000002
09.08.2020 16:00:00.000 GMT-0500,8.73885,8.79022,8.65154,8.68268,750101.3982999999
