Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,30.6612,30.7022,30.5022,30.6422,7866.180000000001
01.07.2019 16:00:00.000 GMT-0500,30.6532,30.7682,30.5312,30.6132,9449.970000000001
02.07.2019 16:00:00.000 GMT-0500,30.5432,30.6122,30.5122,30.5952,7936.22
03.07.2019 16:00:00.000 GMT-0500,30.6492,30.6722,30.5542,30.6682,5979.219999999999
04.07.2019 16:00:00.000 GMT-0500,30.6492,30.8172,30.6202,30.7642,7243.729999999999
07.07.2019 16:00:00.000 GMT-0500,30.7692,30.8232,30.7372,30.8058,7348.44
08.07.2019 16:00:00.000 GMT-0500,30.8102,30.8528,30.7868,30.7978,7404.0999999999985
09.07.2019 16:00:00.000 GMT-0500,30.8338,30.8822,30.6322,30.6568,9925.51
10.07.2019 16:00:00.000 GMT-0500,30.6588,30.7382,30.5472,30.7252,10277.430000000002
11.07.2019 16:00:00.000 GMT-0500,30.7828,30.9528,30.6562,30.8972,12101.020000000002
14.07.2019 16:00:00.000 GMT-0500,30.8988,30.9422,30.8472,30.8962,7390.25
15.07.2019 16:00:00.000 GMT-0500,30.8838,30.9228,30.8412,30.9192,7429.289999999999
16.07.2019 16:00:00.000 GMT-0500,30.9142,30.9442,30.8542,30.8672,7602.78
17.07.2019 16:00:00.000 GMT-0500,30.9002,30.9022,30.8022,30.8332,7537.499999999999
18.07.2019 16:00:00.000 GMT-0500,30.7998,30.8442,30.7282,30.8412,7855.9400000000005
21.07.2019 16:00:00.000 GMT-0500,30.8322,30.8658,30.8052,30.8442,7103.97
22.07.2019 16:00:00.000 GMT-0500,30.8428,30.9218,30.8272,30.8938,6901.34
23.07.2019 16:00:00.000 GMT-0500,30.9022,30.9359,30.8692,30.9059,7425.539999999999
24.07.2019 16:00:00.000 GMT-0500,30.8922,30.9542,30.8319,30.9459,7983.869999999999
25.07.2019 16:00:00.000 GMT-0500,30.9722,31.0112,30.8489,30.8572,7802.990000000001
28.07.2019 16:00:00.000 GMT-0500,30.8649,30.8819,30.8122,30.8532,4145.71
29.07.2019 16:00:00.000 GMT-0500,30.8509,30.8549,30.7772,30.7872,6757.459999999999
30.07.2019 16:00:00.000 GMT-0500,30.7872,30.8069,30.6762,30.7072,6725.01
31.07.2019 16:00:00.000 GMT-0500,30.9082,30.9432,30.7982,30.8839,9929.31
01.08.2019 16:00:00.000 GMT-0500,30.9249,30.9249,30.6952,30.7159,13867.53
04.08.2019 16:00:00.000 GMT-0500,30.7472,30.8732,30.7272,30.8199,13846.859900000003
05.08.2019 16:00:00.000 GMT-0500,30.8192,30.8439,30.7072,30.7282,11246.839999999998
06.08.2019 16:00:00.000 GMT-0500,30.7189,30.9099,30.6822,30.8072,12137.680000000002
07.08.2019 16:00:00.000 GMT-0500,30.7942,30.8032,30.7319,30.7479,10091.41
08.08.2019 16:00:00.000 GMT-0500,30.7289,30.7972,30.7059,30.7662,8350.710000000001
