Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,5.73190,5.74808,5.62525,5.64373,65816.2304
01.07.2019 16:00:00.000 GMT-0500,5.64474,5.69999,5.62967,5.65181,57039.4402
02.07.2019 16:00:00.000 GMT-0500,5.65182,5.66335,5.60826,5.61860,47790.949799999995
03.07.2019 16:00:00.000 GMT-0500,5.61861,5.62577,5.58412,5.58829,45216.350099999996
04.07.2019 16:00:00.000 GMT-0500,5.59013,5.64651,5.58803,5.62589,51932.85970000001
07.07.2019 16:00:00.000 GMT-0500,5.77456,5.78712,5.70739,5.73008,42940.085199999994
08.07.2019 16:00:00.000 GMT-0500,5.73021,5.74660,5.68767,5.72903,57430.47959999999
09.07.2019 16:00:00.000 GMT-0500,5.72903,5.75909,5.66769,5.66837,69078.2298
10.07.2019 16:00:00.000 GMT-0500,5.66681,5.69124,5.65527,5.67094,71425.27940000001
11.07.2019 16:00:00.000 GMT-0500,5.66980,5.77877,5.66980,5.71584,82562.8703
14.07.2019 16:00:00.000 GMT-0500,5.71967,5.73200,5.69559,5.71170,134566.1594
15.07.2019 16:00:00.000 GMT-0500,5.71171,5.72394,5.69802,5.70694,158646.45020000002
16.07.2019 16:00:00.000 GMT-0500,5.70964,5.71777,5.67650,5.68178,65937.7602
17.07.2019 16:00:00.000 GMT-0500,5.68178,5.70911,5.61101,5.61312,47347.6703
18.07.2019 16:00:00.000 GMT-0500,5.61236,5.67696,5.61236,5.64558,44159.549999999996
21.07.2019 16:00:00.000 GMT-0500,5.64767,5.69420,5.64197,5.67486,63457.09039999998
22.07.2019 16:00:00.000 GMT-0500,5.67453,5.72521,5.66722,5.71450,37157.1499
23.07.2019 16:00:00.000 GMT-0500,5.70743,5.73947,5.69220,5.70358,33842.169599999994
24.07.2019 16:00:00.000 GMT-0500,5.70359,5.76994,5.65297,5.69732,49875.57989999999
25.07.2019 16:00:00.000 GMT-0500,5.69762,5.70317,5.61755,5.66689,36770.7999
28.07.2019 16:00:00.000 GMT-0500,5.65347,5.66967,5.60214,5.60942,30831.5897
29.07.2019 16:00:00.000 GMT-0500,5.60872,5.62033,5.54863,5.55651,43842.6106
