Local time,Open,High,Low,Close,Volume
30.06.2019 16:00:00.000 GMT-0500,14.07447,14.17335,14.03188,14.12503,119903.5898
01.07.2019 16:00:00.000 GMT-0500,14.12373,14.21140,14.07543,14.08937,127364.5097
02.07.2019 16:00:00.000 GMT-0500,14.08860,14.15399,14.03753,14.05213,103376.02040000001
03.07.2019 16:00:00.000 GMT-0500,14.05213,14.08156,13.95361,14.04502,93213.9502
04.07.2019 16:00:00.000 GMT-0500,14.04502,14.27535,14.00697,14.16946,115825.97160000002
07.07.2019 16:00:00.000 GMT-0500,14.20134,14.23584,14.09987,14.18078,131572.16939999998
08.07.2019 16:00:00.000 GMT-0500,14.18077,14.26131,14.12866,14.17187,110729.9405
09.07.2019 16:00:00.000 GMT-0500,14.17083,14.22944,13.96297,13.98073,112379.73989999997
10.07.2019 16:00:00.000 GMT-0500,13.98073,13.99124,13.85537,13.96674,113135.7512
11.07.2019 16:00:00.000 GMT-0500,13.96674,14.04010,13.89042,13.94653,115449.54849999998
14.07.2019 16:00:00.000 GMT-0500,13.97022,13.97607,13.85507,13.89697,89223.23039999999
15.07.2019 16:00:00.000 GMT-0500,13.89623,13.95529,13.83156,13.94696,94148.20030000001
16.07.2019 16:00:00.000 GMT-0500,13.94593,14.00905,13.93237,14.00807,126560.99060000002
17.07.2019 16:00:00.000 GMT-0500,14.00623,14.04047,13.81372,13.83437,88593.33080000001
18.07.2019 16:00:00.000 GMT-0500,13.83295,13.96224,13.81142,13.94408,102722.59000000001
21.07.2019 16:00:00.000 GMT-0500,13.90259,13.97264,13.82698,13.85723,93942.02950000002
22.07.2019 16:00:00.000 GMT-0500,13.85423,13.94734,13.84949,13.92822,106960.50950000001
23.07.2019 16:00:00.000 GMT-0500,13.92822,13.94668,13.84635,13.87043,97983.38899999998
24.07.2019 16:00:00.000 GMT-0500,13.86711,14.10912,13.85541,14.09022,129345.64249999999
25.07.2019 16:00:00.000 GMT-0500,14.09022,14.31455,14.06269,14.26903,101879.70060000001
28.07.2019 16:00:00.000 GMT-0500,14.24623,14.31714,14.14723,14.14743,76490.59969999999
29.07.2019 16:00:00.000 GMT-0500,14.14560,14.23796,14.13625,14.20115,110761.98999999999
30.07.2019 16:00:00.000 GMT-0500,14.20048,14.38619,14.07608,14.32673,133763.7601
31.07.2019 16:00:00.000 GMT-0500,14.32583,14.68695,14.31986,14.65924,175966.14960000003
01.08.2019 16:00:00.000 GMT-0500,14.65959,14.79468,14.56855,14.77653,175688.3618
04.08.2019 16:00:00.000 GMT-0500,14.72911,14.96402,14.72412,14.92023,152731.48069999996
05.08.2019 16:00:00.000 GMT-0500,14.90832,14.99647,14.76076,14.91597,169610.0106
06.08.2019 16:00:00.000 GMT-0500,14.91583,15.17936,14.81987,15.05117,155726.63090000002
07.08.2019 16:00:00.000 GMT-0500,15.04912,15.19697,14.96108,15.01080,132729.94879999998
08.08.2019 16:00:00.000 GMT-0500,15.01157,15.29819,15.00442,15.25107,107354.30999999997
11.08.2019 16:00:00.000 GMT-0500,15.25652,15.46444,15.21637,15.28307,118110.93950000001
12.08.2019 16:00:00.000 GMT-0500,15.27652,15.39647,15.08427,15.13565,144240.04899999997
13.08.2019 16:00:00.000 GMT-0500,15.13565,15.43703,15.09152,15.41037,150060.79960000003
14.08.2019 16:00:00.000 GMT-0500,15.40394,15.42667,15.19846,15.27417,173044.29009999998
15.08.2019 16:00:00.000 GMT-0500,15.26932,15.31672,15.15337,15.28903,122589.27989999998
18.08.2019 16:00:00.000 GMT-0500,15.28378,15.49671,15.19696,15.45997,73888.09949999998
19.08.2019 16:00:00.000 GMT-0500,15.45068,15.46597,15.30937,15.36237,79659.24010000001
20.08.2019 16:00:00.000 GMT-0500,15.36182,15.37173,15.15237,15.17823,74245.0702
21.08.2019 16:00:00.000 GMT-0500,15.17823,15.26428,15.13237,15.24303,77050.11989999998
22.08.2019 16:00:00.000 GMT-0500,15.24303,15.29557,15.07417,15.22823,111436.86010000002
25.08.2019 16:00:00.000 GMT-0500,15.35252,15.44590,15.18957,15.28097,151843.7794
26.08.2019 16:00:00.000 GMT-0500,15.26664,15.40527,15.22857,15.30117,124240.52940000001
27.08.2019 16:00:00.000 GMT-0500,15.29823,15.43227,15.24587,15.40417,98193.42910000001
28.08.2019 16:00:00.000 GMT-0500,15.39842,15.48097,15.25207,15.31851,95568.0298
29.08.2019 16:00:00.000 GMT-0500,15.31852,15.34367,15.15647,15.18303,82141.72959999999
01.09.2019 16:00:00.000 GMT-0500,15.22004,15.25163,15.12607,15.25163,54848.71029999999
02.09.2019 16:00:00.000 GMT-0500,15.25163,15.28852,15.07837,15.09337,84804.10910000003
03.09.2019 16:00:00.000 GMT-0500,15.08796,15.10383,14.74979,14.79407,75132.90030000002
04.09.2019 16:00:00.000 GMT-0500,14.79003,14.89977,14.73187,14.87977,77031.2305
05.09.2019 16:00:00.000 GMT-0500,14.87813,14.89718,14.71617,14.79303,81672.4004
08.09.2019 16:00:00.000 GMT-0500,14.79241,14.81102,14.66456,14.75577,70866.63979999999
09.09.2019 16:00:00.000 GMT-0500,14.74872,14.78062,14.62947,14.63727,76461.0703
10.09.2019 16:00:00.000 GMT-0500,14.63685,14.76227,14.60326,14.66197,64730.99050000001
11.09.2019 16:00:00.000 GMT-0500,14.65803,14.70437,14.54867,14.59157,101096.3497
12.09.2019 16:00:00.000 GMT-0500,14.58403,14.60647,14.50317,14.56062,85882.4987
15.09.2019 16:00:00.000 GMT-0500,14.61142,14.71235,14.58067,14.65732,85150.9209
16.09.2019 16:00:00.000 GMT-0500,14.65732,14.84172,14.64627,14.69487,94002.5097
17.09.2019 16:00:00.000 GMT-0500,14.70327,14.72397,14.58311,14.68007,73747.7504
18.09.2019 16:00:00.000 GMT-0500,14.67755,14.83278,14.60366,14.81167,89618.00929999999
19.09.2019 16:00:00.000 GMT-0500,14.80841,14.98623,14.72367,14.90396,83901.32949999998
22.09.2019 16:00:00.000 GMT-0500,14.87418,14.96307,14.83497,14.88400,79252.1595
23.09.2019 16:00:00.000 GMT-0500,14.87902,14.94917,14.84217,14.86106,72474.3596
24.09.2019 16:00:00.000 GMT-0500,14.85782,15.06407,14.83902,14.97873,93796.78020000002
25.09.2019 16:00:00.000 GMT-0500,14.97517,15.08213,14.92927,15.01622,78383.47959999999
26.09.2019 16:00:00.000 GMT-0500,15.01006,15.19543,15.01006,15.11424,87083.51889999998
29.09.2019 16:00:00.000 GMT-0500,15.11153,15.21926,15.11153,15.11377,114504.5302
30.09.2019 16:00:00.000 GMT-0500,15.14587,15.36834,15.11597,15.32196,108312.98950000001
01.10.2019 16:00:00.000 GMT-0500,15.31803,15.39721,15.19967,15.28936,90601.72050000001
02.10.2019 16:00:00.000 GMT-0500,15.28857,15.29397,15.12003,15.13459,85774.74999999999
03.10.2019 16:00:00.000 GMT-0500,15.13459,15.18923,15.02299,15.06634,78371.3088
06.10.2019 16:00:00.000 GMT-0500,15.05879,15.19373,15.02549,15.17113,60369.55980000001
07.10.2019 16:00:00.000 GMT-0500,15.17043,15.30733,15.08732,15.27633,105557.39039999999
08.10.2019 16:00:00.000 GMT-0500,15.27633,15.28993,15.11553,15.16545,84443.87
09.10.2019 16:00:00.000 GMT-0500,15.16545,15.23233,15.01053,15.04609,109299.0398
10.10.2019 16:00:00.000 GMT-0500,15.04609,15.04793,14.70350,14.73869,117170.9704
13.10.2019 16:00:00.000 GMT-0500,14.72971,14.86342,14.72223,14.79643,80520.67029999998
14.10.2019 16:00:00.000 GMT-0500,14.79255,14.91259,14.75863,14.88373,82476.06029999998
15.10.2019 16:00:00.000 GMT-0500,14.88079,15.05113,14.84392,14.93913,86281.1798
16.10.2019 16:00:00.000 GMT-0500,14.93853,14.96339,14.76483,14.82613,95460.97949999997
