Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,CAD,Day,1.30781,1.31448,1.30727,1.31321,96400.4503
2019-07-01,CAD,Day,1.3132,1.31381,1.30961,1.31041,94045.8309
2019-07-02,CAD,Day,1.31041,1.3119,1.30559,1.30559,99825.1705
2019-07-03,CAD,Day,1.30557,1.30793,1.30373,1.30455,62087.14969999999
2019-07-04,CAD,Day,1.30455,1.31362,1.30437,1.30772,88923.77949999999
2019-07-07,CAD,Day,1.30683,1.31026,1.30489,1.30961,73663.24960000001
2019-07-08,CAD,Day,1.30936,1.31409,1.30874,1.31242,87146.59980000001
2019-07-09,CAD,Day,1.3124,1.31437,1.30618,1.30798,118386.599
2019-07-10,CAD,Day,1.30796,1.30911,1.30415,1.30694,107748.36929999998
2019-07-11,CAD,Day,1.30694,1.30743,1.30176,1.30262,99874.9288
2019-07-14,CAD,Day,1.30268,1.3053,1.30209,1.30481,88134.75069999999
2019-07-15,CAD,Day,1.30476,1.30914,1.30224,1.30872,99283.0892
2019-07-16,CAD,Day,1.30871,1.30933,1.30351,1.30517,94133.0401
2019-07-17,CAD,Day,1.30506,1.30952,1.3025,1.30266,108648.3895
2019-07-18,CAD,Day,1.30266,1.31095,1.30153,1.30565,134729.92010000002
2019-07-21,CAD,Day,1.30584,1.31197,1.30401,1.31171,105729.46949999998
2019-07-22,CAD,Day,1.31172,1.31637,1.31125,1.31332,102243.9993
2019-07-23,CAD,Day,1.31313,1.31505,1.31184,1.31367,98106.7692
2019-07-24,CAD,Day,1.31369,1.31669,1.3115,1.31646,166046.48179999995
2019-07-25,CAD,Day,1.31646,1.31988,1.31545,1.31654,153590.94909999997
2019-07-28,CAD,Day,1.31624,1.31821,1.31486,1.31605,109248.1902
2019-07-29,CAD,Day,1.31604,1.31916,1.31435,1.31512,127452.7408
2019-07-30,CAD,Day,1.31503,1.32141,1.31048,1.31897,183081.3108
2019-07-31,CAD,Day,1.31896,1.32472,1.31803,1.3211,227988.8101
2019-08-01,CAD,Day,1.3211,1.32657,1.3199,1.32014,276481.93130000005
2019-08-04,CAD,Day,1.32093,1.32471,1.31773,1.32114,219471.3104
2019-08-05,CAD,Day,1.32106,1.32908,1.31866,1.32789,212649.3631
2019-08-06,CAD,Day,1.32765,1.33446,1.32648,1.32996,221278.1388
2019-08-07,CAD,Day,1.32995,1.33136,1.3221,1.32218,167635.24819999997
2019-08-08,CAD,Day,1.32211,1.32744,1.31957,1.32205,138692.2507
2019-08-11,CAD,Day,1.31984,1.325,1.31984,1.32368,133060.4597
2019-08-12,CAD,Day,1.32347,1.32927,1.31841,1.32225,168964.75980000003
2019-08-13,CAD,Day,1.32216,1.33253,1.32101,1.33185,192761.3815
2019-08-14,CAD,Day,1.33185,1.33391,1.32851,1.3313,189395.7515
2019-08-15,CAD,Day,1.3313,1.33245,1.32598,1.32642,139977.8396
2019-08-18,CAD,Day,1.32618,1.33367,1.32506,1.3324,97571.1001
2019-08-19,CAD,Day,1.33232,1.33456,1.33082,1.33184,106743.94849999998
2019-08-20,CAD,Day,1.33184,1.3324,1.32538,1.32855,95976.1699
2019-08-21,CAD,Day,1.32857,1.33149,1.32749,1.33024,110173.01159999998
2019-08-22,CAD,Day,1.33026,1.33389,1.32765,1.32808,133735.139
2019-08-25,CAD,Day,1.32903,1.33192,1.32464,1.32538,178167.11969999995
2019-08-26,CAD,Day,1.32538,1.33006,1.32247,1.32809,120506.0304
2019-08-27,CAD,Day,1.32817,1.33179,1.3276,1.3306,119405.02090000005
2019-08-28,CAD,Day,1.33058,1.33186,1.32723,1.32864,125856.04919999998
2019-08-29,CAD,Day,1.32862,1.33333,1.3247,1.33085,126680.5303
2019-09-01,CAD,Day,1.33157,1.33607,1.33119,1.33194,88394.8999
