Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,CHF,Day,0.97853,0.98838,0.97802,0.98756,95354.1596
2019-07-01,CHF,Day,0.98755,0.98887,0.98353,0.9862,77848.58939999998
2019-07-02,CHF,Day,0.98616,0.98727,0.98341,0.98625,83482.03050000001
2019-07-03,CHF,Day,0.98625,0.98697,0.98436,0.98436,41088.6001
2019-07-04,CHF,Day,0.98436,0.99318,0.984,0.99147,88249.29009999998
2019-07-07,CHF,Day,0.99149,0.99467,0.98984,0.99375,66021.90999999999
2019-07-08,CHF,Day,0.99373,0.99513,0.99228,0.99348,75080.94970000001
2019-07-09,CHF,Day,0.99345,0.99411,0.98871,0.9894,84618.7099
2019-07-10,CHF,Day,0.98935,0.99045,0.98453,0.99001,91820.2696
2019-07-11,CHF,Day,0.98982,0.99078,0.98359,0.984,87063.1502
2019-07-14,CHF,Day,0.98377,0.98542,0.98171,0.98439,63667.40989999999
2019-07-15,CHF,Day,0.98436,0.98939,0.98355,0.98777,79518.00000000001
2019-07-16,CHF,Day,0.98777,0.99074,0.98643,0.98742,62645.4609
2019-07-17,CHF,Day,0.98742,0.98915,0.98088,0.98136,98390.2696
2019-07-18,CHF,Day,0.98135,0.9847,0.98056,0.98154,95317.2698
2019-07-21,CHF,Day,0.98234,0.98404,0.98036,0.98192,72135.20020000002
2019-07-22,CHF,Day,0.98192,0.9859,0.98168,0.98517,75340.2796
2019-07-23,CHF,Day,0.98517,0.98741,0.98361,0.98463,85189.74889999999
2019-07-24,CHF,Day,0.98467,0.99174,0.98437,0.99074,99676.9907
2019-07-25,CHF,Day,0.99074,0.99459,0.98999,0.99322,72960.1498
2019-07-28,CHF,Day,0.99309,0.99365,0.99086,0.99155,57145.49050000001
2019-07-29,CHF,Day,0.99153,0.99219,0.98904,0.99005,92462.3901
2019-07-30,CHF,Day,0.99005,0.9949,0.98838,0.99388,133615.38059999995
2019-07-31,CHF,Day,0.99386,0.99752,0.98873,0.99027,165594.57039999997
2019-08-01,CHF,Day,0.99022,0.99073,0.98142,0.98215,189843.04070000004
2019-08-04,CHF,Day,0.98399,0.98399,0.97161,0.97337,163609.8891
2019-08-05,CHF,Day,0.97336,0.97921,0.9703,0.97666,143761.3596
2019-08-06,CHF,Day,0.97666,0.97969,0.96918,0.97547,180351.849
2019-08-07,CHF,Day,0.97547,0.97865,0.97372,0.97458,117722.6007
2019-08-08,CHF,Day,0.97464,0.97537,0.97088,0.97247,99814.6696
2019-08-11,CHF,Day,0.97257,0.97535,0.96817,0.96916,123617.9605
2019-08-12,CHF,Day,0.96911,0.9768,0.96593,0.9765,151045.52
2019-08-13,CHF,Day,0.9765,0.977,0.97052,0.97314,167788.711
