Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,DKK,Day,6.57003,6.61619,6.5636,6.61329,148888.32009999998
2019-07-01,DKK,Day,6.61329,6.61929,6.59252,6.6132,127845.97990000002
2019-07-02,DKK,Day,6.61343,6.62363,6.59767,6.61659,112756.7314
2019-07-03,DKK,Day,6.61659,6.62023,6.60663,6.61312,76816.7099
2019-07-04,DKK,Day,6.6132,6.65893,6.61172,6.64699,127280.9997
2019-07-07,DKK,Day,6.64682,6.65781,6.64282,6.6534,91646.9701
2019-07-08,DKK,Day,6.6534,6.66685,6.65085,6.65919,105235.3097
2019-07-09,DKK,Day,6.65919,6.66315,6.6263,6.6339,139554.7209
2019-07-10,DKK,Day,6.63372,6.64036,6.61644,6.6345,153310.17960000003
2019-07-11,DKK,Day,6.63523,6.64442,6.62252,6.6246,140628.38880000002
2019-07-14,DKK,Day,6.62623,6.63545,6.61649,6.63257,94781.0306
2019-07-15,DKK,Day,6.6324,6.66557,6.62909,6.66005,135704.6797
2019-07-16,DKK,Day,6.66007,6.66732,6.64724,6.65277,106533.40929999998
2019-07-17,DKK,Day,6.65277,6.66383,6.619,6.6198,138852.2513
2019-07-18,DKK,Day,6.62023,6.66328,6.61733,6.6517,142300.2406
2019-07-21,DKK,Day,6.65545,6.66234,6.65089,6.65982,85271.87039999997
2019-07-22,DKK,Day,6.65982,6.69746,6.65942,6.69376,96237.3793
2019-07-23,DKK,Day,6.69369,6.70929,6.6915,6.70134,108481.60910000002
2019-07-24,DKK,Day,6.70134,6.72406,6.67356,6.6976,150606.36079999997
2019-07-25,DKK,Day,6.6975,6.72031,6.69559,6.7096,104824.9912
2019-07-28,DKK,Day,6.70932,6.71883,6.69558,6.6992,88196.1499
2019-07-29,DKK,Day,6.6992,6.70695,6.69051,6.69403,107231.83930000002
2019-07-30,DKK,Day,6.69403,6.75162,6.6895,6.74181,150827.33069999996
2019-07-31,DKK,Day,6.74174,6.77056,6.7287,6.7351,200511.9806
2019-08-01,DKK,Day,6.73468,6.74452,6.71631,6.7221,209109.2494
2019-08-04,DKK,Day,6.71698,6.72302,6.65633,6.66207,197418.8205
2019-08-05,DKK,Day,6.66186,6.68375,6.63433,6.66401,210082.4109
2019-08-06,DKK,Day,6.6637,6.67573,6.63814,6.66191,250757.0483
2019-08-07,DKK,Day,6.66181,6.67608,6.64323,6.67369,222375.5083
2019-08-08,DKK,Day,6.67369,6.674,6.64982,6.6629,147022.9495
2019-08-11,DKK,Day,6.6612,6.6863,6.64554,6.65583,163044.1097
2019-08-12,DKK,Day,6.65581,6.68094,6.64653,6.68036,236936.5371
2019-08-13,DKK,Day,6.68036,6.70131,6.66615,6.6955,179599.80120000002
2019-08-14,DKK,Day,6.6962,6.72493,6.68455,6.715,219708.93999999997
2019-08-15,DKK,Day,6.7148,6.73972,6.71208,6.7227,153668.4297
2019-08-18,DKK,Day,6.71936,6.73233,6.71059,6.731,86828.9689
2019-08-19,DKK,Day,6.7309,6.73782,6.7128,6.7157,89806.06979999998
2019-08-20,DKK,Day,6.716,6.72833,6.71301,6.726,82608.9302
2019-08-21,DKK,Day,6.726,6.73875,6.70915,6.7284,107637.67979999998
2019-08-22,DKK,Day,6.7284,6.74592,6.6861,6.69149,139431.45930000002
2019-08-25,DKK,Day,6.68703,6.72116,6.67857,6.71749,145547.81970000008
2019-08-26,DKK,Day,6.7164,6.72633,6.70843,6.7234,109723.5294
2019-08-27,DKK,Day,6.7234,6.73418,6.7191,6.73021,111784.7296
2019-08-28,DKK,Day,6.7301,6.75234,6.72181,6.7431,107264.85
2019-08-29,DKK,Day,6.7431,6.80055,6.74094,6.7838,115526.5595
2019-09-01,DKK,Day,6.78332,6.80413,6.77998,6.79577,70294.45009999999
2019-09-02,DKK,Day,6.7958,6.82422,6.7918,6.7941,125110.8796
2019-09-03,DKK,Day,6.79439,6.79806,6.757,6.75865,107268.66950000002
2019-09-04,DKK,Day,6.7581,6.77013,6.72993,6.76043,112945.0511
2019-09-05,DKK,Day,6.76013,6.77019,6.74767,6.7667,107340.3799
2019-09-08,DKK,Day,6.76583,6.77339,6.73923,6.7509,84387.44039999999
2019-09-09,DKK,Day,6.7509,6.76414,6.74481,6.75515,85728.19989999996
2019-09-10,DKK,Day,6.755,6.79127,6.74778,6.77544,87025.5105
2019-09-11,DKK,Day,6.7751,6.82861,6.73126,6.7451,143497.0606
2019-09-12,DKK,Day,6.74493,6.75148,6.71782,6.74089,102236.0794
2019-09-15,DKK,Day,6.742,6.79313,6.73541,6.78558,97762.5191
2019-09-16,DKK,Day,6.7856,6.79422,6.74296,6.74341,105498.24039999998
2019-09-17,DKK,Day,6.74333,6.77984,6.74202,6.77082,100428.24
2019-09-18,DKK,Day,6.7708,6.77503,6.7431,6.7623,120061.50029999996
2019-09-19,DKK,Day,6.76242,6.79041,6.7465,6.7771,106579.8798
2019-09-22,DKK,Day,6.77973,6.8082,6.7729,6.7923,101868.2404
2019-09-23,DKK,Day,6.7915,6.79811,6.77223,6.77468,83008.7795
2019-09-24,DKK,Day,6.77189,6.82581,6.77149,6.8222,85205.21990000001
2019-09-25,DKK,Day,6.82119,6.84482,6.80653,6.8374,83541.6504
2019-09-26,DKK,Day,6.83733,6.84743,6.81299,6.8238,92129.6001
2019-09-29,DKK,Day,6.82164,6.85905,6.81945,6.84943,114803.79979999998
2019-09-30,DKK,Day,6.84984,6.86197,6.82193,6.82878,140979.23049999998
2019-10-01,DKK,Day,6.82818,6.84675,6.80963,6.81143,128013.82060000002
2019-10-02,DKK,Day,6.81143,6.82341,6.7873,6.80923,136167.5583
2019-10-03,DKK,Day,6.80818,6.8144,6.78775,6.80086,137848.1092
2019-10-06,DKK,Day,6.79933,6.81169,6.7892,6.80744,112210.4297
2019-10-07,DKK,Day,6.80743,6.82633,6.79231,6.81593,151591.1495
2019-10-08,DKK,Day,6.81635,6.81846,6.79593,6.80727,115291.971
2019-10-09,DKK,Day,6.80636,6.80711,6.76851,6.78494,165315.0007
2019-10-10,DKK,Day,6.78491,6.78891,6.75137,6.76636,186087.1609
2019-10-13,DKK,Day,6.76843,6.78167,6.76327,6.77345,105701.9698
2019-10-14,DKK,Day,6.77027,6.79672,6.76134,6.77051,159872.80969999998
2019-10-15,DKK,Day,6.77028,6.77783,6.73949,6.74769,165609.0405
2019-10-16,DKK,Day,6.74558,6.75193,6.70615,6.7155,171655.8789
2019-10-17,DKK,Day,6.71496,6.7213,6.68579,6.68709,129124.37950000002
2019-10-20,DKK,Day,6.69243,6.7072,6.68273,6.70033,110176.9303
2019-10-21,DKK,Day,6.69879,6.71954,6.6957,6.71455,119439.52009999998
2019-10-22,DKK,Day,6.71454,6.72637,6.70596,6.7113,100896.58070000002
2019-10-23,DKK,Day,6.7113,6.73418,6.69223,6.72712,145887.8008
2019-10-24,DKK,Day,6.72685,6.74574,6.71601,6.74041,96765.3799
2019-10-27,DKK,Day,6.74066,6.7437,6.72565,6.73019,88695.98030000001
2019-10-28,DKK,Day,6.73019,6.74611,6.71903,6.72263,110281.42079999998
2019-10-29,DKK,Day,6.72232,6.74266,6.69939,6.69983,147662.9391
2019-10-30,DKK,Day,6.69983,6.71107,6.68447,6.69848,154016.0005
2019-10-31,DKK,Day,6.69848,6.71346,6.68762,6.69041,126091.3295
