Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,HKD,Day,7.81088,7.81366,7.80733,7.81258,7116.100000000001
2019-07-01,HKD,Day,7.81258,7.81531,7.79767,7.79785,16246.844999999998
2019-07-02,HKD,Day,7.79785,7.80006,7.79482,7.79768,21545.3149
2019-07-03,HKD,Day,7.79769,7.79776,7.78237,7.78555,12195.57
2019-07-04,HKD,Day,7.78563,7.79737,7.78492,7.79549,12171.5601
2019-07-07,HKD,Day,7.79458,7.80118,7.79435,7.79873,12036.8
2019-07-08,HKD,Day,7.7987,7.81165,7.79835,7.80738,12973.759999999998
2019-07-09,HKD,Day,7.80733,7.81868,7.80707,7.81811,12739.6299
2019-07-10,HKD,Day,7.81808,7.82337,7.81498,7.82248,10977.45
2019-07-11,HKD,Day,7.82146,7.8262,7.82045,7.82375,10378.435
2019-07-14,HKD,Day,7.8236,7.82914,7.82315,7.82519,9459.679999999998
2019-07-15,HKD,Day,7.82479,7.82711,7.81108,7.81627,16157.33
2019-07-16,HKD,Day,7.81631,7.81835,7.80901,7.81306,12724.21
2019-07-17,HKD,Day,7.81337,7.81727,7.80916,7.81513,12667.9301
2019-07-18,HKD,Day,7.81367,7.81522,7.80236,7.80754,13233.290000000005
2019-07-21,HKD,Day,7.80591,7.81077,7.80124,7.80997,11445.8602
2019-07-22,HKD,Day,7.80841,7.81288,7.80749,7.80999,9628.6
2019-07-23,HKD,Day,7.80949,7.81481,7.80915,7.81441,8635.410100000001
2019-07-24,HKD,Day,7.8128,7.81709,7.81266,7.81564,8679.359999999999
2019-07-25,HKD,Day,7.81557,7.81937,7.81241,7.81757,8271.189999999999
2019-07-28,HKD,Day,7.81652,7.82231,7.81362,7.82214,7814.829999999999
2019-07-29,HKD,Day,7.82214,7.82433,7.81967,7.82366,8607.539999999999
2019-07-30,HKD,Day,7.82228,7.82815,7.82206,7.8276,8457.02
2019-07-31,HKD,Day,7.82721,7.82855,7.82466,7.82485,6805.160000000001
2019-08-01,HKD,Day,7.82485,7.83102,7.81683,7.82966,12008.6725
2019-08-04,HKD,Day,7.82881,7.84857,7.82541,7.84536,14291.854999999998
2019-08-05,HKD,Day,7.84641,7.84709,7.82901,7.83894,17055.5899
2019-08-06,HKD,Day,7.8375,7.84329,7.83405,7.84039,12178.8501
2019-08-07,HKD,Day,7.83943,7.84229,7.83622,7.84026,10438.14
2019-08-08,HKD,Day,7.84044,7.84325,7.83789,7.84197,12364.03
2019-08-11,HKD,Day,7.84146,7.84697,7.83895,7.84656,10524.15
2019-08-12,HKD,Day,7.84649,7.84718,7.84382,7.84645,10964.929999999997
2019-08-13,HKD,Day,7.84438,7.84726,7.84376,7.84496,9540.27
2019-08-14,HKD,Day,7.84406,7.84587,7.8316,7.83995,11418.7201
2019-08-15,HKD,Day,7.84001,7.8449,7.83876,7.84456,9589.905
2019-08-18,HKD,Day,7.84327,7.84645,7.84168,7.84446,7572.839999999999
2019-08-19,HKD,Day,7.84381,7.84584,7.84115,7.84142,8941.629999999997
2019-08-20,HKD,Day,7.84124,7.84433,7.84092,7.84296,7835.825
2019-08-21,HKD,Day,7.84208,7.84425,7.83737,7.83971,8524.86
2019-08-22,HKD,Day,7.83971,7.84387,7.83621,7.84163,6862.489999999999
2019-08-25,HKD,Day,7.84032,7.84606,7.83945,7.84351,5285.619999999999
2019-08-26,HKD,Day,7.84456,7.84786,7.84339,7.84737,6937.980000000001
2019-08-27,HKD,Day,7.8471,7.84727,7.84315,7.84371,5680.76
2019-08-28,HKD,Day,7.84395,7.84673,7.84144,7.84521,6502.419999999999
2019-08-29,HKD,Day,7.84531,7.84658,7.83387,7.84015,9075.05
2019-09-01,HKD,Day,7.84214,7.84356,7.83946,7.84132,6154.579999999999
2019-09-02,HKD,Day,7.84115,7.84463,7.84106,7.84375,6973.33
2019-09-03,HKD,Day,7.84363,7.84507,7.83783,7.84017,10956.125299999998
