Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,HUF,Day,284.165,286.535,284.045,286.435,54117.9196
2019-07-01,HUF,Day,286.405,286.615,285.22,286.264,46318.2407
2019-07-02,HUF,Day,286.067,286.746,284.989,285.745,48128.5806
2019-07-03,HUF,Day,285.665,286.496,285.299,286.025,27829.4799
2019-07-04,HUF,Day,285.785,289.451,285.785,288.586,46802.7504
2019-07-07,HUF,Day,288.505,289.75,288.385,289.655,48390.419600000016
2019-07-08,HUF,Day,289.385,290.8,289.292,290.509,40095.04030000001
2019-07-09,HUF,Day,290.395,290.838,289.125,289.35,59562.42020000001
2019-07-10,HUF,Day,289.206,289.845,288.625,289.546,55327.97989999999
2019-07-11,HUF,Day,289.485,289.841,288.695,288.865,62531.340499999984
2019-07-14,HUF,Day,288.875,289.21,288.695,288.895,47381.0099
2019-07-15,HUF,Day,288.775,291.026,288.686,290.799,41974.4601
2019-07-16,HUF,Day,290.666,291.37,290.494,290.855,32511.059799999995
2019-07-17,HUF,Day,290.785,291.37,288.745,288.845,46565.4203
2019-07-18,HUF,Day,288.775,290.084,288.715,289.6,49810.1306
2019-07-21,HUF,Day,289.854,290.205,289.434,290.064,34201.3501
2019-07-22,HUF,Day,290.221,292.421,290.132,292.337,40727.1498
2019-07-23,HUF,Day,292.029,292.801,291.603,292.136,42381.1895
2019-07-24,HUF,Day,291.91,293.376,291.29,292.716,70198.4999
2019-07-25,HUF,Day,292.596,294.18,292.589,293.846,52145.1703
2019-07-28,HUF,Day,293.496,294.563,293.194,294.062,40665.4901
2019-07-29,HUF,Day,294.012,294.503,293.341,293.539,45143.23
2019-07-30,HUF,Day,293.66,294.823,292.255,294.602,74631.32
2019-07-31,HUF,Day,294.311,296.529,294.197,295.23,88355.09000000001
2019-08-01,HUF,Day,295.157,295.778,293.747,294.746,94191.8003
2019-08-04,HUF,Day,294.554,294.725,291.223,291.795,80985.3207
2019-08-05,HUF,Day,291.555,292.035,289.925,290.011,75334.5499
2019-08-06,HUF,Day,289.855,290.925,289.405,290.755,78255.39999999998
2019-08-07,HUF,Day,290.985,291.035,288.898,289.785,63202.2406
2019-08-08,HUF,Day,289.575,290.175,289.115,289.523,47286.5702
2019-08-11,HUF,Day,289.575,290.775,288.773,289.176,53543.18000000001
2019-08-12,HUF,Day,289.015,289.915,288.545,289.495,71142.9091
2019-08-13,HUF,Day,289.485,292.555,289.018,292.284,67119.97959999999
2019-08-14,HUF,Day,292.015,293.625,291.572,293.015,78487.0306
2019-08-15,HUF,Day,293.135,293.735,292.285,292.505,55366.1602
2019-08-18,HUF,Day,292.335,294.802,292.22,294.735,35200.64000000001
2019-08-19,HUF,Day,294.465,295.825,294.125,295.011,34312.000199999995
2019-08-20,HUF,Day,294.745,295.405,294.655,295.29,75748.95019999999
2019-08-21,HUF,Day,295.165,296.365,294.719,296.031,51225.549900000005
2019-08-22,HUF,Day,295.905,297.31,295.036,295.601,57420.729600000006
2019-08-25,HUF,Day,294.955,296.706,294.655,296.705,65520.80039999999
2019-08-26,HUF,Day,296.495,297.195,295.715,297.155,44649.5404
2019-08-27,HUF,Day,296.855,298.357,296.855,298.125,43653.92
2019-08-28,HUF,Day,297.865,300.024,297.704,299.625,46946.0299
2019-08-29,HUF,Day,299.645,302.095,299.471,301.265,48665.2599
2019-09-01,HUF,Day,301.375,302.38,301.125,301.947,26279.39
2019-09-02,HUF,Day,301.915,303.045,300.635,300.835,53534.87
2019-09-03,HUF,Day,300.665,300.745,297.995,298.635,47161.3201
2019-09-04,HUF,Day,298.445,299.105,297.075,298.717,50251.23040000001
2019-09-05,HUF,Day,298.735,299.715,298.201,299.225,53474.3399
2019-09-08,HUF,Day,299.489,299.49,298.103,298.745,36431.4101
2019-09-09,HUF,Day,298.635,300.739,298.525,300.364,39624.4401
2019-09-10,HUF,Day,299.945,303.457,299.875,301.765,42852.9403
2019-09-11,HUF,Day,301.565,302.475,299.745,300.485,74221.0307
2019-09-12,HUF,Day,300.365,300.805,298.478,298.926,48974.5508
2019-09-15,HUF,Day,299.305,302.255,298.965,301.615,36752.4501
2019-09-16,HUF,Day,301.805,303.405,301.02,301.115,47491.4196
2019-09-17,HUF,Day,301.215,302.335,300.481,301.725,44482.0502
2019-09-18,HUF,Day,301.615,302.135,300.465,300.995,47703.87
2019-09-19,HUF,Day,300.762,303.599,300.035,302.825,45229.76040000001
2019-09-22,HUF,Day,302.815,305.745,302.398,304.675,47004.8499
2019-09-23,HUF,Day,304.695,305.775,302.605,302.785,42187.3792
2019-09-24,HUF,Day,302.755,305.605,302.605,305.225,40173.4501
2019-09-25,HUF,Day,305.225,307.415,304.655,307.245,43369.3196
2019-09-26,HUF,Day,307.255,307.985,305.755,306.398,43721.8196
2019-09-29,HUF,Day,306.116,307.715,305.845,307.145,38827.2698
2019-09-30,HUF,Day,307.185,308.151,306.48,306.675,53870.1096
2019-10-01,HUF,Day,306.735,307.135,304.472,304.505,45697.82970000001
2019-10-02,HUF,Day,304.495,304.915,301.984,302.864,49319.1299
2019-10-03,HUF,Day,302.754,303.814,302.357,302.724,42503.7102
2019-10-06,HUF,Day,302.734,304.046,302.422,303.847,33707.7302
2019-10-07,HUF,Day,303.773,305.234,303.444,304.734,46511.2303
2019-10-08,HUF,Day,304.784,304.834,303.846,304.394,44221.01990000001
2019-10-09,HUF,Day,304.474,304.474,301.464,301.554,67751.47020000001
2019-10-10,HUF,Day,301.75,301.804,299.262,300.764,62893.96
2019-10-13,HUF,Day,300.754,301.904,300.011,300.734,39069.1799
2019-10-14,HUF,Day,300.644,302.597,300.054,301.04,54658.4203
2019-10-15,HUF,Day,300.964,302.134,299.904,300.184,55290.02010000001
2019-10-16,HUF,Day,300.224,300.89,297.344,297.694,117835.3518
2019-10-17,HUF,Day,297.354,297.864,295.774,295.991,42805.83
2019-10-20,HUF,Day,296.264,296.784,295.254,295.864,30075.240099999995
2019-10-21,HUF,Day,295.824,296.684,294.956,295.454,45330.5702
2019-10-22,HUF,Day,295.514,296.324,294.484,294.634,28052.9003
2019-10-23,HUF,Day,294.694,296.899,293.964,296.714,49317.5097
2019-10-24,HUF,Day,296.394,296.763,295.774,296.604,29678.519799999995
2019-10-27,HUF,Day,296.644,296.704,295.384,295.474,29245.530100000004
2019-10-28,HUF,Day,295.564,296.95,295.474,296.744,31348.4298
2019-10-29,HUF,Day,296.584,297.224,295.333,295.554,43093.53059999999
2019-10-30,HUF,Day,295.145,295.574,293.994,294.534,55460.47029999999
2019-10-31,HUF,Day,294.644,294.904,293.364,293.74,42780.7602
2019-11-03,HUF,Day,293.704,296.024,293.394,295.974,37833.8498
2019-11-04,HUF,Day,296.041,299.381,295.354,299.149,41182.0401
2019-11-05,HUF,Day,298.954,300.034,298.684,299.804,35316.329900000004
2019-11-06,HUF,Day,299.804,301.494,299.403,300.954,46925.5699
2019-11-07,HUF,Day,300.934,303.054,300.769,302.564,34046.67
2019-11-10,HUF,Day,302.591,303.343,302.294,302.622,26195.85
2019-11-11,HUF,Day,302.742,304.114,302.622,304.004,32170.9499
