Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,ILS,Day,3.57759,3.5808,3.5634,3.5798,9728.590000000002
2019-07-01,ILS,Day,3.581,3.58178,3.5661,3.5715,11200.05
2019-07-02,ILS,Day,3.5748,3.57701,3.56206,3.56467,11111.0699
2019-07-03,ILS,Day,3.5666,3.5716,3.55507,3.5612,9565.01
2019-07-04,ILS,Day,3.5623,3.5809,3.56002,3.57159,7792.61
2019-07-07,ILS,Day,3.5755,3.57923,3.56612,3.5674,9660.68
2019-07-08,ILS,Day,3.5671,3.5711,3.5606,3.56659,8047.77
2019-07-09,ILS,Day,3.5684,3.57437,3.54797,3.5502,15745.319900000002
2019-07-10,ILS,Day,3.54317,3.5539,3.53996,3.55077,13417.79
2019-07-11,ILS,Day,3.5479,3.55497,3.54427,3.54917,7954.23
2019-07-14,ILS,Day,3.55074,3.5521,3.53077,3.5489,9774.7102
2019-07-15,ILS,Day,3.54851,3.55095,3.54089,3.5468,9331.239999999998
2019-07-16,ILS,Day,3.5454,3.5482,3.53727,3.5392,8902.0801
2019-07-17,ILS,Day,3.5361,3.5446,3.5311,3.5323,10428.19
2019-07-18,ILS,Day,3.5322,3.54151,3.5308,3.53847,6694.049999999999
2019-07-21,ILS,Day,3.53981,3.54237,3.52237,3.52546,6988.400099999999
2019-07-22,ILS,Day,3.52747,3.53969,3.52489,3.53427,6460.969999999999
2019-07-23,ILS,Day,3.53867,3.54261,3.51717,3.52056,9085.01
2019-07-24,ILS,Day,3.52272,3.52796,3.51932,3.52463,7649.04
2019-07-25,ILS,Day,3.52686,3.52917,3.51467,3.52077,7026.03
2019-07-28,ILS,Day,3.52355,3.52777,3.51307,3.51716,9019.01
2019-07-29,ILS,Day,3.51526,3.51977,3.48689,3.48746,11271.19
2019-07-30,ILS,Day,3.48897,3.51169,3.46747,3.51019,13126.9901
2019-07-31,ILS,Day,3.51079,3.52687,3.50443,3.50867,10585.879900000002
2019-08-01,ILS,Day,3.50737,3.51237,3.48523,3.48737,8378.8199
2019-08-04,ILS,Day,3.49627,3.49759,3.4811,3.4864,16026.28
2019-08-05,ILS,Day,3.48605,3.5008,3.47989,3.4832,9574.13
2019-08-06,ILS,Day,3.4818,3.4906,3.47433,3.4762,13063.4901
2019-08-07,ILS,Day,3.4765,3.4845,3.47289,3.4762,8232.99
2019-08-08,ILS,Day,3.47608,3.48137,3.46447,3.47057,14925.62
2019-08-11,ILS,Day,3.47576,3.4914,3.4683,3.4738,11224.19
2019-08-12,ILS,Day,3.47734,3.49737,3.4766,3.4854,16245.4696
2019-08-13,ILS,Day,3.4862,3.5245,3.48477,3.51715,13791.4699
2019-08-14,ILS,Day,3.5156,3.54046,3.50716,3.5392,20847.14
