Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,NOK,Month,8.51407,8.88456,8.50712,8.84888,2622201.561900001
2019-07-31,NOK,Month,8.84742,9.13024,8.84292,9.10914,4015731.346700002
2019-08-31,NOK,Month,9.10569,9.1644,8.87903,9.09143,3361877.5705000013
2019-09-30,NOK,Month,9.09133,9.30575,9.05002,9.18942,3332179.2893000003
2019-10-31,NOK,Month,9.18893,9.22636,9.06226,9.20384,2241756.670600004
2019-11-30,NOK,Month,9.18972,9.21866,8.76202,8.77174,2812052.8829
2019-12-31,NOK,Month,8.77078,9.24503,8.75391,9.19311,3048361.1050000023
2020-01-31,NOK,Month,9.19049,9.49505,9.17442,9.38616,2420304.5513000013
2020-02-29,NOK,Month,9.43218,12.1228,9.17847,10.36649,7044407.206699995
2020-03-31,NOK,Month,10.3861,10.8043,10.12402,10.24085,7561686.676300004
2020-04-30,NOK,Month,10.21412,10.47349,9.66113,9.69946,4420442.633200004
2020-05-31,NOK,Month,9.70363,9.81128,9.19618,9.62072,6043382.390900004
2020-06-30,NOK,Month,9.62062,9.6367,9.00892,9.09037,5918696.739500009
2020-07-31,NOK,Month,9.10366,9.17648,8.66964,8.73019,5030730.818399997
2020-08-31,NOK,Month,8.70186,9.61579,8.65179,9.33042,4875310.852700006
2020-09-30,NOK,Month,9.3287,9.59829,9.11402,9.52501,3726686.889300003
2020-10-31,NOK,Month,9.51342,9.60739,8.78216,8.89457,3977303.3678000006
2020-11-30,NOK,Month,8.87292,8.91949,8.50729,8.56892,3331849.3766000043
2020-12-31,NOK,Month,8.54942,8.72872,8.36127,8.53292,3961373.856199999
2021-01-31,NOK,Month,8.56894,8.67511,8.314,8.65466,2762392.0465000016
2021-02-28,NOK,Month,8.65052,8.67976,8.37747,8.54652,3921477.9327
2021-03-31,NOK,Month,8.54622,8.58746,8.14688,8.31345,3504313.0069999998
2021-04-30,NOK,Month,8.28342,8.42081,8.17463,8.31097,3596010.996500001
2021-05-31,NOK,Month,8.30987,8.71842,8.23584,8.59726,3899073.1358999945
2021-06-30,NOK,Month,8.59378,9.10424,8.5232,8.80812,4720905.405200001
2021-07-31,NOK,Month,8.79875,9.10321,8.62547,8.69052,3873781.210199997
2021-08-31,NOK,Month,8.69283,8.82983,8.54939,8.74131,3774593.582900001
2021-09-30,NOK,Month,8.73786,8.78358,8.27714,8.43178,3589763.8079000004
2021-10-31,NOK,Month,8.42971,9.12956,8.39099,9.02557,4175785.2587000006
2021-11-30,NOK,Month,9.03021,9.19343,8.7568,8.79773,3677799.511499996
2021-12-31,NOK,Month,8.79419,9.0447,8.56965,8.88565,3263158.935799999
2022-01-31,NOK,Month,8.88328,9.08832,8.68293,8.80332,5131308.894599996
2022-02-28,NOK,Month,8.80269,9.07872,8.55,8.78294,6607064.078400008
2022-03-31,NOK,Month,8.78121,9.45282,8.64394,9.37157,5735642.358100001
2022-04-30,NOK,Month,9.3412,9.91131,9.20462,9.36208,5944843.819300001
2022-05-31,NOK,Month,9.3445,10.09168,9.34316,9.83654,6629163.612600002
2022-06-30,NOK,Month,9.8457,10.35289,9.64537,9.65561,6663192.478600001
2022-07-31,NOK,Month,9.64934,9.97302,9.45497,9.89362,10874933.436299998
2022-08-31,NOK,Month,9.89243,11.0099,9.77876,10.86693,9608736.71500001
2022-09-30,NOK,Month,10.83859,10.89402,10.21503,10.38266,10495388.5611
2022-10-31,NOK,Month,10.38728,10.63655,9.81928,9.83497,10450101.517500006
2022-11-30,NOK,Month,9.83354,10.07605,9.68552,9.78034,8925336.114100007
2022-12-31,NOK,Month,9.78623,10.3019,9.77236,9.97994,7496839.333899999
2023-01-31,NOK,Month,9.97856,10.4326,9.86337,10.37847,6623647.644099997
2023-02-28,NOK,Month,10.38118,10.87534,10.2742,10.46453,6389833.240099998
2023-03-31,NOK,Month,10.4205,10.77278,10.24382,10.64769,3426728.7296
2023-04-30,NOK,Month,10.60207,11.29843,10.43161,11.07955,3131711.9731000043
2023-05-31,NOK,Month,11.07517,11.20434,10.46699,10.73191,3326852.3896000013
2023-06-30,NOK,Month,10.69599,10.82822,9.90358,10.03992,1755901.449999998
