Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,DKK,Week,6.57003,6.65893,6.5636,6.64699,593588.7410000002
2019-07-07,DKK,Week,6.64682,6.66685,6.61644,6.6246,630375.5691
2019-07-14,DKK,Week,6.62623,6.66732,6.61649,6.6517,618171.6114999999
2019-07-21,DKK,Week,6.65545,6.72406,6.65089,6.7096,545422.2107999999
2019-07-28,DKK,Week,6.70932,6.77056,6.6895,6.7221,755876.5498999998
2019-08-04,DKK,Week,6.71698,6.72302,6.63433,6.6629,1027656.7375
2019-08-11,DKK,Week,6.6612,6.73972,6.64554,6.7227,952957.8176999998
2019-08-18,DKK,Week,6.71936,6.74592,6.6861,6.69149,506313.108
2019-08-25,DKK,Week,6.68703,6.80055,6.67857,6.7838,589847.4882
2019-09-01,DKK,Week,6.78332,6.82422,6.72993,6.7667,522959.4302
2019-09-08,DKK,Week,6.76583,6.82861,6.71782,6.74089,502874.2908
2019-09-15,DKK,Week,6.742,6.79422,6.73541,6.7771,530330.3795999999
2019-09-22,DKK,Week,6.77973,6.84743,6.77149,6.8238,445753.4903
2019-09-29,DKK,Week,6.82164,6.86197,6.7873,6.80086,657812.5184000001
2019-10-06,DKK,Week,6.79933,6.82633,6.75137,6.76636,730495.7117999999
2019-10-13,DKK,Week,6.76843,6.79672,6.68579,6.68709,731964.0783999999
2019-10-20,DKK,Week,6.69243,6.74574,6.68273,6.74041,573166.2118000002
2019-10-27,DKK,Week,6.74066,6.74611,6.68447,6.69041,626747.6701999998
2019-11-03,DKK,Week,6.68893,6.78335,6.68535,6.77988,660353.4108000001
2019-11-10,DKK,Week,6.77819,6.79923,6.75829,6.75943,550834.1261999999
2019-11-17,DKK,Week,6.76023,6.78426,6.73432,6.77949,558921.2901999998
2019-11-24,DKK,Week,6.78213,6.80343,6.77095,6.77799,508099.6891000001
2019-12-01,DKK,Week,6.77729,6.79,6.72083,6.75389,544354.7498000002
2019-12-08,DKK,Week,6.75601,6.75963,6.67149,6.71789,729807.9013999997
2019-12-15,DKK,Week,6.71433,6.75053,6.68743,6.74309,552200.8202999998
2019-12-22,DKK,Week,6.74033,6.74939,6.67389,6.68019,329350.0801999999
2019-12-29,DKK,Week,6.68206,6.71719,6.64721,6.69685,447216.1490999999
2020-01-05,DKK,Week,6.6924,6.74143,6.66895,6.71778,629157.9185999999
2020-01-12,DKK,Week,6.72103,6.74038,6.68838,6.73735,493903.4496000003
2020-01-19,DKK,Week,6.73608,6.78145,6.72097,6.77658,476364.19219999993
2020-01-26,DKK,Week,6.77323,6.79793,6.73358,6.73473,501538.3387000001
2020-02-02,DKK,Week,6.73462,6.82876,6.73462,6.82635,467713.4810999999
2020-02-09,DKK,Week,6.82702,6.90027,6.81924,6.89646,440480.1992
2020-02-16,DKK,Week,6.89084,6.92927,6.87528,6.88352,482149.9011
2020-02-23,DKK,Week,6.89869,6.91264,6.76042,6.77503,959568.0547000002
2020-03-01,DKK,Week,6.76535,6.76942,6.57783,6.61687,1054513.2438999997
2020-03-08,DKK,Week,6.58726,6.76019,6.49834,6.7316,1865375.3781
2020-03-15,DKK,Week,6.70299,7.01837,6.65007,6.97963,2446225.5252
2020-03-22,DKK,Week,6.99614,7.00985,6.69289,6.69289,1714336.428299999
2020-03-29,DKK,Week,6.71038,6.93223,6.6952,6.91026,1157069.5451999998
2020-04-05,DKK,Week,6.90605,6.93363,6.81374,6.82257,747308.5208000002
2020-04-12,DKK,Week,6.82373,6.8996,6.78871,6.85801,821514.0227000001
2020-04-19,DKK,Week,6.86244,6.9518,6.84515,6.88489,896601.1227999998
2020-04-26,DKK,Week,6.89063,6.89829,6.77036,6.79309,837284.3368999994
2020-05-03,DKK,Week,6.80037,6.92896,6.79975,6.87781,749625.9515000002
2020-05-10,DKK,Week,6.88849,6.92084,6.84197,6.88761,746879.2206
2020-05-17,DKK,Week,6.88864,6.90256,6.77303,6.83797,736410.8790000001
2020-05-24,DKK,Week,6.83876,6.85959,6.68803,6.70877,893895.3113
2020-05-31,DKK,Week,6.70138,6.71583,6.54934,6.60273,1130378.8615999997
2020-06-07,DKK,Week,6.5962,6.64903,6.52652,6.61969,1185142.8191000004
2020-06-14,DKK,Week,6.63121,6.67577,6.56682,6.66967,1136233.032
2020-06-21,DKK,Week,6.66607,6.67533,6.56707,6.64015,942513.5706000002
2020-06-28,DKK,Week,6.63843,6.66238,6.59213,6.62467,768164.5599000001
2020-07-05,DKK,Week,6.62387,6.62454,6.55086,6.59067,787638.4385999999
2020-07-12,DKK,Week,6.58689,6.5884,6.50219,6.51421,722028.4102999998
2020-07-19,DKK,Week,6.50767,6.53058,6.3831,6.38368,726075.1312000001
2020-07-26,DKK,Week,6.39147,6.39215,6.25072,6.32187,898854.0082999995
2020-08-02,DKK,Week,6.31638,6.36653,6.25243,6.31857,701498.0221000002
2020-08-09,DKK,Week,6.31747,6.359,6.27733,6.28817,685346.8186
2020-08-16,DKK,Week,6.28851,6.33421,6.22268,6.31047,775612.2688
2020-08-23,DKK,Week,6.31033,6.32693,6.24491,6.25047,895535.1281000002
2020-08-30,DKK,Week,6.25044,6.31613,6.19673,6.28397,1129142.7356
2020-09-06,DKK,Week,6.27929,6.33077,6.24325,6.27915,909375.9529
2020-09-13,DKK,Week,6.28432,6.3378,6.25123,6.28249,847496.2375
2020-09-20,DKK,Week,6.27933,6.41253,6.2672,6.39955,1030032.3834000004
2020-09-27,DKK,Week,6.4008,6.41005,6.32265,6.35797,982661.8784999998
2020-10-04,DKK,Week,6.3517,6.35602,6.28883,6.28883,724379.5904999998
2020-10-11,DKK,Week,6.29634,6.36743,6.29281,6.34994,682143.4899999998
2020-10-18,DKK,Week,6.34833,6.35819,6.26364,6.27256,737165.8784
2020-10-25,DKK,Week,6.27619,6.39572,6.2729,6.39131,720555.6293000001
2020-11-01,DKK,Week,6.38992,6.41727,6.26438,6.2746,898401.5428999998
2020-11-08,DKK,Week,6.26766,6.33832,6.24694,6.29181,736731.5019999997
2020-11-15,DKK,Week,6.29209,6.30543,6.26186,6.27974,591775.5774000001
2020-11-22,DKK,Week,6.27984,6.30863,6.21877,6.21877,577798.1073
2020-11-29,DKK,Week,6.22123,6.24234,6.11171,6.13857,634843.1327
2020-12-06,DKK,Week,6.13667,6.17222,6.11778,6.14217,608879.1291
2020-12-13,DKK,Week,6.12933,6.14241,6.06186,6.06778,569225.9339000001
2020-12-20,DKK,Week,6.08391,6.13324,6.06881,6.09442,459267.7406
2020-12-27,DKK,Week,6.10188,6.10601,6.0428,6.08988,385958.61160000006
2021-01-03,DKK,Week,6.07953,6.09936,6.02296,6.0849,734099.7215999998
2021-01-10,DKK,Week,6.08504,6.16073,6.08078,6.15791,643507.2121999998
2021-01-17,DKK,Week,6.15451,6.17163,6.10342,6.11077,506298.3897
2021-01-24,DKK,Week,6.11521,6.16755,6.10509,6.12612,729239.5908000002
2021-01-31,DKK,Week,6.12962,6.22138,6.12804,6.17007,607524.6965999999
2021-02-07,DKK,Week,6.17624,6.18651,6.12183,6.13427,503773.10029999993
2021-02-14,DKK,Week,6.13314,6.18517,6.111,6.13557,494252.8408000001
2021-02-21,DKK,Week,6.13708,6.16466,6.07363,6.15876,900299.0912999997
2021-02-28,DKK,Week,6.15982,6.25229,6.13873,6.24193,1125150.0247000004
2021-03-07,DKK,Week,6.23853,6.28284,6.20186,6.22049,1023102.3251000002
2021-03-14,DKK,Week,6.22243,6.26232,6.20216,6.24492,843517.0413999998
2021-03-21,DKK,Week,6.26103,6.32197,6.22411,6.30392,773033.9201000003
2021-03-28,DKK,Week,6.30442,6.35449,6.30441,6.3227,479809.1583999999
2021-04-04,DKK,Week,6.32463,6.33711,6.23532,6.24866,447017.7298000001
2021-04-11,DKK,Week,6.24936,6.26455,6.19993,6.20512,536508.2593
2021-04-18,DKK,Week,6.20896,6.22646,6.14493,6.14602,543901.8165000001
2021-04-25,DKK,Week,6.14826,6.18817,6.11979,6.18468,544294.5385000003
2021-05-02,DKK,Week,6.17974,6.20374,6.10913,6.11189,674587.5613
2021-05-09,DKK,Week,6.10892,6.1701,6.10353,6.12124,836236.4429000001
2021-05-16,DKK,Week,6.12255,6.13225,6.07256,6.10362,794508.3296999999
2021-05-23,DKK,Week,6.10364,6.12914,6.06183,6.09832,824072.8564999999
2021-05-30,DKK,Week,6.0955,6.14388,6.06817,6.11132,711185.5174999996
2021-06-06,DKK,Week,6.11226,6.14924,6.08644,6.14083,719951.6190000001
2021-06-13,DKK,Week,6.1393,6.27656,6.12147,6.26672,933803.9971
2021-06-20,DKK,Week,6.26959,6.27627,6.2093,6.22952,625860.8513
2021-06-27,DKK,Week,6.22896,6.2974,6.22546,6.26633,561168.2697000001
2021-07-04,DKK,Week,6.26538,6.31147,6.25103,6.26029,732320.3415000002
2021-07-11,DKK,Week,6.26213,6.31744,6.25955,6.2994,586839.9694999999
2021-07-18,DKK,Week,6.29588,6.32935,6.28693,6.31601,656620.2587000001
2021-07-25,DKK,Week,6.31423,6.32142,6.2453,6.26672,542905.1596999998
2021-08-01,DKK,Week,6.26822,6.32696,6.24929,6.32233,546727.2093000001
2021-08-08,DKK,Week,6.32365,6.35316,6.29926,6.30303,402230.9787999998
2021-08-15,DKK,Week,6.30285,6.37569,6.30108,6.35543,454804.1291000001
2021-08-22,DKK,Week,6.35588,6.35922,6.30054,6.30269,458475.8209000001
2021-08-29,DKK,Week,6.30278,6.31068,6.24384,6.25883,480285.7197
2021-09-05,DKK,Week,6.25749,6.30047,6.25552,6.29543,505319.45249999984
2021-09-12,DKK,Week,6.29335,6.34187,6.27721,6.34153,559953.2504
2021-09-19,DKK,Week,6.33787,6.36433,6.32532,6.34273,574549.0186999999
2021-09-26,DKK,Week,6.3433,6.43133,6.34142,6.41348,669899.3084000002
2021-10-03,DKK,Week,6.4105,6.45256,6.38925,6.42782,468122.4000999999
2021-10-10,DKK,Week,6.42855,6.45621,6.40085,6.41269,423096.8315000001
2021-10-17,DKK,Week,6.41186,6.42921,6.37614,6.38749,493433.3015999999
2021-10-24,DKK,Week,6.38928,6.44852,6.36181,6.43349,583300.1225999995
2021-10-31,DKK,Week,6.43179,6.45965,6.40221,6.42786,522604.6286
2021-11-07,DKK,Week,6.4309,6.50482,6.40676,6.49717,522790.1495
2021-11-14,DKK,Week,6.49712,6.60993,6.48676,6.58997,639249.5789
2021-11-21,DKK,Week,6.58716,6.64791,6.56134,6.56233,702353.3996
2021-11-28,DKK,Week,6.57355,6.61919,6.53301,6.57423,775424.5589
2021-12-05,DKK,Week,6.57395,6.62291,6.54836,6.56926,594010.6447
2021-12-12,DKK,Week,6.57255,6.62625,6.54545,6.61624,571720.7494
2021-12-19,DKK,Week,6.61527,6.61862,6.5547,6.57288,479466.1911999999
2021-12-26,DKK,Week,6.57097,6.59488,6.53082,6.53775,338452.7189000001
2022-01-02,DKK,Week,6.53899,6.59782,6.53369,6.54474,427172.6803
2022-01-09,DKK,Week,6.54633,6.59141,6.48049,6.51808,435674.2912
2022-01-16,DKK,Week,6.51634,6.58539,6.50781,6.56086,427260.8190999999
2022-01-23,DKK,Week,6.55988,6.69213,6.55987,6.67526,634823.4686
2022-01-30,DKK,Week,6.67569,6.68116,6.48106,6.50046,635595.4572999998
2022-02-06,DKK,Week,6.49465,6.56644,6.4713,6.55468,671478.9204000001
2022-02-13,DKK,Week,6.55695,6.59856,6.52818,6.57003,588061.743
2022-02-20,DKK,Week,6.56736,6.70061,6.53024,6.60023,833829.4580000002
2022-02-27,DKK,Week,6.67241,6.83367,6.61345,6.80053,997877.3491000005
2022-03-06,DKK,Week,6.806,6.88398,6.68958,6.81606,1101412.8386000004
2022-03-13,DKK,Week,6.80745,6.82455,6.68319,6.73352,931762.0294000002
2022-03-20,DKK,Week,6.73169,6.78712,6.72155,6.77291,663043.5183
2022-03-27,DKK,Week,6.76761,6.79755,6.64939,6.72982,915353.0783000004
2022-04-03,DKK,Week,6.73668,6.86286,6.7278,6.8359,755143.0388
2022-04-10,DKK,Week,6.81318,6.91496,6.8024,6.87673,785168.0894000003
2022-04-17,DKK,Week,6.88059,6.91138,6.80278,6.88812,765104.6294
2022-04-24,DKK,Week,6.8816,7.10662,6.87941,7.05132,1110113.4043
2022-05-01,DKK,Week,7.0505,7.09717,6.99161,7.05253,963318.2125000004
2022-05-08,DKK,Week,7.05476,7.18938,7.0222,7.14604,1056260.6021
2022-05-15,DKK,Week,7.14888,7.16199,7.01611,7.04379,845913.4008999998
2022-05-22,DKK,Week,7.04272,7.04272,6.91012,6.92708,742698.5621
2022-05-29,DKK,Week,6.92871,6.99985,6.896,6.93822,638110.6558000001
