Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,NOK,Week,8.51407,8.63847,8.50712,8.61102,623033.3470000002
2019-07-07,NOK,Week,8.61542,8.6759,8.51894,8.52634,589414.1106999997
2019-07-14,NOK,Week,8.52902,8.60931,8.5225,8.56902,569137.6193999999
2019-07-21,NOK,Week,8.57116,8.73112,8.56711,8.70852,511736.5729999998
2019-07-28,NOK,Week,8.70412,8.95591,8.67582,8.90815,687695.2522999997
2019-08-04,NOK,Week,8.91274,8.98537,8.84922,8.87022,993483.3125000008
2019-08-11,NOK,Week,8.86061,9.04379,8.85752,8.99312,1058637.5505999993
2019-08-18,NOK,Week,8.97697,9.02208,8.93136,8.94432,722532.2051
2019-08-25,NOK,Week,8.96108,9.13024,8.95892,9.10914,882262.938
2019-09-01,NOK,Week,9.10569,9.1644,8.96141,8.97073,831923.3473999997
2019-09-08,NOK,Week,8.97744,9.01085,8.91217,8.97645,801866.5716999997
2019-09-15,NOK,Week,8.91802,9.06988,8.87903,9.06129,861025.9603999996
2019-09-22,NOK,Week,9.06282,9.11653,8.98661,9.06633,663180.7908999999
2019-09-29,NOK,Week,9.07144,9.16118,9.06058,9.08772,913481.8208
2019-10-06,NOK,Week,9.08865,9.18098,9.05002,9.07372,734717.2127999999
2019-10-13,NOK,Week,9.07452,9.21018,9.07072,9.15093,702619.6299999998
2019-10-20,NOK,Week,9.15027,9.20204,9.08368,9.19193,659099.4518999999
2019-10-27,NOK,Week,9.18952,9.30575,9.07722,9.08052,649700.4842999999
2019-11-03,NOK,Week,9.08222,9.20346,9.07474,9.12073,631000.7668000002
2019-11-10,NOK,Week,9.12692,9.22636,9.06632,9.08199,521968.4817000002
2019-11-17,NOK,Week,9.08212,9.21227,9.06226,9.15332,516609.4297
2019-11-24,NOK,Week,9.15772,9.22185,9.12703,9.20384,448619.582
2019-12-01,NOK,Week,9.18972,9.21866,9.11572,9.12093,527539.881
2019-12-08,NOK,Week,9.12323,9.20032,8.99412,9.01946,686979.1019000001
2019-12-15,NOK,Week,9.01812,9.05622,8.94502,8.96293,594286.1700000002
2019-12-22,NOK,Week,8.96192,8.98474,8.80508,8.80508,620482.1418
2019-12-29,NOK,Week,8.81181,8.85516,8.75391,8.82732,738206.8688999997
2020-01-05,NOK,Week,8.82192,8.91247,8.77371,8.87693,806835.9995999999
2020-01-12,NOK,Week,8.87137,8.92,8.84513,8.90252,628432.5556000003
2020-01-19,NOK,Week,8.89872,9.05437,8.89144,9.03797,606034.6885000002
2020-01-26,NOK,Week,9.04962,9.24503,9.03824,9.19311,651616.5806000001
2020-02-02,NOK,Week,9.19049,9.30438,9.17442,9.28972,593043.998
2020-02-09,NOK,Week,9.29458,9.30454,9.19732,9.23692,441225.3414999998
2020-02-16,NOK,Week,9.22909,9.36531,9.22692,9.26671,467072.8010999999
2020-02-23,NOK,Week,9.34211,9.49505,9.31422,9.38616,918962.4107
2020-03-01,NOK,Week,9.43218,9.43891,9.17847,9.2435,1215483.4456999998
2020-03-08,NOK,Week,9.36575,10.27188,9.35758,9.98295,1728709.4316000012
2020-03-15,NOK,Week,10.11851,12.1228,9.9921,11.81246,1564715.2997999997
2020-03-22,NOK,Week,11.88354,11.91693,10.39163,10.45598,1719595.4837999996
2020-03-29,NOK,Week,10.40052,10.66684,10.22043,10.56474,2182840.0453
2020-04-05,NOK,Week,10.5629,10.59131,10.12402,10.16884,1712728.6148
2020-04-12,NOK,Week,10.18276,10.58393,10.16019,10.3168,1717406.8295000005
2020-04-19,NOK,Week,10.27924,10.8043,10.26757,10.61234,1650300.0124999995
2020-04-26,NOK,Week,10.61529,10.64861,10.20337,10.33525,1390510.4962999998
2020-05-03,NOK,Week,10.30962,10.47349,10.17467,10.19959,1160991.4172999994
2020-05-10,NOK,Week,10.18677,10.36257,10.03431,10.22407,980411.7418000004
2020-05-17,NOK,Week,10.18852,10.24085,9.87808,9.98519,1050092.9177
2020-05-24,NOK,Week,10.00033,10.06371,9.66113,9.69946,952750.7801000002
2020-05-31,NOK,Week,9.70363,9.7613,9.2589,9.29186,1095584.0002
2020-06-07,NOK,Week,9.27665,9.72644,9.19618,9.63048,1441417.3721
2020-06-14,NOK,Week,9.60303,9.81128,9.4422,9.63818,1729043.9190999996
2020-06-21,NOK,Week,9.65829,9.75342,9.4588,9.66008,1332036.4991999995
2020-06-28,NOK,Week,9.64906,9.76845,9.43597,9.46101,1086800.6103999994
2020-07-05,NOK,Week,9.47922,9.54587,9.33903,9.44248,1255393.1228999996
