Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,ZAR,Week,14.07447,14.27535,13.95361,14.16946,559684.0416999998
2019-07-07,ZAR,Week,14.20134,14.26131,13.85537,13.94653,583267.1494999999
2019-07-14,ZAR,Week,13.97022,14.04047,13.81142,13.94408,501248.3421
2019-07-21,ZAR,Week,13.90259,14.31455,13.82698,14.26903,530111.2710999999
2019-07-28,ZAR,Week,14.24623,14.79468,14.07608,14.77653,672670.8611999998
2019-08-04,ZAR,Week,14.72911,15.29819,14.72412,15.25107,718152.3810000004
2019-08-11,ZAR,Week,15.25652,15.46444,15.08427,15.28903,708045.3581000002
2019-08-18,ZAR,Week,15.28378,15.49671,15.07417,15.22823,416279.3898
2019-08-25,ZAR,Week,15.35252,15.48097,15.15647,15.18303,551987.4972999999
2019-09-01,ZAR,Week,15.22004,15.28852,14.71617,14.79303,373489.3506
2019-09-08,ZAR,Week,14.79241,14.81102,14.50317,14.56062,399037.549
2019-09-15,ZAR,Week,14.61142,14.98623,14.58067,14.90396,426420.5198
2019-09-22,ZAR,Week,14.87418,15.19543,14.83497,15.11424,410990.2978
2019-09-29,ZAR,Week,15.11153,15.39721,15.02299,15.06634,477565.299
2019-10-06,ZAR,Week,15.05879,15.30733,14.7035,14.73869,476840.8303999999
2019-10-13,ZAR,Week,14.72971,15.05113,14.72223,14.74553,433805.8000999999
2019-10-20,ZAR,Week,14.76039,14.80505,14.56373,14.61299,357460.5187000001
2019-10-27,ZAR,Week,14.6007,15.1853,14.51183,15.01253,481596.6797999999
2019-11-03,ZAR,Week,14.8655,14.88369,14.65948,14.84808,431922.8693
2019-11-10,ZAR,Week,14.84183,15.00779,14.66223,14.70099,410794.7989999999
2019-11-17,ZAR,Week,14.70463,14.86506,14.59027,14.68769,333027.8300999999
2019-11-24,ZAR,Week,14.69303,14.85113,14.62003,14.64272,385717.6680000001
2019-12-01,ZAR,Week,14.63293,14.71179,14.50103,14.60836,410327.5801000001
2019-12-08,ZAR,Week,14.61663,14.86813,14.36912,14.51714,558456.3896999999
2019-12-15,ZAR,Week,14.51783,14.52784,14.16183,14.24369,384156.3514999999
2019-12-22,ZAR,Week,14.24683,14.28066,13.97543,14.03983,322991.9691000001
2019-12-29,ZAR,Week,14.03513,14.36932,13.93026,14.29792,423508.4605
2020-01-05,ZAR,Week,14.28449,14.44619,14.11091,14.36299,526854.6418999998
2020-01-12,ZAR,Week,14.31842,14.49724,14.29133,14.44313,545169.9212999999
2020-01-19,ZAR,Week,14.44833,14.59446,14.27067,14.39156,537138.0709000002
2020-01-26,ZAR,Week,14.4197,15.03014,14.40867,14.99792,733693.2689999999
2020-02-02,ZAR,Week,14.96393,15.11873,14.6665,15.05669,744474.6931999999
2020-02-09,ZAR,Week,15.05623,15.0956,14.73069,14.89299,714095.7395
2020-02-16,ZAR,Week,14.88203,15.18719,14.8432,14.97739,580962.3017999998
2020-02-23,ZAR,Week,15.08226,15.8222,15.02583,15.6579,1200267.7781
2020-03-01,ZAR,Week,15.83686,15.85536,15.20833,15.65909,1153532.0619
2020-03-08,ZAR,Week,15.84488,16.96122,15.74796,16.22899,865200.1888
2020-03-15,ZAR,Week,16.31869,17.60331,16.01963,17.59565,697475.9103999998
2020-03-22,ZAR,Week,17.56779,17.89132,17.16938,17.61,927919.2876000004
2020-03-29,ZAR,Week,17.99258,19.08479,17.66468,19.01573,900199.4597999998
2020-04-05,ZAR,Week,19.0469,19.33812,17.84673,17.95094,635567.2406999998
2020-04-12,ZAR,Week,17.97321,18.96481,17.97201,18.763,644025.8819999999
2020-04-19,ZAR,Week,18.79593,19.18351,18.70841,19.04325,693096.5957999998
