Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,CNH,Day,6.82964,6.86489,6.81651,6.85696,129534.7898
01.07.2019,CNH,Day,6.85697,6.88861,6.85055,6.88686,125869.6597
02.07.2019,CNH,Day,6.88686,6.90028,6.88056,6.88206,129082.0101
03.07.2019,CNH,Day,6.88186,6.88511,6.87074,6.8723,61445.99979999999
04.07.2019,CNH,Day,6.87201,6.89948,6.87199,6.89419,100722.0217
07.07.2019,CNH,Day,6.89464,6.89932,6.88421,6.88779,85466.86959999999
08.07.2019,CNH,Day,6.88715,6.89695,6.88259,6.89421,92512.6401
09.07.2019,CNH,Day,6.89454,6.8957,6.86964,6.87105,110506.3303
10.07.2019,CNH,Day,6.87056,6.87759,6.86116,6.87468,107716.7499
11.07.2019,CNH,Day,6.87451,6.88577,6.87215,6.87788,87523.14
14.07.2019,CNH,Day,6.87582,6.88625,6.87085,6.87297,86119.7097
15.07.2019,CNH,Day,6.87292,6.88298,6.86991,6.88123,88337.47039999998
16.07.2019,CNH,Day,6.88123,6.88446,6.87338,6.87621,87623.0601
17.07.2019,CNH,Day,6.87621,6.88654,6.87168,6.87183,101878.3102
18.07.2019,CNH,Day,6.8718,6.88545,6.87068,6.88094,102327.5987
21.07.2019,CNH,Day,6.87565,6.88418,6.87565,6.88316,81593.2398
22.07.2019,CNH,Day,6.88316,6.88612,6.87901,6.8828,98428.28
23.07.2019,CNH,Day,6.88265,6.88644,6.87118,6.87435,109584.7799
24.07.2019,CNH,Day,6.87435,6.87815,6.86791,6.87064,179298.22959999996
25.07.2019,CNH,Day,6.86933,6.88366,6.86933,6.87988,188504.2513
28.07.2019,CNH,Day,6.87886,6.90007,6.87794,6.89048,131873.94749999998
29.07.2019,CNH,Day,6.89045,6.89501,6.88333,6.88788,157599.11969999998
30.07.2019,CNH,Day,6.88788,6.91505,6.88527,6.90814,184138.6199
31.07.2019,CNH,Day,6.90814,6.9676,6.90224,6.95407,203430.1102
01.08.2019,CNH,Day,6.95407,6.97989,6.94926,6.97934,296702.6586
04.08.2019,CNH,Day,6.975,7.10939,6.97398,7.09725,231211.4194
05.08.2019,CNH,Day,7.09731,7.13985,7.04188,7.0526,238145.3707
06.08.2019,CNH,Day,7.0529,7.09719,7.0519,7.08275,271102.7187
07.08.2019,CNH,Day,7.07846,7.10312,7.06226,7.07545,195018.8015
08.08.2019,CNH,Day,7.07665,7.10799,7.0717,7.09649,157479.76099999994
11.08.2019,CNH,Day,7.09884,7.11248,7.08813,7.10166,171969.78749999995
12.08.2019,CNH,Day,7.10134,7.10678,6.98996,7.00904,215081.47680000003
13.08.2019,CNH,Day,7.01133,7.05641,7.00944,7.05228,185294.4111
14.08.2019,CNH,Day,7.05212,7.06464,7.02996,7.04693,230376.92910000004
15.08.2019,CNH,Day,7.04803,7.05827,7.0424,7.04324,195977.3813
18.08.2019,CNH,Day,7.04796,7.07676,7.04198,7.06982,152822.1597
19.08.2019,CNH,Day,7.07337,7.07627,7.06556,7.06802,157320.71999999997
20.08.2019,CNH,Day,7.06888,7.07287,7.055,7.06743,127938.1306
21.08.2019,CNH,Day,7.06686,7.09964,7.06617,7.08892,153487.92030000003
22.08.2019,CNH,Day,7.08895,7.13834,7.08303,7.13372,191212.0503
25.08.2019,CNH,Day,7.17077,7.18352,7.14678,7.16453,254526.90230000007
26.08.2019,CNH,Day,7.16523,7.18063,7.15079,7.16401,200686.4112
27.08.2019,CNH,Day,7.16516,7.17567,7.15503,7.16786,173593.95980000004
28.08.2019,CNH,Day,7.16804,7.17776,7.14042,7.14125,179490.82020000005
29.08.2019,CNH,Day,7.14216,7.16919,7.1399,7.15967,175277.1805
01.09.2019,CNH,Day,7.17297,7.19537,7.16347,7.1932,114652.6708
02.09.2019,CNH,Day,7.19313,7.19605,7.17547,7.17547,193986.8211
03.09.2019,CNH,Day,7.17503,7.17693,7.14441,7.14588,193108.1512
04.09.2019,CNH,Day,7.14493,7.15057,7.12107,7.13734,207558.4995
05.09.2019,CNH,Day,7.13734,7.15129,7.09573,7.10447,215376.7209
08.09.2019,CNH,Day,7.10561,7.13194,7.10553,7.11451,172921.7205
09.09.2019,CNH,Day,7.11389,7.12377,7.09848,7.10889,187500.23119999995
10.09.2019,CNH,Day,7.10861,7.11994,7.10348,7.10786,167697.49149999995
11.09.2019,CNH,Day,7.10789,7.10862,7.05147,7.06724,229039.5523
12.09.2019,CNH,Day,7.06707,7.06781,7.03084,7.04563,187293.4312
15.09.2019,CNH,Day,7.04888,7.07042,7.04384,7.06127,210528.9297
16.09.2019,CNH,Day,7.06089,7.09674,7.0601,7.08425,200060.0113
17.09.2019,CNH,Day,7.08353,7.08954,7.07109,7.08229,160254.5096
18.09.2019,CNH,Day,7.08227,7.10631,7.07817,7.10108,194597.3611
19.09.2019,CNH,Day,7.1,7.13053,7.07544,7.1182,195852.61040000003
22.09.2019,CNH,Day,7.10303,7.12589,7.09753,7.10892,164700.0589
23.09.2019,CNH,Day,7.10861,7.11892,7.09861,7.10416,177946.5801
24.09.2019,CNH,Day,7.10413,7.13446,7.10413,7.1244,200925.5392
25.09.2019,CNH,Day,7.12533,7.13439,7.11728,7.12319,183599.7316
26.09.2019,CNH,Day,7.12304,7.15133,7.11324,7.1351,188197.4216
29.09.2019,CNH,Day,7.13319,7.15052,7.1183,7.13845,178426.2198
30.09.2019,CNH,Day,7.1386,7.15633,7.13404,7.14503,178481.0507
01.10.2019,CNH,Day,7.14442,7.15849,7.143,7.14396,161436.96989999997
02.10.2019,CNH,Day,7.14534,7.14864,7.12449,7.12757,173368.96019999994
03.10.2019,CNH,Day,7.12757,7.13101,7.10718,7.11178,192035.7507
06.10.2019,CNH,Day,7.12449,7.13936,7.12279,7.1334,167119.6402
07.10.2019,CNH,Day,7.13383,7.16708,7.11845,7.16132,244948.8185
08.10.2019,CNH,Day,7.16272,7.16755,7.12518,7.1373,201003.1007
09.10.2019,CNH,Day,7.13633,7.16817,7.09869,7.10256,224884.0719
10.10.2019,CNH,Day,7.10224,7.11323,7.07016,7.08874,223856.1003
13.10.2019,CNH,Day,7.08503,7.09434,7.05007,7.06675,202254.7776
14.10.2019,CNH,Day,7.06734,7.0886,7.06123,7.08114,212695.6002
15.10.2019,CNH,Day,7.0818,7.11247,7.08141,7.09667,226753.4112
16.10.2019,CNH,Day,7.09786,7.10762,7.06687,7.08055,218808.4119
17.10.2019,CNH,Day,7.08011,7.08787,7.06932,7.07032,208777.43009999997
20.10.2019,CNH,Day,7.07002,7.07739,7.06263,7.06799,191229.3486
21.10.2019,CNH,Day,7.06761,7.08267,7.06492,7.075,183556.60949999996
22.10.2019,CNH,Day,7.07564,7.08583,7.06027,7.06059,185997.409
23.10.2019,CNH,Day,7.06023,7.07418,7.05296,7.07211,205716.9295
24.10.2019,CNH,Day,7.07178,7.07494,7.04988,7.05084,169007.05949999994
27.10.2019,CNH,Day,7.04995,7.06598,7.0448,7.06301,174083.9687
28.10.2019,CNH,Day,7.06199,7.06759,7.05255,7.06492,184925.4502
29.10.2019,CNH,Day,7.06454,7.06912,7.04263,7.04263,203062.1991
30.10.2019,CNH,Day,7.04541,7.05398,7.02934,7.04553,236676.5207
31.10.2019,CNH,Day,7.04462,7.05178,7.03648,7.04041,166640.09999999995
03.11.2019,CNH,Day,7.03554,7.04129,7.02253,7.02988,106091.05040000002
04.11.2019,CNH,Day,7.03102,7.03572,6.98598,7.00065,204030.8518
05.11.2019,CNH,Day,7.00013,7.01856,6.98758,7.01036,175663.2819
06.11.2019,CNH,Day,7.00987,7.02008,6.95246,6.97087,182861.5888
07.11.2019,CNH,Day,6.97004,7.00383,6.96502,6.98693,192715.46930000003
10.11.2019,CNH,Day,6.98934,7.01337,6.98724,7.00508,135792.74910000002
11.11.2019,CNH,Day,7.00495,7.02457,6.9923,7.02343,154725.4609
12.11.2019,CNH,Day,7.02317,7.03718,7.01398,7.02866,184455.2395
13.11.2019,CNH,Day,7.02833,7.03201,7.01662,7.01662,162628.6615
14.11.2019,CNH,Day,7.01662,7.02363,7.00103,7.00282,127916.09120000002
17.11.2019,CNH,Day,7.00388,7.03206,7.00388,7.02372,150629.65970000002
18.11.2019,CNH,Day,7.02372,7.03214,7.01947,7.02458,132921.2604
