Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,JPY,Day,108.15,108.533,108.102,108.439,153822.71
01.07.2019,JPY,Day,108.431,108.474,107.766,107.875,125067.979
02.07.2019,JPY,Day,107.875,107.914,107.532,107.783,135026.89100000003
03.07.2019,JPY,Day,107.786,107.842,107.707,107.809,76213.1288
04.07.2019,JPY,Day,107.807,108.637,107.781,108.454,130310.1186
07.07.2019,JPY,Day,108.411,108.805,108.28,108.718,112380.419
08.07.2019,JPY,Day,108.717,108.963,108.677,108.852,121448.87060000002
09.07.2019,JPY,Day,108.85,108.99,108.346,108.462,160127.6998
10.07.2019,JPY,Day,108.456,108.531,107.859,108.489,134758.59160000004
11.07.2019,JPY,Day,108.488,108.609,107.804,107.884,137260.8495
14.07.2019,JPY,Day,107.861,108.108,107.797,107.907,105482.5409
15.07.2019,JPY,Day,107.901,108.375,107.821,108.235,151315.0303
16.07.2019,JPY,Day,108.233,108.325,107.935,107.942,114663.16099999998
17.07.2019,JPY,Day,107.94,108.016,107.211,107.288,162860.9483
18.07.2019,JPY,Day,107.288,107.978,107.216,107.698,160851.5285
21.07.2019,JPY,Day,107.711,108.067,107.699,107.863,134590.94040000005
22.07.2019,JPY,Day,107.863,108.287,107.825,108.207,119884.80969999998
23.07.2019,JPY,Day,108.199,108.276,107.933,108.178,114575.94999999998
24.07.2019,JPY,Day,108.178,108.755,108.042,108.628,142824.60890000002
25.07.2019,JPY,Day,108.629,108.828,108.559,108.662,118821.45949999998
28.07.2019,JPY,Day,108.62,108.899,108.42,108.776,100227.72079999998
29.07.2019,JPY,Day,108.778,108.948,108.452,108.591,171133.8591
30.07.2019,JPY,Day,108.577,108.997,108.49,108.748,210599.0804
31.07.2019,JPY,Day,108.747,109.318,107.254,107.328,295818.6814
01.08.2019,JPY,Day,107.328,107.567,106.508,106.55,402761.1459
04.08.2019,JPY,Day,106.549,106.681,105.785,105.94,377692.5525
05.08.2019,JPY,Day,105.938,107.087,105.519,106.474,372900.2311
06.08.2019,JPY,Day,106.473,106.474,105.495,106.266,363669.7234
07.08.2019,JPY,Day,106.265,106.301,105.894,106.072,265386.45979999995
08.08.2019,JPY,Day,106.063,106.091,105.268,105.638,210887.7701
11.08.2019,JPY,Day,105.545,105.691,105.049,105.295,220992.2891
12.08.2019,JPY,Day,105.294,106.973,105.065,106.744,322995.3113
13.08.2019,JPY,Day,106.744,106.767,105.65,105.907,315061.1192
14.08.2019,JPY,Day,105.914,106.777,105.702,106.122,367670.6491
