Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,PLN,Day,3.73439,3.76209,3.72968,3.7594,82921.55990000002
01.07.2019,PLN,Day,3.7594,3.76229,3.74488,3.7585,65152.6002
02.07.2019,PLN,Day,3.7585,3.76638,3.74628,3.75866,67014.16
03.07.2019,PLN,Day,3.75865,3.76418,3.75238,3.75868,66914.23029999998
04.07.2019,PLN,Day,3.7583,3.79618,3.75768,3.78335,124887.4605
07.07.2019,PLN,Day,3.78554,3.79978,3.78219,3.79438,59649.0096
08.07.2019,PLN,Day,3.79343,3.81308,3.7922,3.81148,60123.0902
09.07.2019,PLN,Day,3.81139,3.81249,3.78678,3.78882,70167.7003
10.07.2019,PLN,Day,3.78891,3.79489,3.77993,3.79149,63267.7999
11.07.2019,PLN,Day,3.79053,3.79841,3.78188,3.78198,60864.62930000001
14.07.2019,PLN,Day,3.78587,3.78999,3.77756,3.78418,50462.87990000001
15.07.2019,PLN,Day,3.78308,3.80053,3.78208,3.79574,52586.13989999999
16.07.2019,PLN,Day,3.79573,3.80538,3.7932,3.79728,43752.719800000006
17.07.2019,PLN,Day,3.79728,3.80119,3.77149,3.77149,62929.32030000001
18.07.2019,PLN,Day,3.77063,3.79506,3.77032,3.78664,56627.59049999999
21.07.2019,PLN,Day,3.78622,3.79381,3.78263,3.78796,62228.0298
22.07.2019,PLN,Day,3.78796,3.81768,3.78167,3.81106,71412.9197
23.07.2019,PLN,Day,3.81125,3.82627,3.80875,3.81603,114791.39960000003
24.07.2019,PLN,Day,3.81605,3.82757,3.80527,3.81896,143072.7019
25.07.2019,PLN,Day,3.81893,3.84604,3.81579,3.83235,71763.94039999999
28.07.2019,PLN,Day,3.83571,3.85387,3.83293,3.84651,81473.6001
29.07.2019,PLN,Day,3.84615,3.86004,3.84487,3.84883,66388.1301
30.07.2019,PLN,Day,3.84882,3.87894,3.84308,3.87097,134235.3708
31.07.2019,PLN,Day,3.87099,3.9001,3.86891,3.88084,154470.05980000002
01.08.2019,PLN,Day,3.88143,3.89196,3.86951,3.87614,140078.7103
04.08.2019,PLN,Day,3.87276,3.88113,3.84958,3.85678,112738.1897
05.08.2019,PLN,Day,3.85634,3.86208,3.84048,3.85248,100547.2602
06.08.2019,PLN,Day,3.85079,3.86258,3.84388,3.85739,128170.73
07.08.2019,PLN,Day,3.85642,3.86779,3.84748,3.86328,98641.39990000003
08.08.2019,PLN,Day,3.86141,3.86498,3.85178,3.85248,90244.1598
11.08.2019,PLN,Day,3.85923,3.87578,3.85348,3.86079,137255.6601
12.08.2019,PLN,Day,3.86068,3.88088,3.85728,3.87848,86368.13010000001
13.08.2019,PLN,Day,3.87878,3.92909,3.87528,3.90588,85015.20989999999
14.08.2019,PLN,Day,3.90599,3.94729,3.90599,3.93248,146539.2905
15.08.2019,PLN,Day,3.93237,3.94009,3.89988,3.90288,185211.47
18.08.2019,PLN,Day,3.9068,3.94348,3.90421,3.94178,71258.1498
19.08.2019,PLN,Day,3.94119,3.94469,3.92079,3.92079,103152.8701
20.08.2019,PLN,Day,3.91968,3.93069,3.91418,3.92169,97173.5002
21.08.2019,PLN,Day,3.92157,3.94968,3.91548,3.9314,84209.5308
