Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,RON,Day,4.17215,4.19357,4.16455,4.18844,27003.75
01.07.2019,RON,Day,4.18975,4.19539,4.18128,4.19122,24092.75
02.07.2019,RON,Day,4.19321,4.20156,4.17685,4.17912,21540.0
03.07.2019,RON,Day,4.17851,4.18809,4.17465,4.17465,8740.75
04.07.2019,RON,Day,4.17651,4.21427,4.17549,4.20066,24677.75
07.07.2019,RON,Day,4.20809,4.21333,4.20137,4.20774,15270.75
08.07.2019,RON,Day,4.20877,4.22243,4.20869,4.21512,15040.75
09.07.2019,RON,Day,4.2173,4.22084,4.19718,4.20191,28242.75
10.07.2019,RON,Day,4.19541,4.20743,4.18973,4.2011,24579.0
11.07.2019,RON,Day,4.1972,4.21024,4.19212,4.19223,19000.25
14.07.2019,RON,Day,4.19597,4.20332,4.19211,4.1988,13874.75
15.07.2019,RON,Day,4.20037,4.22222,4.19994,4.21571,19385.0
16.07.2019,RON,Day,4.21508,4.22461,4.2101,4.2101,15346.25
17.07.2019,RON,Day,4.21071,4.22124,4.19127,4.19148,21464.47
18.07.2019,RON,Day,4.20135,4.21513,4.19798,4.20802,15816.16
21.07.2019,RON,Day,4.21424,4.21458,4.20461,4.2081,14242.75
22.07.2019,RON,Day,4.218,4.23418,4.21514,4.22925,16819.75
23.07.2019,RON,Day,4.23535,4.24125,4.22807,4.2331,18060.0
24.07.2019,RON,Day,4.237,4.25285,4.22132,4.2349,27497.25
25.07.2019,RON,Day,4.23718,4.25134,4.2366,4.2385,14339.75
28.07.2019,RON,Day,4.24577,4.25393,4.24052,4.24052,12959.25
29.07.2019,RON,Day,4.2442,4.24829,4.23762,4.23762,15700.25
30.07.2019,RON,Day,4.23985,4.27463,4.23244,4.2659,24878.5
31.07.2019,RON,Day,4.27693,4.29078,4.26536,4.26905,19530.25
01.08.2019,RON,Day,4.27228,4.27287,4.24577,4.24936,29114.74
04.08.2019,RON,Day,4.251,4.25499,4.21818,4.2201,27660.75
05.08.2019,RON,Day,4.2202,4.23376,4.21621,4.21783,19997.0
06.08.2019,RON,Day,4.21678,4.2309,4.20563,4.21821,43448.75
07.08.2019,RON,Day,4.21112,4.22908,4.20671,4.22115,25509.0
08.08.2019,RON,Day,4.21597,4.22473,4.2095,4.21718,23807.0
11.08.2019,RON,Day,4.21355,4.23255,4.20277,4.20808,22131.25
12.08.2019,RON,Day,4.2187,4.22674,4.20416,4.22059,38816.75
13.08.2019,RON,Day,4.22388,4.24065,4.21646,4.23042,23089.0
14.08.2019,RON,Day,4.23077,4.25909,4.22903,4.249,9135.0
15.08.2019,RON,Day,4.25509,4.27292,4.2537,4.25681,11488.0
18.08.2019,RON,Day,4.26176,4.26795,4.25433,4.26523,7339.0
19.08.2019,RON,Day,4.26489,4.27376,4.25132,4.25683,11703.0
20.08.2019,RON,Day,4.2599,4.26452,4.24742,4.25799,10474.0
21.08.2019,RON,Day,4.26152,4.27148,4.25065,4.25933,20408.0
22.08.2019,RON,Day,4.26193,4.27119,4.23157,4.23294,24074.0
25.08.2019,RON,Day,4.23596,4.26145,4.2353,4.25665,23615.0
26.08.2019,RON,Day,4.25765,4.26886,4.25642,4.26414,22736.0
27.08.2019,RON,Day,4.26679,4.27183,4.25188,4.26413,17845.0
28.08.2019,RON,Day,4.26372,4.27881,4.26233,4.27079,20463.0
29.08.2019,RON,Day,4.27695,4.30952,4.27582,4.29781,15763.25
01.09.2019,RON,Day,4.29954,4.31007,4.29836,4.30081,11283.0
02.09.2019,RON,Day,4.31694,4.32875,4.30407,4.30407,19740.0
03.09.2019,RON,Day,4.30673,4.30815,4.2793,4.2804,20731.0
04.09.2019,RON,Day,4.28471,4.28989,4.26746,4.28285,19652.0
05.09.2019,RON,Day,4.283,4.29358,4.27834,4.28543,23054.0
08.09.2019,RON,Day,4.29118,4.29233,4.27172,4.27728,16439.0
09.09.2019,RON,Day,4.28151,4.2901,4.2754,4.281,16794.0
10.09.2019,RON,Day,4.27991,4.30946,4.27925,4.29731,16598.0
11.09.2019,RON,Day,4.29859,4.33064,4.27114,4.27645,36719.0
12.09.2019,RON,Day,4.27493,4.27903,4.26262,4.27204,25982.0
15.09.2019,RON,Day,4.27508,4.30515,4.27273,4.29828,19140.0
16.09.2019,RON,Day,4.29497,4.30675,4.27008,4.2715,20991.0
17.09.2019,RON,Day,4.27722,4.30474,4.27567,4.29666,21571.0
18.09.2019,RON,Day,4.29463,4.29871,4.28156,4.29355,20415.0
19.09.2019,RON,Day,4.28918,4.32092,4.28697,4.30913,17639.0
22.09.2019,RON,Day,4.30819,4.33372,4.30806,4.31558,24909.0
23.09.2019,RON,Day,4.32134,4.3236,4.30719,4.3073,19518.0
24.09.2019,RON,Day,4.31843,4.33891,4.31099,4.33368,20648.0
25.09.2019,RON,Day,4.32956,4.35156,4.32545,4.34536,19965.0
26.09.2019,RON,Day,4.34714,4.35237,4.33723,4.34505,18365.0
29.09.2019,RON,Day,4.34595,4.3621,4.33972,4.34906,15476.0
30.09.2019,RON,Day,4.35029,4.36295,4.33457,4.33626,18064.0
01.10.2019,RON,Day,4.33704,4.35458,4.32659,4.32659,18058.0
02.10.2019,RON,Day,4.33027,4.33801,4.31582,4.32704,19600.0
03.10.2019,RON,Day,4.32604,4.33146,4.31636,4.32121,21486.0
06.10.2019,RON,Day,4.32267,4.32971,4.3144,4.32236,16982.0
07.10.2019,RON,Day,4.32215,4.3405,4.31678,4.3321,22518.0
08.10.2019,RON,Day,4.3317,4.33397,4.31826,4.32532,16865.0
09.10.2019,RON,Day,4.3216,4.32708,4.30236,4.32282,24679.0
10.10.2019,RON,Day,4.31577,4.32573,4.29436,4.30338,30169.0
13.10.2019,RON,Day,4.30846,4.31553,4.30347,4.30584,13161.0
14.10.2019,RON,Day,4.30818,4.32538,4.30201,4.30595,20720.0
15.10.2019,RON,Day,4.30782,4.31378,4.28832,4.28941,25067.0
16.10.2019,RON,Day,4.2893,4.29466,4.26772,4.26941,27671.0
17.10.2019,RON,Day,4.27069,4.27564,4.2533,4.2533,16566.0
20.10.2019,RON,Day,4.26151,4.27083,4.25636,4.26394,15738.0
21.10.2019,RON,Day,4.2637,4.28097,4.2637,4.27559,18394.0
22.10.2019,RON,Day,4.27967,4.28487,4.2669,4.26779,13190.0
23.10.2019,RON,Day,4.26854,4.28594,4.25709,4.27947,19330.0
24.10.2019,RON,Day,4.28012,4.29143,4.27396,4.28416,10060.0
27.10.2019,RON,Day,4.28623,4.29023,4.27979,4.27996,11519.0
28.10.2019,RON,Day,4.28359,4.29559,4.27599,4.27723,11563.0
29.10.2019,RON,Day,4.27931,4.29294,4.26432,4.26432,20431.0
30.10.2019,RON,Day,4.26097,4.27263,4.25202,4.25941,21813.0
31.10.2019,RON,Day,4.25602,4.27122,4.25315,4.25318,16302.0
03.11.2019,RON,Day,4.25268,4.27107,4.24965,4.26763,10907.75
04.11.2019,RON,Day,4.26901,4.29825,4.26576,4.28953,18988.25
05.11.2019,RON,Day,4.29112,4.30151,4.28889,4.29809,13685.0
06.11.2019,RON,Day,4.30169,4.31306,4.29089,4.3027,23705.5
07.11.2019,RON,Day,4.30555,4.32324,4.30355,4.31799,15070.75
10.11.2019,RON,Day,4.32005,4.32089,4.31308,4.31352,11531.5
11.11.2019,RON,Day,4.3147,4.32781,4.31278,4.323,13088.25
12.11.2019,RON,Day,4.32339,4.33065,4.32,4.32368,15879.5
13.11.2019,RON,Day,4.32858,4.33638,4.32094,4.32094,13320.5
14.11.2019,RON,Day,4.32317,4.32739,4.31055,4.31055,11969.5
17.11.2019,RON,Day,4.30932,4.31878,4.30415,4.30793,11206.75
18.11.2019,RON,Day,4.30786,4.31581,4.3072,4.3072,10771.75
19.11.2019,RON,Day,4.31148,4.32427,4.31121,4.31566,12941.5
20.11.2019,RON,Day,4.31683,4.32064,4.30712,4.31673,12418.75
21.11.2019,RON,Day,4.314,4.33568,4.30802,4.32958,15553.0
24.11.2019,RON,Day,4.32913,4.33837,4.32349,4.33111,10609.25
25.11.2019,RON,Day,4.32944,4.34041,4.32944,4.33321,12779.0
26.11.2019,RON,Day,4.34087,4.36902,4.33673,4.36571,11796.25
27.11.2019,RON,Day,4.36386,4.36416,4.33807,4.34911,7796.5
28.11.2019,RON,Day,4.35176,4.35392,4.33374,4.33582,11125.75
01.12.2019,RON,Day,4.33618,4.34166,4.30574,4.30657,11820.25
02.12.2019,RON,Day,4.31102,4.31626,4.30416,4.30604,12781.0
03.12.2019,RON,Day,4.31119,4.31477,4.2954,4.30823,14182.75
04.12.2019,RON,Day,4.30899,4.31025,4.29982,4.29982,12079.75
05.12.2019,RON,Day,4.30342,4.32711,4.30065,4.31565,12796.0
08.12.2019,RON,Day,4.31453,4.32134,4.30899,4.31511,9152.25
09.12.2019,RON,Day,4.317,4.31761,4.30325,4.30325,10933.5
10.12.2019,RON,Day,4.30809,4.31635,4.28881,4.29186,15301.25
