Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,SGD,Day,1.35107,1.35687,1.35101,1.35461,70667.51939999999
01.07.2019,SGD,Day,1.35453,1.35728,1.3542,1.356,58196.150100000006
02.07.2019,SGD,Day,1.35594,1.35742,1.35458,1.35542,51931.94999999998
03.07.2019,SGD,Day,1.35543,1.35656,1.35444,1.35596,32607.590199999995
04.07.2019,SGD,Day,1.3559,1.36239,1.35536,1.35897,51114.4502
07.07.2019,SGD,Day,1.35929,1.36164,1.35811,1.35981,46858.7701
08.07.2019,SGD,Day,1.35976,1.36239,1.35862,1.36068,44138.22950000001
09.07.2019,SGD,Day,1.36057,1.36247,1.35676,1.35799,54853.5002
10.07.2019,SGD,Day,1.35798,1.35839,1.35435,1.35716,59963.9104
11.07.2019,SGD,Day,1.35716,1.36093,1.35661,1.35698,52141.90000000001
14.07.2019,SGD,Day,1.35803,1.35868,1.35526,1.3561,43497.07989999999
15.07.2019,SGD,Day,1.35604,1.35861,1.35519,1.35837,47035.92030000001
16.07.2019,SGD,Day,1.35835,1.36257,1.3579,1.36083,45760.0298
17.07.2019,SGD,Day,1.36082,1.36166,1.35639,1.35658,64701.6198
18.07.2019,SGD,Day,1.35655,1.36117,1.35571,1.36005,86908.77070000001
21.07.2019,SGD,Day,1.35888,1.36172,1.35867,1.36077,67893.61000000002
22.07.2019,SGD,Day,1.36075,1.36576,1.35956,1.36534,72720.9394
23.07.2019,SGD,Day,1.36534,1.36645,1.3628,1.36432,77637.2997
24.07.2019,SGD,Day,1.36427,1.36857,1.36396,1.36724,115352.7801
25.07.2019,SGD,Day,1.36723,1.37041,1.36694,1.36892,86619.1096
28.07.2019,SGD,Day,1.36718,1.37195,1.36718,1.37013,44297.9702
29.07.2019,SGD,Day,1.37008,1.37127,1.36881,1.37033,74624.73939999999
30.07.2019,SGD,Day,1.37032,1.37455,1.36777,1.37392,113624.20889999998
31.07.2019,SGD,Day,1.37392,1.37787,1.37071,1.37622,135945.0795
01.08.2019,SGD,Day,1.37622,1.37835,1.37419,1.37627,191159.2296
04.08.2019,SGD,Day,1.37614,1.38474,1.37536,1.38466,176221.01619999995
05.08.2019,SGD,Day,1.38466,1.38684,1.37937,1.38153,150995.0897
06.08.2019,SGD,Day,1.38146,1.38472,1.37933,1.38212,139354.7903
07.08.2019,SGD,Day,1.38212,1.38449,1.38049,1.38145,93009.33070000002
08.08.2019,SGD,Day,1.38133,1.38595,1.38109,1.38492,72599.64069999999
11.08.2019,SGD,Day,1.38393,1.38869,1.38378,1.38687,66061.5698
12.08.2019,SGD,Day,1.38677,1.38945,1.38052,1.38311,93239.8292
13.08.2019,SGD,Day,1.38303,1.39054,1.38231,1.38952,77454.67940000001
14.08.2019,SGD,Day,1.38944,1.39057,1.3866,1.38853,82995.61009999998
15.08.2019,SGD,Day,1.38844,1.38937,1.38371,1.38381,73129.7202
18.08.2019,SGD,Day,1.38434,1.38706,1.38385,1.38633,50920.9797
19.08.2019,SGD,Day,1.38523,1.38753,1.38453,1.38473,41602.9905
20.08.2019,SGD,Day,1.38464,1.38564,1.38233,1.38255,43809.72
21.08.2019,SGD,Day,1.38242,1.38737,1.38232,1.38487,55885.619600000005
22.08.2019,SGD,Day,1.38455,1.38862,1.38418,1.38663,78538.87
25.08.2019,SGD,Day,1.38941,1.39231,1.38654,1.38703,165631.25100000002
26.08.2019,SGD,Day,1.38703,1.39014,1.3866,1.38929,86247.14999999997
27.08.2019,SGD,Day,1.38916,1.38937,1.38779,1.38858,95967.4
28.08.2019,SGD,Day,1.38843,1.38939,1.38609,1.38697,103899.7695
29.08.2019,SGD,Day,1.38691,1.3897,1.38648,1.3871,72764.28039999999
01.09.2019,SGD,Day,1.38891,1.39132,1.38856,1.39091,66406.0405
02.09.2019,SGD,Day,1.38972,1.39413,1.38972,1.3901,71620.6498
03.09.2019,SGD,Day,1.39011,1.39034,1.38399,1.38405,50656.1197
04.09.2019,SGD,Day,1.38403,1.38569,1.38205,1.38339,71557.80060000002
05.09.2019,SGD,Day,1.38339,1.38501,1.3793,1.38101,70644.1805
08.09.2019,SGD,Day,1.37997,1.3822,1.37848,1.37865,74318.69019999998
09.09.2019,SGD,Day,1.37865,1.38127,1.37845,1.37947,58535.48039999999
10.09.2019,SGD,Day,1.37952,1.38044,1.37792,1.37873,92536.851
11.09.2019,SGD,Day,1.37866,1.37925,1.37252,1.374,84127.6507
12.09.2019,SGD,Day,1.37383,1.37569,1.37195,1.37226,81678.0503
15.09.2019,SGD,Day,1.37442,1.37623,1.37275,1.37448,93289.2596
16.09.2019,SGD,Day,1.37426,1.37774,1.37379,1.37394,70442.7
17.09.2019,SGD,Day,1.37377,1.37658,1.3719,1.37605,64280.7895
18.09.2019,SGD,Day,1.37399,1.37942,1.37348,1.37845,76422.07039999998
19.09.2019,SGD,Day,1.37833,1.37907,1.37393,1.37658,73265.6701
22.09.2019,SGD,Day,1.37587,1.37904,1.37554,1.37757,69355.16049999998
23.09.2019,SGD,Day,1.37738,1.37852,1.37494,1.37529,81456.72010000002
24.09.2019,SGD,Day,1.37528,1.37945,1.37487,1.37864,85520.15049999997
25.09.2019,SGD,Day,1.37864,1.38222,1.37789,1.38131,71075.81959999997
26.09.2019,SGD,Day,1.38131,1.38298,1.37982,1.3806,75884.889
29.09.2019,SGD,Day,1.38078,1.38345,1.38064,1.38179,100785.13060000002
30.09.2019,SGD,Day,1.38176,1.38782,1.38089,1.38463,101325.98079999998
01.10.2019,SGD,Day,1.38452,1.38674,1.38394,1.38399,90659.89959999998
02.10.2019,SGD,Day,1.38393,1.38452,1.37847,1.37987,121517.9694
03.10.2019,SGD,Day,1.37868,1.38098,1.37761,1.37815,133772.05139999997
06.10.2019,SGD,Day,1.37906,1.38251,1.37868,1.38052,133038.0608
07.10.2019,SGD,Day,1.38052,1.38274,1.37854,1.38242,141750.5409
08.10.2019,SGD,Day,1.38242,1.3827,1.37915,1.38066,101727.6701
09.10.2019,SGD,Day,1.38066,1.3825,1.37475,1.37487,131375.9202
