Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,DKK,Month,6.57003,6.75162,6.5636,6.74181,2733813.4522999995
31.07.2019,DKK,Month,6.74174,6.80055,6.63433,6.7838,3486396.3814000017
31.08.2019,DKK,Month,6.78332,6.85905,6.71782,6.84943,2116721.3907000003
30.09.2019,DKK,Month,6.84984,6.86197,6.68273,6.69848,3079291.061299999
31.10.2019,DKK,Month,6.69848,6.80343,6.68535,6.77799,2404299.8458000007
30.11.2019,DKK,Month,6.77729,6.79,6.64721,6.66209,2356553.4202000005
31.12.2019,DKK,Month,6.66138,6.79793,6.65469,6.73473,2347340.1796999997
31.01.2020,DKK,Month,6.73462,6.92927,6.73462,6.77503,2349911.636099999
29.02.2020,DKK,Month,6.76535,7.01837,6.49834,6.76391,7604665.188300003
31.03.2020,DKK,Month,6.76257,6.9518,6.76157,6.81303,3804384.9456999977
30.04.2020,DKK,Month,6.81053,6.92896,6.68803,6.70877,3257989.3523
31.05.2020,DKK,Month,6.70138,6.71583,6.52652,6.63299,4708769.2544
30.06.2020,DKK,Month,6.63173,6.66238,6.25072,6.32187,3588259.577199999
31.07.2020,DKK,Month,6.31638,6.36653,6.22012,6.23514,3386493.383400001
31.08.2020,DKK,Month,6.23453,6.41253,6.19673,6.35123,4143610.8726999983
30.09.2020,DKK,Month,6.35092,6.39572,6.26364,6.39131,3290841.757600005
31.10.2020,DKK,Month,6.38992,6.41727,6.19958,6.24063,2944933.932000001
30.11.2020,DKK,Month,6.23833,6.23973,6.0428,6.08988,2517947.3455000003
31.12.2020,DKK,Month,6.07953,6.17163,6.02296,6.12612,2613144.9143000008
31.01.2021,DKK,Month,6.12962,6.22138,6.07363,6.15876,2505849.728999999
28.02.2021,DKK,Month,6.15982,6.35449,6.13873,6.34017,4098040.040300003
31.03.2021,DKK,Month,6.34027,6.35046,6.11979,6.18468,2218294.7735
30.04.2021,DKK,Month,6.17974,6.20374,6.06183,6.08116,3216063.510399999
31.05.2021,DKK,Month,6.08109,6.27764,6.06817,6.2703,3235804.3741999995
30.06.2021,DKK,Month,6.27102,6.32935,6.2453,6.26672,2748193.289800002
31.07.2021,DKK,Month,6.26822,6.37569,6.24929,6.29672,2054846.247299998
31.08.2021,DKK,Month,6.29657,6.43133,6.24384,6.42263,2476069.8408000013
30.09.2021,DKK,Month,6.42162,6.45621,6.36181,6.43349,2089281.455499998
31.10.2021,DKK,Month,6.43179,6.64791,6.40221,6.55802,2725513.175100002
30.11.2021,DKK,Month,6.55955,6.62625,6.53082,6.53775,2420559.4446000005
31.12.2021,DKK,Month,6.53899,6.69213,6.48049,6.62225,2040146.0575000015
31.01.2022,DKK,Month,6.6218,6.70061,6.4713,6.62775,2833675.79
28.02.2022,DKK,Month,6.62802,6.88398,6.62186,6.71999,4248742.564099995
31.03.2022,DKK,Month,6.721,7.10662,6.71505,7.05132,3556310.4018999967
30.04.2022,DKK,Month,7.0505,7.18938,6.896,6.93022,3878576.784699998
31.05.2022,DKK,Month,6.92897,7.17975,6.90425,7.09342,4030170.0739000016
30.06.2022,DKK,Month,7.09311,7.47782,7.09151,7.279,4985828.8591
31.07.2022,DKK,Month,7.2824,7.51166,7.17548,7.39688,3909978.7364
31.08.2022,DKK,Month,7.39831,7.79819,7.29195,7.58501,10140465.847500002
30.09.2022,DKK,Month,7.58938,7.72259,7.36861,7.53347,4184406.2535000015
31.10.2022,DKK,Month,7.53227,7.64868,7.08428,7.14648,4512633.660999999
30.11.2022,DKK,Month,7.14555,7.15521,6.92834,6.94319,3730208.4676
31.12.2022,DKK,Month,6.94818,7.09413,6.80636,6.84751,3358787.513600001
31.01.2023,DKK,Month,6.84436,7.06608,6.74199,7.03733,3133824.8389999988
28.02.2023,DKK,Month,7.03513,7.07935,6.81263,6.87019,3660563.7716000015
31.03.2023,DKK,Month,6.86988,6.90415,6.71698,6.76566,2319585.7467000014
30.04.2023,DKK,Month,6.76223,7.00184,6.71663,6.96672,2422650.6295999987
31.05.2023,DKK,Month,6.96649,6.98426,6.76394,6.82247,2189307.3716000007
30.06.2023,DKK,Month,6.82204,6.87587,6.62405,6.63452,949766.0899999974
