Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,HKD,Month,7.81088,7.82914,7.78237,7.8276,264163.71530000016
31.07.2019,HKD,Month,7.82721,7.84857,7.81683,7.84015,210399.74760000032
31.08.2019,HKD,Month,7.84214,7.84507,7.81628,7.8375,184876.90740000008
30.09.2019,HKD,Month,7.8376,7.84584,7.83349,7.8363,166631.51990000007
31.10.2019,HKD,Month,7.836,7.83963,7.81965,7.82752,157759.74489999993
30.11.2019,HKD,Month,7.82751,7.83076,7.78254,7.79017,203183.96689999985
31.12.2019,HKD,Month,7.78928,7.79549,7.76216,7.76392,218033.45480000004
31.01.2020,HKD,Month,7.76433,7.79867,7.75987,7.79228,174831.61230000004
29.02.2020,HKD,Month,7.79103,7.79537,7.74946,7.75068,242907.3423
31.03.2020,HKD,Month,7.75013,7.75742,7.74932,7.75086,137461.39989999996
30.04.2020,HKD,Month,7.7506,7.7575,7.74967,7.75073,127948.90500000004
31.05.2020,HKD,Month,7.75162,7.7546,7.74896,7.75013,81334.53500000002
30.06.2020,HKD,Month,7.7502,7.75462,7.74922,7.7501,94973.97499999998
31.07.2020,HKD,Month,7.74975,7.75124,7.74907,7.74993,92273.03709999996
31.08.2020,HKD,Month,7.7499,7.75059,7.7488,7.74979,72696.59999999995
30.09.2020,HKD,Month,7.74978,7.75487,7.74843,7.75207,77320.74500000007
31.10.2020,HKD,Month,7.75167,7.75735,7.74916,7.75104,167085.72479999985
30.11.2020,HKD,Month,7.75104,7.75587,7.74997,7.75199,128171.93000000015
31.12.2020,HKD,Month,7.75236,7.75741,7.75091,7.75265,114779.85000000008
31.01.2021,HKD,Month,7.75115,7.75737,7.75065,7.75569,105814.6101
28.02.2021,HKD,Month,7.75567,7.77604,7.7554,7.77325,189523.1699
31.03.2021,HKD,Month,7.77349,7.78626,7.75853,7.76653,177238.1599000002
30.04.2021,HKD,Month,7.76534,7.76992,7.75814,7.75988,137255.54009999998
31.05.2021,HKD,Month,7.7597,7.76685,7.75567,7.76379,184659.8104
30.06.2021,HKD,Month,7.76396,7.78534,7.76372,7.77032,197536.43480000025
31.07.2021,HKD,Month,7.77033,7.79434,7.76999,7.77683,206365.0449
31.08.2021,HKD,Month,7.77668,7.7893,7.76975,7.78432,215103.23990000004
30.09.2021,HKD,Month,7.78412,7.78812,7.77212,7.77714,193240.27019999977
31.10.2021,HKD,Month,7.77662,7.80186,7.77655,7.79643,234854.80320000017
30.11.2021,HKD,Month,7.79611,7.80433,7.78804,7.79515,216083.73999999987
31.12.2021,HKD,Month,7.79565,7.80206,7.78215,7.79653,209712.30989999985
31.01.2022,HKD,Month,7.79661,7.81492,7.78715,7.81313,232168.4299
28.02.2022,HKD,Month,7.81332,7.83405,7.81144,7.83175,263529.3302999998
31.03.2022,HKD,Month,7.83197,7.8483,7.83067,7.84672,178277.8301
30.04.2022,HKD,Month,7.84559,7.85048,7.845,7.84692,344659.5294999998
31.05.2022,HKD,Month,7.84685,7.85001,7.8435,7.84608,388688.2195999995
30.06.2022,HKD,Month,7.84608,7.85,7.84489,7.84957,223967.47050000032
31.07.2022,HKD,Month,7.84949,7.85018,7.82755,7.84897,455988.4594
31.08.2022,HKD,Month,7.84902,7.84993,7.84608,7.84918,244487.4801000002
30.09.2022,HKD,Month,7.84923,7.85003,7.84687,7.84936,184043.4501
31.10.2022,HKD,Month,7.84885,7.84992,7.79751,7.80947,443439.6595000002
30.11.2022,HKD,Month,7.80959,7.80959,7.76137,7.80061,512718.1097999998
31.12.2022,HKD,Month,7.79803,7.84177,7.79502,7.84013,430128.3296999996
31.01.2023,HKD,Month,7.8402,7.84996,7.82279,7.84909,372150.4396000005
28.02.2023,HKD,Month,7.84906,7.85,7.83538,7.84963,371689.8796
31.03.2023,HKD,Month,7.84953,7.84997,7.84395,7.84935,171054.38979999998
30.04.2023,HKD,Month,7.8493,7.84996,7.80646,7.82967,883049.9191999999
31.05.2023,HKD,Month,7.82803,7.844,7.81286,7.83618,461064.5399000005
30.06.2023,HKD,Month,7.83633,7.8379,7.81264,7.81293,225544.58999999776
