Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,ILS,Month,3.57759,3.58178,3.46747,3.51019,219980.03029999972
31.07.2019,ILS,Month,3.51079,3.55296,3.46447,3.52806,249798.3994999998
31.08.2019,ILS,Month,3.53549,3.56019,3.47157,3.474,188007.91019999984
30.09.2019,ILS,Month,3.4751,3.54819,3.47249,3.52149,272006.7905999999
31.10.2019,ILS,Month,3.52099,3.53329,3.44719,3.47155,229989.1601
30.11.2019,ILS,Month,3.47149,3.50499,3.44839,3.45105,189274.54999999984
31.12.2019,ILS,Month,3.45389,3.48598,3.44414,3.44692,182491.3298999998
31.01.2020,ILS,Month,3.45119,3.49276,3.39749,3.46443,292439.4492999998
29.02.2020,ILS,Month,3.47029,3.88711,3.42593,3.54259,1179594.3115999992
31.03.2020,ILS,Month,3.54677,3.65939,3.46602,3.48399,889453.2922999997
30.04.2020,ILS,Month,3.48418,3.55935,3.48309,3.50503,556436.1113000002
31.05.2020,ILS,Month,3.50925,3.51529,3.41755,3.46129,701667.7505000003
30.06.2020,ILS,Month,3.46249,3.46683,3.39279,3.40049,500664.5398999996
31.07.2020,ILS,Month,3.40209,3.42842,3.34874,3.35102,379570.1786999998
31.08.2020,ILS,Month,3.3509,3.48849,3.34804,3.42459,304454.7502000001
30.09.2020,ILS,Month,3.42069,3.4371,3.36609,3.40342,248794.30039999977
31.10.2020,ILS,Month,3.40439,3.42476,3.30188,3.30299,168099.93009999988
30.11.2020,ILS,Month,3.30243,3.30759,3.20602,3.20943,196457.4901
31.12.2020,ILS,Month,3.21007,3.29959,3.11179,3.27903,201923.61999999985
31.01.2021,ILS,Month,3.28114,3.31482,3.23314,3.30512,144133.64990000002
28.02.2021,ILS,Month,3.29936,3.35149,3.24993,3.33881,192429.5401999998
31.03.2021,ILS,Month,3.33972,3.34527,3.23419,3.24618,142369.54989999998
30.04.2021,ILS,Month,3.24657,3.30017,3.23659,3.24435,163007.35009999998
31.05.2021,ILS,Month,3.24462,3.28769,3.23481,3.25645,195065.0202
30.06.2021,ILS,Month,3.25728,3.3016,3.22326,3.22414,246178.8704
31.07.2021,ILS,Month,3.22652,3.25295,3.20193,3.20593,172254.8104
31.08.2021,ILS,Month,3.20533,3.23294,3.18935,3.2215,164645.45990000007
30.09.2021,ILS,Month,3.22554,3.25245,3.1419,3.16125,154861.79999999993
31.10.2021,ILS,Month,3.15539,3.19549,3.0398,3.14884,241403.4596
30.11.2021,ILS,Month,3.14099,3.17969,3.08447,3.09787,194323.43019999983
31.12.2021,ILS,Month,3.09907,3.20551,3.07719,3.16245,224401.99
31.01.2022,ILS,Month,3.16069,3.28886,3.1506,3.20568,265103.31970000005
28.02.2022,ILS,Month,3.20929,3.30962,3.1654,3.19155,308520.6805000001
31.03.2022,ILS,Month,3.18662,3.34956,3.18355,3.33504,271528.47030000004
30.04.2022,ILS,Month,3.33995,3.47259,3.31053,3.31479,349833.7199000002
31.05.2022,ILS,Month,3.31561,3.51536,3.30695,3.48711,459742.4497000002
30.06.2022,ILS,Month,3.49605,3.54709,3.37854,3.39239,509484.2092999998
31.07.2022,ILS,Month,3.40048,3.40904,3.19867,3.32756,541387.6584999997
31.08.2022,ILS,Month,3.34227,3.57626,3.33962,3.55078,548126.4288
30.09.2022,ILS,Month,3.56846,3.61507,3.47392,3.52443,493919.4601999999
31.10.2022,ILS,Month,3.51611,3.58099,3.38756,3.40732,517585.8604
30.11.2022,ILS,Month,3.40826,3.54268,3.36639,3.50707,549876.6823000001
31.12.2022,ILS,Month,3.50521,3.55718,3.34518,3.44554,508849.07
31.01.2023,ILS,Month,3.44659,3.69156,3.3881,3.64851,484051.2711
28.02.2023,ILS,Month,3.65252,3.71276,3.52838,3.59423,690246.5903999987
31.03.2023,ILS,Month,3.59537,3.69159,3.55475,3.62199,334865.33950000006
30.04.2023,ILS,Month,3.62813,3.74959,3.60394,3.73393,431226.9695000002
31.05.2023,ILS,Month,3.72892,3.7535,3.53943,3.70434,554476.7404000002
30.06.2023,ILS,Month,3.70175,3.72795,3.59501,3.5999,224285.95999999868
