Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,PLN,Month,3.73439,3.87894,3.72968,3.87097,1732686.9830000007
31.07.2019,PLN,Month,3.87099,3.99721,3.84048,3.97248,2594191.5914
31.08.2019,PLN,Month,3.97854,4.02229,3.89411,4.00798,1572272.3653999993
30.09.2019,PLN,Month,4.00798,4.02448,3.81055,3.82065,1678080.544399999
31.10.2019,PLN,Month,3.8188,3.9331,3.80195,3.90839,1262034.5727999995
30.11.2019,PLN,Month,3.90834,3.91706,3.78491,3.79005,1378668.7642999997
31.12.2019,PLN,Month,3.78871,3.90335,3.77434,3.86816,1375789.4730999994
31.01.2020,PLN,Month,3.87133,3.98245,3.84943,3.91891,1288421.6502
29.02.2020,PLN,Month,3.91658,4.30716,3.75558,4.12153,4720016.817
31.03.2020,PLN,Month,4.12153,4.25115,4.10965,4.14846,2690413.391800001
30.04.2020,PLN,Month,4.14846,4.24096,3.98752,3.9991,1773636.3787000005
31.05.2020,PLN,Month,3.98155,4.00126,3.88725,3.95373,3322331.2448999984
30.06.2020,PLN,Month,3.95382,3.98692,3.69856,3.74155,2912327.209699998
31.07.2020,PLN,Month,3.74146,3.77916,3.66015,3.68345,2204614.5545
31.08.2020,PLN,Month,3.6826,3.93963,3.65526,3.86165,2153382.6677999995
30.09.2020,PLN,Month,3.86102,3.9713,3.7639,3.95035,1769615.0394000004
31.10.2020,PLN,Month,3.95226,3.97075,3.72595,3.75145,1337757.4521000008
30.11.2020,PLN,Month,3.749,3.7598,3.61515,3.72366,1325499.3304000013
31.12.2020,PLN,Month,3.72425,3.77411,3.65109,3.71996,1351643.6212
31.01.2021,PLN,Month,3.72375,3.76541,3.68035,3.73496,1387065.6757999996
28.02.2021,PLN,Month,3.74275,3.98194,3.72983,3.94705,2054473.4428
31.03.2021,PLN,Month,3.94329,3.95562,3.75679,3.78915,1752566.7515999998
30.04.2021,PLN,Month,3.78319,3.82125,3.65227,3.66004,1658951.2584999998
31.05.2021,PLN,Month,3.66032,3.8446,3.63959,3.80875,1680330.0914000007
30.06.2021,PLN,Month,3.80761,3.91367,3.77796,3.83668,1639659.6394
31.07.2021,PLN,Month,3.84285,3.93629,3.80939,3.82804,1240741.6793
31.08.2021,PLN,Month,3.82804,4.01592,3.78405,3.97356,1476310.251000001
30.09.2021,PLN,Month,3.97405,4.0055,3.91631,3.98116,1461703.3672000011
31.10.2021,PLN,Month,3.98897,4.20423,3.93815,4.10375,1937908.6016
30.11.2021,PLN,Month,4.10205,4.12326,4.02623,4.03303,1808562.6016000016
31.12.2021,PLN,Month,4.02855,4.1224,3.94165,4.07555,1748336.9633999986
31.01.2022,PLN,Month,4.07223,4.24034,3.91185,4.18746,2186962.2541
28.02.2022,PLN,Month,4.18266,4.61963,4.14593,4.19776,1625044.3084000018
31.03.2022,PLN,Month,4.19476,4.49083,4.18545,4.42395,962136.5716000008
30.04.2022,PLN,Month,4.42894,4.52565,4.23665,4.26516,940982.9305000004
31.05.2022,PLN,Month,4.26115,4.54395,4.24963,4.47935,894227.959199999
30.06.2022,PLN,Month,4.48015,4.84896,4.47985,4.62847,1133054.0176999988
31.07.2022,PLN,Month,4.63326,4.82306,4.50726,4.68956,1238733.1205000011
31.08.2022,PLN,Month,4.68865,5.05943,4.60325,4.94516,1680117.899099999
30.09.2022,PLN,Month,4.93805,5.03996,4.69586,4.76765,1402110.5292000012
31.10.2022,PLN,Month,4.76565,4.84316,4.45875,4.48355,915700.699
30.11.2022,PLN,Month,4.48475,4.51415,4.3519,4.37013,1063866.1307000006
31.12.2022,PLN,Month,4.3648,4.4781,4.31135,4.33045,1213854.599
31.01.2023,PLN,Month,4.3281,4.50125,4.26123,4.44606,1058153.5391000009
28.02.2023,PLN,Month,4.4434,4.46987,4.27583,4.30669,1281724.3899
31.03.2023,PLN,Month,4.30448,4.34127,4.12425,4.15544,826436.7722999994
30.04.2023,PLN,Month,4.1487,4.26383,4.1044,4.23352,1009332.5099
31.05.2023,PLN,Month,4.23353,4.25439,4.02106,4.05429,903013.4893
30.06.2023,PLN,Month,4.06006,4.15324,3.95085,3.95818,470318.4900000033
