Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,CHF,Week,0.97853,0.99318,0.97802,0.99147,386022.6697
07.07.2019,CHF,Week,0.99149,0.99513,0.98359,0.984,404604.9894
14.07.2019,CHF,Week,0.98377,0.99074,0.98056,0.98154,399538.4102
21.07.2019,CHF,Week,0.98234,0.99459,0.98036,0.99322,405302.3692000001
28.07.2019,CHF,Week,0.99309,0.99752,0.98142,0.98215,638660.8723000003
04.08.2019,CHF,Week,0.98399,0.98399,0.96918,0.97247,705260.3680000002
11.08.2019,CHF,Week,0.97257,0.98089,0.96593,0.97805,783592.0796000002
18.08.2019,CHF,Week,0.97631,0.98768,0.97352,0.97404,441804.2002
25.08.2019,CHF,Week,0.97245,0.99174,0.97132,0.98928,626327.1016999999
01.09.2019,CHF,Week,0.98982,0.99287,0.97978,0.98717,505754.1301999999
08.09.2019,CHF,Week,0.98781,0.99465,0.98539,0.98994,501865.36070000014
15.09.2019,CHF,Week,0.98742,0.99833,0.98645,0.99078,481267.5297999999
22.09.2019,CHF,Week,0.99103,0.99489,0.98435,0.99058,524700.6507999998
29.09.2019,CHF,Week,0.99019,1.00273,0.99019,0.99513,555531.7690000001
06.10.2019,CHF,Week,0.99479,0.99903,0.99046,0.99653,549375.3702
13.10.2019,CHF,Week,0.99679,0.99956,0.98381,0.98381,439764.7106000001
20.10.2019,CHF,Week,0.98406,0.99546,0.984,0.99393,378406.00060000026
27.10.2019,CHF,Week,0.99455,0.99698,0.98507,0.98546,398697.0320999999
03.11.2019,CHF,Week,0.98484,0.99786,0.98484,0.99671,402479.45140000014
10.11.2019,CHF,Week,0.99683,0.99767,0.98698,0.98945,320667.1888000002
17.11.2019,CHF,Week,0.98872,0.99799,0.9868,0.99677,355879.1499000001
24.11.2019,CHF,Week,0.99769,1.00231,0.99596,0.99955,282273.0308000002
01.12.2019,CHF,Week,0.99978,1.00082,0.98552,0.99007,352679.44060000015
08.12.2019,CHF,Week,0.98973,0.991,0.98053,0.98353,397276.0705
15.12.2019,CHF,Week,0.98326,0.98468,0.97701,0.98251,299875.73070000013
22.12.2019,CHF,Week,0.98053,0.98313,0.97297,0.9741,164362.9707
29.12.2019,CHF,Week,0.97408,0.9759,0.96459,0.97222,295413.16930000007
05.01.2020,CHF,Week,0.97003,0.97621,0.96647,0.97234,397655.6499
12.01.2020,CHF,Week,0.97263,0.97363,0.96127,0.96745,306066.8816
19.01.2020,CHF,Week,0.96722,0.97291,0.96609,0.97102,298369.3394
26.01.2020,CHF,Week,0.97033,0.97663,0.96271,0.96271,356679.05930000026
02.02.2020,CHF,Week,0.96335,0.97809,0.96291,0.97742,403067.3182000001
