Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,HKD,Week,7.81088,7.81531,7.78237,7.79549,69275.39000000001
07.07.2019,HKD,Week,7.79458,7.8262,7.79435,7.82375,59106.07490000002
14.07.2019,HKD,Week,7.8236,7.82914,7.80236,7.80754,64242.44009999998
21.07.2019,HKD,Week,7.80591,7.81937,7.80124,7.81757,46660.42030000002
28.07.2019,HKD,Week,7.81652,7.83102,7.81362,7.82966,43693.22249999999
04.08.2019,HKD,Week,7.82881,7.84857,7.82541,7.84197,66328.46500000001
11.08.2019,HKD,Week,7.84146,7.84726,7.8316,7.84456,52037.97509999997
18.08.2019,HKD,Week,7.84327,7.84645,7.83621,7.84163,39737.645
25.08.2019,HKD,Week,7.84032,7.84786,7.83387,7.84015,33481.829999999994
01.09.2019,HKD,Week,7.84214,7.84507,7.83669,7.83896,39842.79529999999
08.09.2019,HKD,Week,7.83867,7.84381,7.81984,7.81986,47387.84
15.09.2019,HKD,Week,7.82163,7.84208,7.81628,7.83729,46992.45209999999
22.09.2019,HKD,Week,7.83905,7.84185,7.83548,7.83944,43768.87000000002
29.09.2019,HKD,Week,7.83986,7.84429,7.83619,7.83933,35653.44000000001
06.10.2019,HKD,Week,7.84156,7.84569,7.84009,7.84313,36345.76990000002
13.10.2019,HKD,Week,7.84275,7.84584,7.8418,7.84213,34846.83000000001
20.10.2019,HKD,Week,7.84107,7.84373,7.83597,7.8366,40104.77
27.10.2019,HKD,Week,7.83639,7.84134,7.83349,7.83567,34880.82999999999
03.11.2019,HKD,Week,7.83591,7.83963,7.82276,7.82557,40324.465
10.11.2019,HKD,Week,7.82699,7.83467,7.82429,7.82469,43576.174899999976
17.11.2019,HKD,Week,7.82577,7.83068,7.81965,7.82451,32319.705
24.11.2019,HKD,Week,7.82382,7.83282,7.82377,7.82752,33224.23000000001
01.12.2019,HKD,Week,7.82751,7.83076,7.82679,7.82902,34330.10250000001
08.12.2019,HKD,Week,7.82856,7.83048,7.79055,7.79898,56025.83979999998
15.12.2019,HKD,Week,7.79655,7.80141,7.78264,7.79453,66759.61960000002
22.12.2019,HKD,Week,7.79444,7.79865,7.78392,7.78513,29198.85000000001
29.12.2019,HKD,Week,7.78522,7.79549,7.77585,7.77733,39422.130000000005
05.01.2020,HKD,Week,7.77732,7.78233,7.76216,7.76547,60832.12980000001
12.01.2020,HKD,Week,7.76525,7.77935,7.76506,7.76698,51422.795000000006
19.01.2020,HKD,Week,7.76671,7.77485,7.7659,7.77176,46951.17000000004
26.01.2020,HKD,Week,7.77112,7.77918,7.76301,7.76392,36274.785
02.02.2020,HKD,Week,7.76433,7.76959,7.75987,7.76528,38915.09
09.02.2020,HKD,Week,7.76433,7.77164,7.76296,7.76693,33254.02500000001
16.02.2020,HKD,Week,7.76639,7.7937,7.76579,7.78673,43884.195
23.02.2020,HKD,Week,7.78777,7.79867,7.78706,7.79228,58778.30229999999
01.03.2020,HKD,Week,7.79103,7.79537,7.7641,7.77222,50394.765000000014
08.03.2020,HKD,Week,7.76868,7.78732,7.76457,7.76582,47987.2397
15.03.2020,HKD,Week,7.76434,7.77046,7.75503,7.75588,71939.82760000002
22.03.2020,HKD,Week,7.75463,7.76009,7.74946,7.75044,54193.01
29.03.2020,HKD,Week,7.75106,7.75498,7.74985,7.75142,42562.86999999999
05.04.2020,HKD,Week,7.75173,7.75742,7.74985,7.74985,35109.479900000006
12.04.2020,HKD,Week,7.75166,7.75321,7.74983,7.75001,32383.04999999999
19.04.2020,HKD,Week,7.7503,7.75146,7.74932,7.74962,24647.459999999995
26.04.2020,HKD,Week,7.75011,7.75288,7.74945,7.75103,25450.61
03.05.2020,HKD,Week,7.75099,7.75565,7.75,7.75143,34272.494999999995
10.05.2020,HKD,Week,7.75113,7.75202,7.74982,7.75003,23918.83999999999
17.05.2020,HKD,Week,7.7505,7.7575,7.74967,7.75645,26759.31
24.05.2020,HKD,Week,7.75393,7.75724,7.75032,7.75073,38698.68999999999
31.05.2020,HKD,Week,7.75162,7.75407,7.74909,7.7497,20783.62000000001
07.06.2020,HKD,Week,7.74964,7.75078,7.74914,7.74987,18175.72000000001
14.06.2020,HKD,Week,7.74964,7.7546,7.74896,7.74991,19875.340000000004
21.06.2020,HKD,Week,7.74994,7.75054,7.74932,7.75013,14377.429999999997
28.06.2020,HKD,Week,7.74975,7.75102,7.74947,7.7497,19930.89
05.07.2020,HKD,Week,7.74973,7.75241,7.74922,7.75225,16142.57
12.07.2020,HKD,Week,7.75171,7.75462,7.74998,7.75349,23747.504999999997
19.07.2020,HKD,Week,7.75249,7.75414,7.74992,7.75092,23502.13000000001
26.07.2020,HKD,Week,7.75096,7.75188,7.7495,7.7501,19773.305000000008
02.08.2020,HKD,Week,7.74975,7.7505,7.74935,7.75012,21980.105000000003
09.08.2020,HKD,Week,7.74975,7.75124,7.74938,7.75026,22032.39500000001
16.08.2020,HKD,Week,7.75052,7.75073,7.74907,7.74983,24606.3221
23.08.2020,HKD,Week,7.74968,7.75045,7.7491,7.74998,20821.035
30.08.2020,HKD,Week,7.74998,7.75048,7.74932,7.75008,16526.87
06.09.2020,HKD,Week,7.75015,7.75059,7.74925,7.74979,20980.875000000004
13.09.2020,HKD,Week,7.75014,7.75033,7.7488,7.74973,12342.560000000009
20.09.2020,HKD,Week,7.74977,7.75025,7.74887,7.74975,16772.190000000002
27.09.2020,HKD,Week,7.74981,7.75024,7.74902,7.75014,14944.849999999997
04.10.2020,HKD,Week,7.75013,7.75018,7.74868,7.74977,12186.939999999997
11.10.2020,HKD,Week,7.74976,7.75007,7.74923,7.74975,13751.335000000005
18.10.2020,HKD,Week,7.74994,7.75014,7.74883,7.74977,15279.475000000002
25.10.2020,HKD,Week,7.74984,7.75487,7.74843,7.75207,30065.43
01.11.2020,HKD,Week,7.75167,7.75735,7.74916,7.75391,54444.49490000002
08.11.2020,HKD,Week,7.75383,7.75488,7.75161,7.75353,47321.650100000006
15.11.2020,HKD,Week,7.75258,7.75429,7.75153,7.75192,35939.939900000005
22.11.2020,HKD,Week,7.75191,7.75311,7.75002,7.75035,23277.2649
29.11.2020,HKD,Week,7.75021,7.7533,7.74994,7.75022,27828.540000000005
06.12.2020,HKD,Week,7.74997,7.75228,7.74997,7.75081,39751.35500000002
13.12.2020,HKD,Week,7.75057,7.75352,7.74998,7.75182,25574.955000000005
20.12.2020,HKD,Week,7.75215,7.75398,7.75159,7.75359,19648.505
27.12.2020,HKD,Week,7.75266,7.75587,7.75091,7.75199,21470.95
03.01.2021,HKD,Week,7.75236,7.75741,7.75189,7.75632,29849.030000000013
10.01.2021,HKD,Week,7.75442,7.75584,7.75254,7.75327,27729.40000000001
17.01.2021,HKD,Week,7.75299,7.75405,7.75091,7.75172,25120.37000000001
24.01.2021,HKD,Week,7.75134,7.75387,7.75091,7.75265,32081.050000000007
31.01.2021,HKD,Week,7.75115,7.75327,7.75089,7.75172,32344.22500000001
07.02.2021,HKD,Week,7.7531,7.75313,7.75065,7.75238,20483.8751
14.02.2021,HKD,Week,7.7521,7.7536,7.75177,7.75251,20490.70499999999
21.02.2021,HKD,Week,7.7527,7.75737,7.75251,7.75569,32495.805
28.02.2021,HKD,Week,7.75567,7.76627,7.7554,7.76355,36314.47500000001
07.03.2021,HKD,Week,7.76181,7.76988,7.75744,7.76173,62938.80490000002
14.03.2021,HKD,Week,7.76233,7.76722,7.76102,7.76382,42771.86
21.03.2021,HKD,Week,7.76339,7.76982,7.76331,7.76813,27069.370000000006
