Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,HUF,Week,284.165,289.451,284.045,288.586,223196.9712
07.07.2019,HUF,Week,288.505,290.838,288.385,288.865,265907.2005000001
14.07.2019,HUF,Week,288.875,291.37,288.686,289.6,218242.0807
21.07.2019,HUF,Week,289.854,294.18,289.434,293.846,239653.3596
28.07.2019,HUF,Week,293.496,296.529,292.255,294.746,342986.9304000001
04.08.2019,HUF,Week,294.554,294.725,288.898,289.523,345064.08139999985
11.08.2019,HUF,Week,289.575,293.735,288.545,292.505,325659.25950000004
18.08.2019,HUF,Week,292.335,297.31,292.22,295.601,253907.86990000005
25.08.2019,HUF,Week,294.955,302.095,294.655,301.265,249435.55060000005
01.09.2019,HUF,Week,301.375,303.045,297.075,299.225,230701.15040000004
08.09.2019,HUF,Week,299.489,303.457,298.103,298.926,242104.372
15.09.2019,HUF,Week,299.305,303.599,298.965,302.825,221659.5503000001
22.09.2019,HUF,Week,302.815,307.985,302.398,306.398,216456.8184
29.09.2019,HUF,Week,306.116,308.151,301.984,302.724,230218.0492
06.10.2019,HUF,Week,302.734,305.234,299.262,300.764,255085.4106
13.10.2019,HUF,Week,300.754,302.597,295.774,295.991,309658.8021000001
20.10.2019,HUF,Week,296.264,296.899,293.964,296.604,182454.7400999999
27.10.2019,HUF,Week,296.644,297.224,293.364,293.74,201928.721
03.11.2019,HUF,Week,293.704,303.054,293.394,302.564,195304.4597
10.11.2019,HUF,Week,302.591,304.374,302.294,302.707,189116.0195
17.11.2019,HUF,Week,302.534,303.684,300.144,303.476,181178.26919999992
24.11.2019,HUF,Week,303.145,306.207,302.68,303.606,316931.46940000006
01.12.2019,HUF,Week,303.594,303.764,297.374,299.344,190085.25019999995
08.12.2019,HUF,Week,299.354,299.944,293.904,296.431,254989.21
15.12.2019,HUF,Week,295.724,298.406,294.274,298.224,167369.8704
22.12.2019,HUF,Week,298.284,299.885,295.354,295.534,85053.23989999999
29.12.2019,HUF,Week,295.408,297.044,293.754,295.354,138021.44989999995
05.01.2020,HUF,Week,295.474,301.264,293.978,300.114,194685.8797
12.01.2020,HUF,Week,300.105,303.244,297.874,302.944,167847.45020000002
19.01.2020,HUF,Week,302.964,305.518,301.094,304.917,160617.83009999996
26.01.2020,HUF,Week,304.534,307.764,303.904,304.134,173502.1102
02.02.2020,HUF,Week,304.334,309.648,303.904,308.884,258902.64880000005
09.02.2020,HUF,Week,308.892,312.924,307.964,309.541,183916.7685
16.02.2020,HUF,Week,309.64,313.802,308.244,310.504,231735.41980000003
