Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,MXN,Week,19.14411,19.2061,18.96071,19.00671,457723.25739999977
07.07.2019,MXN,Week,19.01154,19.36218,18.86271,18.98271,602299.4584000001
14.07.2019,MXN,Week,18.98264,19.12284,18.91943,19.01903,502793.8520000001
21.07.2019,MXN,Week,19.01904,19.19055,18.96024,19.0344,431587.8719000001
28.07.2019,MXN,Week,19.03224,19.37324,18.94818,19.30094,571022.6603
04.08.2019,MXN,Week,19.29207,19.73647,19.28233,19.40074,596929.0990999998
11.08.2019,MXN,Week,19.39934,19.77411,19.35147,19.65386,609381.6512
18.08.2019,MXN,Week,19.66514,19.93777,19.60454,19.91318,617384.7000000001
25.08.2019,MXN,Week,19.95925,20.25471,19.80863,20.04623,700631.4966000002
01.09.2019,MXN,Week,20.09103,20.16144,19.51816,19.52554,522317.2287999999
08.09.2019,MXN,Week,19.53982,19.60114,19.34503,19.39904,489171.13950000034
15.09.2019,MXN,Week,19.41405,19.54544,19.31869,19.43603,449283.3299
22.09.2019,MXN,Week,19.43088,19.73505,19.3804,19.68584,468690.928
29.09.2019,MXN,Week,19.70303,19.85904,19.49018,19.50749,520765.2696000002
06.10.2019,MXN,Week,19.52761,19.63831,19.26637,19.31183,543076.6096000001
13.10.2019,MXN,Week,19.30139,19.34616,19.10146,19.10146,453302.6031999999
20.10.2019,MXN,Week,19.12665,19.18709,19.02696,19.0519,418349.5793999999
27.10.2019,MXN,Week,19.047,19.2454,19.01585,19.1051,478211.2629999999
03.11.2019,MXN,Week,19.09839,19.24916,19.0441,19.0926,453416.6197000002
10.11.2019,MXN,Week,19.08621,19.52758,19.08264,19.17489,451461.2487
17.11.2019,MXN,Week,19.1732,19.55073,19.1732,19.35294,440585.8982000001
24.11.2019,MXN,Week,19.35863,19.65741,19.31262,19.54232,371948.22949999984
01.12.2019,MXN,Week,19.51897,19.62724,19.2754,19.28062,504888.1221
08.12.2019,MXN,Week,19.29249,19.30508,18.97876,18.99962,505644.6994
15.12.2019,MXN,Week,19.02462,19.0818,18.885,18.93013,409768.28079999983
22.12.2019,MXN,Week,18.90498,18.9851,18.8057,18.83088,197796.3997999999
29.12.2019,MXN,Week,18.81853,19.02628,18.8004,18.89613,290829.4607
05.01.2020,MXN,Week,18.90048,19.0072,18.7453,18.78978,500748.96200000006
12.01.2020,MXN,Week,18.79274,18.86978,18.65288,18.6539,522977.3780999999
19.01.2020,MXN,Week,18.65446,18.8663,18.64389,18.7808,447028.0189
26.01.2020,MXN,Week,18.83209,18.97484,18.66641,18.8381,609637.1123999999
02.02.2020,MXN,Week,18.86376,18.89344,18.55832,18.7624,647413.1810000002
09.02.2020,MXN,Week,18.77082,18.82724,18.53441,18.53811,558247.4438
16.02.2020,MXN,Week,18.53051,19.0841,18.52134,18.90278,470836.157
23.02.2020,MXN,Week,18.99623,19.89246,18.94047,19.59191,1038639.3010000004
01.03.2020,MXN,Week,19.85894,20.37803,19.1507,20.10311,995952.3281
08.03.2020,MXN,Week,20.55348,22.99046,20.29859,21.89766,839130.2104999998
15.03.2020,MXN,Week,21.83256,24.63985,21.35824,24.40901,813628.7214000003
22.03.2020,MXN,Week,24.39571,25.44374,22.86157,23.37026,781814.7705
29.03.2020,MXN,Week,23.57516,25.04321,23.33616,24.95829,710194.9088999995
05.04.2020,MXN,Week,25.06491,25.76701,23.32187,23.32417,555914.3416999999
12.04.2020,MXN,Week,23.31181,24.42631,23.30691,23.72418,584296.6885
19.04.2020,MXN,Week,23.87865,25.29057,23.85661,24.96471,736779.1679000002
26.04.2020,MXN,Week,24.94367,25.01841,23.63984,24.58279,602616.6854999999
03.05.2020,MXN,Week,24.77941,24.88387,23.54881,23.66148,646638.8000999998
10.05.2020,MXN,Week,23.71089,24.40833,23.54821,23.94538,779185.1161999996
17.05.2020,MXN,Week,24.01101,24.01851,22.7034,22.71651,696980.8356000002
24.05.2020,MXN,Week,22.72017,22.76419,22.00151,22.16511,640205.5966999998
31.05.2020,MXN,Week,22.27221,22.27469,21.49081,21.55791,733133.0893999997
07.06.2020,MXN,Week,21.55301,22.93979,21.45691,22.19941,896513.2207
14.06.2020,MXN,Week,22.38881,22.82647,21.88996,22.63171,864697.4920999999
21.06.2020,MXN,Week,22.69927,23.0751,22.28213,23.02988,779569.5063000001
28.06.2020,MXN,Week,23.04291,23.22723,22.37344,22.38637,817695.1003999999
05.07.2020,MXN,Week,22.40508,22.89479,22.15103,22.44206,785783.0206
12.07.2020,MXN,Week,22.48399,22.77648,22.25341,22.5369,736006.1795999999
19.07.2020,MXN,Week,22.54776,22.71464,22.18551,22.28266,609437.3794999998
26.07.2020,MXN,Week,22.29517,22.32055,21.84837,22.27666,629705.3718999999
02.08.2020,MXN,Week,22.2871,22.90781,22.24936,22.36891,693401.1690000001
09.08.2020,MXN,Week,22.39139,22.53841,21.93491,21.94663,693746.4425000001
16.08.2020,MXN,Week,21.94956,22.32981,21.90459,21.96441,753624.04
23.08.2020,MXN,Week,21.95839,22.22441,21.7366,21.7366,735675.7767000002
30.08.2020,MXN,Week,21.74331,21.9542,21.49856,21.53891,836252.5983
06.09.2020,MXN,Week,21.53108,21.93962,21.20516,21.2668,728288.9727
13.09.2020,MXN,Week,21.27362,21.29351,20.84293,21.12691,707396.3481000002
20.09.2020,MXN,Week,21.0876,22.6973,21.04618,22.34032,947077.7198999998
27.09.2020,MXN,Week,22.31766,22.65102,21.57433,21.60841,878304.8727999999
04.10.2020,MXN,Week,21.61638,21.7603,21.11461,21.12426,798527.0461000004
11.10.2020,MXN,Week,21.19333,21.52526,21.08486,21.13901,787248.9645
18.10.2020,MXN,Week,21.10829,21.29333,20.84794,20.84794,771992.1921999998
25.10.2020,MXN,Week,20.87379,21.49501,20.82904,21.17491,1101681.23
01.11.2020,MXN,Week,21.21922,21.98043,20.51814,20.58554,1362801.9724999997
08.11.2020,MXN,Week,20.55165,20.68917,20.03044,20.40116,1069635.1766
15.11.2020,MXN,Week,20.39081,20.43491,20.04947,20.09716,845322.2994000001
22.11.2020,MXN,Week,20.0807,20.18181,19.93475,20.01774,720604.0749999997
29.11.2020,MXN,Week,20.04231,20.21541,19.73723,19.76591,753222.0825000003
06.12.2020,MXN,Week,19.78141,20.19204,19.69777,20.12531,718317.5098999997
13.12.2020,MXN,Week,20.09751,20.25991,19.73514,19.92088,675749.4974000001
20.12.2020,MXN,Week,19.99666,20.66056,19.83192,19.86138,684918.2087999999
27.12.2020,MXN,Week,19.91324,20.11982,19.80847,19.85631,472424.2565
03.01.2021,MXN,Week,19.88531,20.14855,19.59838,19.98406,975369.8557999998
10.01.2021,MXN,Week,20.00682,20.26133,19.63775,19.79224,950448.7685999996
17.01.2021,MXN,Week,19.81155,20.00424,19.54671,19.97449,644272.9402000002
24.01.2021,MXN,Week,19.9559,20.59841,19.85161,20.5892,1049484.4576999997
31.01.2021,MXN,Week,20.44487,20.51735,20.07202,20.08636,1038679.5866999998
