Date,Symbol,Frequency,Open,High,Low,Close,Volume
30.06.2019,TRY,Week,5.7319,5.74808,5.58412,5.62589,267795.83020000014
07.07.2019,TRY,Week,5.77456,5.78712,5.65527,5.71584,323436.94430000003
14.07.2019,TRY,Week,5.71967,5.732,5.61101,5.64558,450657.5901
21.07.2019,TRY,Week,5.64767,5.76994,5.61755,5.66689,221102.78970000008
28.07.2019,TRY,Week,5.65347,5.66967,5.50995,5.55198,204772.6904
04.08.2019,TRY,Week,5.57099,5.62005,5.45017,5.48495,240019.6106
11.08.2019,TRY,Week,5.49115,5.63484,5.48701,5.57512,270073.7308
18.08.2019,TRY,Week,5.57924,5.78953,5.56308,5.75328,266833.5395999999
25.08.2019,TRY,Week,5.77126,5.89477,5.77106,5.82573,265505.7587
01.09.2019,TRY,Week,5.8333,5.83906,5.64721,5.70827,202387.5795
08.09.2019,TRY,Week,5.70369,5.79145,5.64938,5.68296,206465.7105
15.09.2019,TRY,Week,5.71597,5.7498,5.65991,5.73812,306010.31080000004
22.09.2019,TRY,Week,5.73564,5.74385,5.6499,5.65911,215676.67360000007
29.09.2019,TRY,Week,5.66222,5.75771,5.63661,5.68863,277119.6512
06.10.2019,TRY,Week,5.70978,5.90266,5.70388,5.87679,302359.3403000001
13.10.2019,TRY,Week,5.89229,5.93827,5.75698,5.79009,262645.7595000001
20.10.2019,TRY,Week,5.78967,5.86583,5.7253,5.76923,196147.90040000004
27.10.2019,TRY,Week,5.76225,5.77477,5.69497,5.70773,298291.2397
03.11.2019,TRY,Week,5.69881,5.77075,5.68504,5.75764,341845.5389000001
10.11.2019,TRY,Week,5.76097,5.79557,5.73211,5.73889,325703.6895000002
17.11.2019,TRY,Week,5.73997,5.75326,5.68492,5.70887,265668.5712
24.11.2019,TRY,Week,5.71447,5.79116,5.70411,5.74212,253520.06490000003
01.12.2019,TRY,Week,5.74497,5.78922,5.72997,5.76821,253656.86980000007
08.12.2019,TRY,Week,5.77138,5.82639,5.76481,5.8029,275179.1918
15.12.2019,TRY,Week,5.80508,5.94427,5.80245,5.93279,239531.1408
22.12.2019,TRY,Week,5.93548,5.95969,5.92273,5.94479,363286.5987
29.12.2019,TRY,Week,5.94827,5.97797,5.93868,5.96437,305132.9094999999
05.01.2020,TRY,Week,5.96735,5.98827,5.85563,5.87228,350447.1501
12.01.2020,TRY,Week,5.8748,5.91238,5.83873,5.88335,316020.76830000005
19.01.2020,TRY,Week,5.88997,5.94748,5.88904,5.93634,273678.08999999985
26.01.2020,TRY,Week,5.93998,5.98708,5.93286,5.9758,287816.3605
02.02.2020,TRY,Week,5.97798,6.04789,5.96267,6.00756,325249.40949999983
09.02.2020,TRY,Week,5.98022,6.0678,5.97517,6.05056,322713.4405
16.02.2020,TRY,Week,6.05398,6.12508,6.03926,6.09474,428099.8284000001
23.02.2020,TRY,Week,6.11451,6.25659,6.07076,6.22984,488054.5571000001
01.03.2020,TRY,Week,6.25262,6.25714,6.02792,6.08631,470594.56050000025
08.03.2020,TRY,Week,6.115,6.33896,6.08881,6.32858,469940.2541999996
15.03.2020,TRY,Week,6.33645,6.56592,6.27562,6.54645,449004.98189999984
22.03.2020,TRY,Week,6.54741,6.60901,6.37994,6.44967,388811.3112000001
29.03.2020,TRY,Week,6.45811,6.74974,6.43842,6.73269,452970.9063000002
05.04.2020,TRY,Week,6.72924,6.79258,6.61746,6.686,378996.4144000002
12.04.2020,TRY,Week,6.72186,6.95814,6.69814,6.93024,412813.57370000007
19.04.2020,TRY,Week,6.90298,7.00692,6.87556,6.97677,426769.63209999993
26.04.2020,TRY,Week,6.95931,7.0398,6.9426,7.00857,314867.88140000013
03.05.2020,TRY,Week,7.01499,7.26852,7.00152,7.11782,443972.2901000001
10.05.2020,TRY,Week,7.07573,7.10698,6.89462,6.89716,371426.9046
17.05.2020,TRY,Week,6.8881,6.89565,6.74429,6.8055,183361.3739
24.05.2020,TRY,Week,6.80708,6.84012,6.69637,6.81041,146178.79
31.05.2020,TRY,Week,6.81059,6.82622,6.68597,6.76201,137346.27309999996
07.06.2020,TRY,Week,6.76692,6.8501,6.75808,6.80847,106742.4102
14.06.2020,TRY,Week,6.81278,6.86025,6.81277,6.84744,100752.8994
21.06.2020,TRY,Week,6.84372,6.85977,6.83362,6.84797,78977.33999999997
28.06.2020,TRY,Week,6.85389,6.87997,6.83868,6.85879,58988.54990000004
05.07.2020,TRY,Week,6.86124,6.86807,6.84939,6.86352,119716.03950000004
12.07.2020,TRY,Week,6.86277,6.87259,6.85199,6.85387,86851.39980000004
19.07.2020,TRY,Week,6.8538,6.86082,6.81738,6.84154,106970.8004
26.07.2020,TRY,Week,6.8437,7.00815,6.84072,6.97366,265800.3202999999
02.08.2020,TRY,Week,6.96559,7.36657,6.88662,7.27092,253852.71540000004
09.08.2020,TRY,Week,7.2911,7.42447,7.19679,7.35815,142304.2102000001
16.08.2020,TRY,Week,7.36189,7.39957,7.19677,7.33623,136071.26419999998
23.08.2020,TRY,Week,7.33304,7.40591,7.29747,7.32377,133497.56579999998
30.08.2020,TRY,Week,7.34138,7.45847,7.32264,7.43788,106859.02090000002
06.09.2020,TRY,Week,7.44373,7.49844,7.41376,7.47142,74614.36990000002
13.09.2020,TRY,Week,7.48199,7.57838,7.46285,7.57105,114761.9398
20.09.2020,TRY,Week,7.55691,7.71705,7.50879,7.66557,134355.4546
27.09.2020,TRY,Week,7.66528,7.85613,7.63158,7.77099,132523.65540000008
04.10.2020,TRY,Week,7.73923,7.95524,7.72092,7.84817,155291.50509999998
11.10.2020,TRY,Week,7.8768,7.95824,7.85208,7.92937,136225.6695
18.10.2020,TRY,Week,7.91964,7.97882,7.77928,7.9588,172885.92010000005
25.10.2020,TRY,Week,7.96079,8.3834,7.96073,8.37174,180958.9279000001
01.11.2020,TRY,Week,8.37195,8.58109,8.34676,8.52977,115224.86710000002
08.11.2020,TRY,Week,8.37609,8.44525,7.60217,7.67035,160849.3164
15.11.2020,TRY,Week,7.63819,7.79734,7.49862,7.62319,126249.84829999998
22.11.2020,TRY,Week,7.66029,8.04904,7.65916,7.81179,104852.9
29.11.2020,TRY,Week,7.85547,7.91604,7.74087,7.79876,83048.97209999997
06.12.2020,TRY,Week,7.81618,8.02616,7.79013,7.85611,62941.3375
13.12.2020,TRY,Week,7.85182,7.93552,7.60877,7.62307,82893.81950000004
20.12.2020,TRY,Week,7.66573,7.73368,7.54557,7.58843,51417.467500000006
27.12.2020,TRY,Week,7.5679,7.5679,7.30717,7.43449,62571.024699999965
03.01.2021,TRY,Week,7.41833,7.4306,7.23944,7.36805,81378.79509999997
10.01.2021,TRY,Week,7.38358,7.52089,7.35048,7.4477,114591.49950000003
17.01.2021,TRY,Week,7.46562,7.54149,7.34743,7.41742,105387.41600000004
24.01.2021,TRY,Week,7.41565,7.43275,7.27663,7.30888,131739.84479999993
31.01.2021,TRY,Week,7.31029,7.3103,7.02811,7.04762,151182.88080000004
07.02.2021,TRY,Week,7.04985,7.13868,7.00712,7.03116,126617.48000000004
14.02.2021,TRY,Week,7.02786,7.05709,6.89548,6.95038,134364.9051
21.02.2021,TRY,Week,6.97738,7.48353,6.96077,7.41899,179396.27210000003
28.02.2021,TRY,Week,7.4086,7.57798,7.21931,7.53126,114548.0773
07.03.2021,TRY,Week,7.51188,7.78202,7.42642,7.55918,108388.70029999994
14.03.2021,TRY,Week,7.56892,7.63776,7.18973,7.21001,110482.1407
21.03.2021,TRY,Week,8.30793,8.44946,7.6973,8.11964,85727.19989999999
28.03.2021,TRY,Week,8.08268,8.44987,7.98736,8.14637,120018.73039999996
04.04.2021,TRY,Week,8.2168,8.23938,8.0968,8.15628,91934.75510000002
11.04.2021,TRY,Week,8.17794,8.22467,7.99857,8.05884,59622.52500000003
18.04.2021,TRY,Week,8.07295,8.39715,8.03614,8.38297,66752.05000000002
25.04.2021,TRY,Week,8.42078,8.48494,8.1291,8.27774,76892.06840000002
02.05.2021,TRY,Week,8.29446,8.36904,8.22293,8.24331,62591.80510000002
09.05.2021,TRY,Week,8.23998,8.50933,8.2277,8.45531,60210.29639999998
16.05.2021,TRY,Week,8.44329,8.44405,8.30486,8.41147,89551.87509999999
23.05.2021,TRY,Week,8.41997,8.61282,8.36726,8.56082,147431.44130000003
30.05.2021,TRY,Week,8.57009,8.78178,8.46528,8.65615,181365.05010000005
06.06.2021,TRY,Week,8.65438,8.68739,8.28418,8.39241,142078.91990000004
