Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,CZK,Day,22.3745,22.5575,22.3565,22.5497,52896.08970000001
2019-07-01,CZK,Day,22.5371,22.5625,22.4592,22.5445,45727.77989999999
2019-07-02,CZK,Day,22.5429,22.5775,22.4925,22.5485,47780.7898
2019-07-03,CZK,Day,22.5485,22.5775,22.521,22.5615,20219.24
2019-07-04,CZK,Day,22.5645,22.7575,22.5454,22.7027,49815.61049999998
2019-07-07,CZK,Day,22.6996,22.7789,22.6825,22.7545,40820.94070000001
2019-07-08,CZK,Day,22.7504,22.8155,22.7332,22.8015,37609.900400000006
2019-07-09,CZK,Day,22.8007,22.8095,22.7095,22.7319,52909.8999
2019-07-10,CZK,Day,22.7296,22.7676,22.677,22.7414,52303.7306
2019-07-11,CZK,Day,22.7408,22.7675,22.6934,22.6938,43019.75999999999
2019-07-14,CZK,Day,22.6896,22.7475,22.6785,22.7205,43764.50949999999
2019-07-15,CZK,Day,22.7185,22.8372,22.7082,22.8139,44119.5702
2019-07-16,CZK,Day,22.8125,22.8557,22.796,22.8185,39392.5102
2019-07-17,CZK,Day,22.8126,22.8319,22.6356,22.6415,49152.809400000006
2019-07-18,CZK,Day,22.638,22.7814,22.6325,22.7409,64847.5196
2019-07-21,CZK,Day,22.7573,22.7886,22.7407,22.7801,55480.98969999999
2019-07-22,CZK,Day,22.7791,22.9249,22.7732,22.9074,40008.500100000005
2019-07-23,CZK,Day,22.903,22.958,22.8727,22.8833,55862.31970000001
2019-07-24,CZK,Day,22.881,22.9824,22.85,22.9024,76524.54979999998
2019-07-25,CZK,Day,22.9027,23.0062,22.8874,22.9742,48260.68039999999
2019-07-28,CZK,Day,22.9636,23.0456,22.94,23.0118,46985.80990000001
2019-07-29,CZK,Day,23.0079,23.0475,22.9817,22.9974,41929.7802
2019-07-30,CZK,Day,22.9963,23.2392,22.9844,23.1794,70059.6902
2019-07-31,CZK,Day,23.1867,23.35,23.174,23.2654,115155.56909999998
2019-08-01,CZK,Day,23.2632,23.2937,23.1652,23.1668,110976.40950000002
2019-08-04,CZK,Day,23.1614,23.1834,23.0015,23.0275,104788.56029999998
2019-08-05,CZK,Day,23.0275,23.0615,22.9445,22.9755,77170.30000000002
2019-08-06,CZK,Day,22.9785,23.0201,22.9065,22.9965,86503.4184
2019-08-07,CZK,Day,22.9956,23.0709,22.9576,23.0693,67742.92020000001
2019-08-08,CZK,Day,23.0689,23.0818,23.0185,23.0741,54482.5105
2019-08-11,CZK,Day,23.0498,23.154,23.002,23.0363,62223.13959999999
2019-08-12,CZK,Day,23.0363,23.1225,23.0025,23.1215,85390.1794
2019-08-13,CZK,Day,23.1202,23.2546,23.0925,23.2256,72661.93059999999
2019-08-14,CZK,Day,23.2106,23.3035,23.1885,23.2566,93632.8502
2019-08-15,CZK,Day,23.2565,23.3075,23.1645,23.2072,64674.8803
