Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,MXN,Day,19.14411,19.2061,19.03637,19.11811,113457.9001
2019-07-01,MXN,Day,19.11965,19.12004,19.04637,19.04707,112741.3801
2019-07-02,MXN,Day,19.04717,19.08545,19.00208,19.00957,92720.219
2019-07-03,MXN,Day,19.00957,19.02105,18.96621,18.98965,38636.9898
2019-07-04,MXN,Day,18.99758,19.07821,18.96071,19.00671,100166.7684
2019-07-07,MXN,Day,19.01154,19.02585,18.86271,18.90907,107474.8695
2019-07-08,MXN,Day,18.90907,19.36218,18.87871,19.15057,121500.569
2019-07-09,MXN,Day,19.15107,19.31151,19.12717,19.13015,123600.64960000002
2019-07-10,MXN,Day,19.12771,19.16941,19.06671,19.06707,88972.95969999999
2019-07-11,MXN,Day,19.06353,19.12291,18.97274,18.98271,160750.41059999997
2019-07-14,MXN,Day,18.98264,18.99834,18.91943,18.97005,134746.5309
2019-07-15,MXN,Day,18.97175,19.11631,18.95294,19.09103,96379.7103
2019-07-16,MXN,Day,19.09103,19.12284,18.99351,19.06203,87207.38040000001
2019-07-17,MXN,Day,19.05437,19.11705,18.93915,18.93997,90259.71
2019-07-18,MXN,Day,18.93937,19.04714,18.92086,19.01903,94200.5204
2019-07-21,MXN,Day,19.01904,19.08477,19.00269,19.05106,74090.1503
2019-07-22,MXN,Day,19.05007,19.18951,19.03921,19.16806,83644.52049999998
2019-07-23,MXN,Day,19.16645,19.19055,19.05157,19.05503,71841.28089999998
2019-07-24,MXN,Day,19.05907,19.12504,18.96024,19.01637,108432.27060000002
2019-07-25,MXN,Day,19.01651,19.10527,18.98704,19.0344,93579.6496
2019-07-28,MXN,Day,19.03224,19.12661,19.00563,19.05883,70921.53970000001
2019-07-29,MXN,Day,19.05512,19.09047,19.01617,19.05777,95360.7998
2019-07-30,MXN,Day,19.05797,19.18621,18.94818,19.15111,130377.4493
2019-07-31,MXN,Day,19.14384,19.2786,19.11324,19.23604,134975.0719
2019-08-01,MXN,Day,19.22447,19.37324,19.19354,19.30094,139387.7996
2019-08-04,MXN,Day,19.29207,19.6712,19.28233,19.60777,141324.32909999994
2019-08-05,MXN,Day,19.60875,19.73647,19.53111,19.57112,136593.0392
2019-08-06,MXN,Day,19.57007,19.73634,19.52969,19.62246,133121.94049999997
2019-08-07,MXN,Day,19.62085,19.65487,19.40153,19.40503,104962.7397
2019-08-08,MXN,Day,19.40303,19.49104,19.3766,19.40074,80927.0506
2019-08-11,MXN,Day,19.39934,19.77411,19.38291,19.60083,105212.7717
2019-08-12,MXN,Day,19.60127,19.67686,19.35147,19.36995,109521.05040000002
2019-08-13,MXN,Day,19.37407,19.74969,19.36144,19.66904,126284.56
2019-08-14,MXN,Day,19.68503,19.76708,19.57722,19.60403,152902.39950000003
2019-08-15,MXN,Day,19.59735,19.68329,19.52003,19.65386,115460.8696
2019-08-18,MXN,Day,19.66514,19.89206,19.60454,19.85904,118213.5192
2019-08-19,MXN,Day,19.85903,19.88641,19.72031,19.75865,132767.1993
2019-08-20,MXN,Day,19.76116,19.77103,19.63666,19.68169,107097.9798
2019-08-21,MXN,Day,19.68705,19.84646,19.66003,19.81552,120446.6708
2019-08-22,MXN,Day,19.80154,19.93777,19.75639,19.91318,138859.3309
2019-08-25,MXN,Day,19.95925,20.12103,19.80863,19.92903,168742.4587
2019-08-26,MXN,Day,19.92218,20.08287,19.87701,19.98537,142177.2393
2019-08-27,MXN,Day,19.98504,20.12507,19.94674,20.07854,128456.7886
2019-08-28,MXN,Day,20.10214,20.25471,20.04591,20.13224,138430.61049999998
2019-08-29,MXN,Day,20.13729,20.19497,20.00821,20.04623,122824.39949999998
2019-09-01,MXN,Day,20.09103,20.15033,20.03236,20.14573,56530.64950000001
