Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,NOK,Day,8.51407,8.5896,8.50712,8.57652,156606.50999999998
2019-07-01,NOK,Day,8.57672,8.58887,8.54331,8.56374,137987.7683
2019-07-02,NOK,Day,8.56374,8.59543,8.53096,8.53244,129964.51020000002
2019-07-03,NOK,Day,8.53244,8.54756,8.51951,8.52775,64928.95989999999
2019-07-04,NOK,Day,8.52745,8.63847,8.52456,8.61102,133545.5986
2019-07-07,NOK,Day,8.61542,8.64567,8.59973,8.63952,108277.4101
2019-07-08,NOK,Day,8.64022,8.6759,8.63302,8.64962,95547.6396
2019-07-09,NOK,Day,8.64863,8.66397,8.56985,8.58012,135716.38039999997
2019-07-10,NOK,Day,8.57885,8.58202,8.53087,8.53773,130818.1506
2019-07-11,NOK,Day,8.53771,8.55864,8.51894,8.52634,119054.52999999998
2019-07-14,NOK,Day,8.52902,8.55023,8.5225,8.53879,101502.4205
2019-07-15,NOK,Day,8.53849,8.58189,8.53542,8.57073,129051.4595
2019-07-16,NOK,Day,8.57082,8.59302,8.56398,8.58672,92865.1396
2019-07-17,NOK,Day,8.58672,8.60931,8.52594,8.53437,125879.63969999996
2019-07-18,NOK,Day,8.53458,8.58511,8.52532,8.56902,119838.9601
2019-07-21,NOK,Day,8.57116,8.61487,8.56711,8.60522,93454.8703
2019-07-22,NOK,Day,8.60562,8.69522,8.60088,8.67495,98212.3412
2019-07-23,NOK,Day,8.67495,8.69542,8.62277,8.64112,98190.20089999998
2019-07-24,NOK,Day,8.64112,8.6848,8.62844,8.67282,127189.9697
2019-07-25,NOK,Day,8.67282,8.73112,8.67216,8.70852,94689.1909
2019-07-28,NOK,Day,8.70412,8.72866,8.67582,8.69262,83673.3904
2019-07-29,NOK,Day,8.69222,8.76682,8.6895,8.74862,107456.3906
2019-07-30,NOK,Day,8.74723,8.88456,8.74342,8.84888,137750.13079999998
2019-07-31,NOK,Day,8.84742,8.90248,8.84292,8.88545,171467.64990000002
2019-08-01,NOK,Day,8.88992,8.95591,8.87402,8.90815,187347.6906
2019-08-04,NOK,Day,8.91274,8.95102,8.89132,8.92403,210177.5616
2019-08-05,NOK,Day,8.92331,8.92821,8.89027,8.90543,210178.7508
2019-08-06,NOK,Day,8.90383,8.98537,8.88802,8.94543,238945.0803
2019-08-07,NOK,Day,8.94567,8.95942,8.90584,8.92342,175208.32880000002
2019-08-08,NOK,Day,8.92382,8.93079,8.84922,8.87022,158973.591
2019-08-11,NOK,Day,8.86061,8.95167,8.85752,8.91383,181153.1117
2019-08-12,NOK,Day,8.91302,8.93618,8.86512,8.86849,207582.4596
2019-08-13,NOK,Day,8.86868,8.98998,8.86342,8.97943,198935.22889999996
2019-08-14,NOK,Day,8.97882,9.03681,8.92546,9.01131,263812.0993
2019-08-15,NOK,Day,9.01131,9.04379,8.98512,8.99312,207154.6511
2019-08-18,NOK,Day,8.97697,9.01565,8.95918,8.97794,122117.9103
2019-08-19,NOK,Day,8.9762,9.02208,8.96782,8.97982,129027.6602
2019-08-20,NOK,Day,8.97982,8.99892,8.93401,8.94262,131130.4715
2019-08-21,NOK,Day,8.94252,9.00003,8.93515,8.9753,153640.1115
2019-08-22,NOK,Day,8.9753,9.01416,8.93136,8.94432,186616.0516
2019-08-25,NOK,Day,8.96108,9.00648,8.95892,8.99553,239165.938
2019-08-26,NOK,Day,8.99553,9.0301,8.98436,9.00621,175347.1206
2019-08-27,NOK,Day,9.00458,9.04801,8.99905,9.04095,146394.0397
2019-08-28,NOK,Day,9.04095,9.10846,9.03452,9.09432,165975.1796
2019-08-29,NOK,Day,9.09432,9.13024,9.07938,9.10914,155380.6601
2019-09-01,NOK,Day,9.10569,9.12932,9.09422,9.09637,103614.3405
2019-09-02,NOK,Day,9.09528,9.1644,9.09132,9.09932,165000.738
2019-09-03,NOK,Day,9.09912,9.1058,9.027,9.03014,198353.7509
2019-09-04,NOK,Day,9.02852,9.03591,8.96272,9.00572,183126.3085
2019-09-05,NOK,Day,9.00592,9.02274,8.96141,8.97073,181828.20950000003
2019-09-08,NOK,Day,8.97744,8.98792,8.91217,8.92232,143162.4901
2019-09-09,NOK,Day,8.92232,8.98705,8.91403,8.94974,155296.25039999996
2019-09-10,NOK,Day,8.94952,8.98407,8.93663,8.95433,145567.9094
2019-09-11,NOK,Day,8.95433,9.01085,8.91453,8.9669,195080.1911
2019-09-12,NOK,Day,8.96572,8.98834,8.93682,8.97645,162759.7307
2019-09-15,NOK,Day,8.91802,8.98967,8.91653,8.95785,219394.2388
2019-09-16,NOK,Day,8.95713,8.98269,8.91202,8.92069,158316.2198
2019-09-17,NOK,Day,8.91946,8.97956,8.91612,8.9443,168146.24100000004
2019-09-18,NOK,Day,8.9443,8.98433,8.87903,8.97772,166387.8499
2019-09-19,NOK,Day,8.97802,9.06988,8.96367,9.06129,148781.41090000002
2019-09-22,NOK,Day,9.06282,9.11653,9.04127,9.04362,157634.44019999998
2019-09-23,NOK,Day,9.04343,9.05074,8.98661,9.00458,130523.361
2019-09-24,NOK,Day,9.00458,9.05778,9.00112,9.05209,120884.311
2019-09-25,NOK,Day,9.05209,9.09056,9.03876,9.07632,115239.27000000002
2019-09-26,NOK,Day,9.07632,9.10169,9.06262,9.06633,138899.4087
2019-09-29,NOK,Day,9.07144,9.09976,9.06058,9.09143,203880.9001
2019-09-30,NOK,Day,9.09133,9.14838,9.08319,9.11927,213298.56000000003
2019-10-01,NOK,Day,9.11927,9.16118,9.10679,9.12878,192150.5502
2019-10-02,NOK,Day,9.12878,9.15384,9.10536,9.11795,168779.3089
2019-10-03,NOK,Day,9.11897,9.12742,9.08284,9.08772,135372.5016
2019-10-06,NOK,Day,9.08865,9.14359,9.08592,9.13625,132600.13999999998
2019-10-07,NOK,Day,9.13598,9.17946,9.12173,9.16062,136170.4893
2019-10-08,NOK,Day,9.16042,9.17902,9.14794,9.16922,125318.361
2019-10-09,NOK,Day,9.16864,9.18098,9.10712,9.12332,165874.40100000004
2019-10-10,NOK,Day,9.122,9.12543,9.05002,9.07372,174753.8215
2019-10-13,NOK,Day,9.07452,9.12442,9.07072,9.10379,103617.6504
2019-10-14,NOK,Day,9.10378,9.16862,9.09572,9.1163,147044.9096
2019-10-15,NOK,Day,9.10552,9.20522,9.10552,9.17531,173990.48930000002
2019-10-16,NOK,Day,9.17503,9.21018,9.13892,9.18351,157255.07069999998
2019-10-17,NOK,Day,9.18371,9.19655,9.14693,9.15093,120711.51
2019-10-20,NOK,Day,9.15027,9.1736,9.08997,9.13522,146929.56169999996
2019-10-21,NOK,Day,9.13552,9.16344,9.11719,9.14513,131083.56940000004
2019-10-22,NOK,Day,9.14482,9.19359,9.11512,9.12095,127103.2607
2019-10-23,NOK,Day,9.12035,9.14842,9.08368,9.13522,148920.93060000002
2019-10-24,NOK,Day,9.13515,9.20204,9.12686,9.19193,105062.1295
2019-10-27,NOK,Day,9.18952,9.22461,9.17812,9.21975,109184.2907
2019-10-28,NOK,Day,9.21975,9.30575,9.21142,9.22542,122783.4211
2019-10-29,NOK,Day,9.22522,9.26039,9.17884,9.17992,141230.21080000003
2019-10-30,NOK,Day,9.17992,9.2223,9.15722,9.18942,152944.1513
2019-10-31,NOK,Day,9.18893,9.19667,9.07722,9.08052,123558.41040000002
2019-11-03,NOK,Day,9.08222,9.14657,9.07474,9.14212,112955.1302
2019-11-04,NOK,Day,9.14132,9.20046,9.10332,9.17002,142252.1193
2019-11-05,NOK,Day,9.17012,9.20346,9.12772,9.16952,114870.22980000004
2019-11-06,NOK,Day,9.16952,9.18572,9.07862,9.10794,148857.39879999997
2019-11-07,NOK,Day,9.10712,9.16532,9.09652,9.12073,112065.88869999998
2019-11-10,NOK,Day,9.12692,9.16583,9.12512,9.12742,91174.04100000004
2019-11-11,NOK,Day,9.12734,9.16883,9.12322,9.16282,106117.741
2019-11-12,NOK,Day,9.16273,9.22636,9.15672,9.1776,117357.3002
2019-11-13,NOK,Day,9.17716,9.21523,9.15843,9.15843,113688.7795
2019-11-14,NOK,Day,9.15852,9.16676,9.06632,9.08199,93630.62
2019-11-17,NOK,Day,9.08212,9.13367,9.06226,9.11332,99246.8603
2019-11-18,NOK,Day,9.11353,9.13603,9.09382,9.12071,89096.55009999998
2019-11-19,NOK,Day,9.12071,9.21227,9.104,9.13007,118022.6792
2019-11-20,NOK,Day,9.13007,9.15872,9.09794,9.14378,102032.09
2019-11-21,NOK,Day,9.14339,9.17079,9.10921,9.15332,108211.25010000002
2019-11-24,NOK,Day,9.15772,9.19907,9.12703,9.17268,96338.2305
2019-11-25,NOK,Day,9.17268,9.18592,9.14948,9.16658,94528.7902
2019-11-26,NOK,Day,9.16532,9.19232,9.15481,9.15608,94641.6312
2019-11-27,NOK,Day,9.15643,9.19333,9.14358,9.16512,65825.6097
2019-11-28,NOK,Day,9.16572,9.22185,9.16151,9.20384,97285.3204
2019-12-01,NOK,Day,9.18972,9.21866,9.14698,9.16074,114753.3011
2019-12-02,NOK,Day,9.16074,9.19375,9.13432,9.17932,116014.25060000004
2019-12-03,NOK,Day,9.17892,9.21576,9.14964,9.16942,112510.3004
2019-12-04,NOK,Day,9.16962,9.17605,9.12771,9.13092,87498.5592
2019-12-05,NOK,Day,9.13087,9.15762,9.11572,9.12093,96763.4697
2019-12-08,NOK,Day,9.12323,9.15204,9.12322,9.14292,77082.09030000001
2019-12-09,NOK,Day,9.14072,9.20032,9.13646,9.17212,117646.1112
2019-12-10,NOK,Day,9.17162,9.18322,9.1042,9.11152,170014.22029999996
2019-12-11,NOK,Day,9.11035,9.11162,9.0704,9.07273,149055.7801
2019-12-12,NOK,Day,9.06293,9.06596,8.99412,9.01946,173180.89999999997
2019-12-15,NOK,Day,9.01812,9.03257,8.97932,9.00632,104711.1108
2019-12-16,NOK,Day,9.00672,9.05622,8.99462,9.0146,114536.6904
2019-12-17,NOK,Day,9.01572,9.04013,9.00015,9.00392,120065.1399
2019-12-18,NOK,Day,9.0028,9.01042,8.94502,8.96599,128026.0398
2019-12-19,NOK,Day,8.96303,8.98393,8.94698,8.96293,126947.1891
2019-12-22,NOK,Day,8.96192,8.98474,8.93686,8.9529,198744.1223
2019-12-23,NOK,Day,8.95037,8.96749,8.90363,8.90573,138913.7008
2019-12-24,NOK,Day,8.89873,8.91872,8.89852,8.91064,5090.0
2019-12-25,NOK,Day,8.90214,8.91599,8.86763,8.87602,58225.13060000001
2019-12-26,NOK,Day,8.8752,8.89397,8.80508,8.80508,219509.1881
2019-12-29,NOK,Day,8.81181,8.82552,8.77385,8.80959,182199.1687
2019-12-30,NOK,Day,8.80959,8.81782,8.76202,8.77174,200566.4195
2020-01-01,NOK,Day,8.77078,8.81331,8.75391,8.7928,172006.67000000004
2020-01-02,NOK,Day,8.79342,8.85516,8.78985,8.82732,183434.6107
2020-01-05,NOK,Day,8.82192,8.85421,8.78468,8.79106,157470.6306
2020-01-06,NOK,Day,8.79058,8.87493,8.77371,8.84167,158457.79859999998
2020-01-07,NOK,Day,8.84273,8.88005,8.83188,8.86152,225102.56079999995
2020-01-08,NOK,Day,8.86082,8.90324,8.85246,8.8801,134598.93039999998
2020-01-09,NOK,Day,8.87806,8.91247,8.87076,8.87693,131206.0792
2020-01-12,NOK,Day,8.87137,8.91752,8.86213,8.89544,116015.24859999998
2020-01-13,NOK,Day,8.89582,8.90506,8.86445,8.86992,125900.65939999996
2020-01-14,NOK,Day,8.86992,8.89659,8.84979,8.86032,117791.20879999998
2020-01-15,NOK,Day,8.86032,8.89313,8.84513,8.88388,134443.97989999998
2020-01-16,NOK,Day,8.88312,8.92,8.88063,8.90252,134281.4589
2020-01-19,NOK,Day,8.89872,8.93856,8.89144,8.92392,78939.9504
2020-01-20,NOK,Day,8.92392,8.995,8.91842,8.99243,122785.5804
2020-01-21,NOK,Day,8.99222,9.00023,8.96173,8.97951,119492.4086
2020-01-22,NOK,Day,8.97918,9.02528,8.96192,8.99212,148504.1391
2020-01-23,NOK,Day,8.99212,9.05437,8.97352,9.03797,136312.61000000002
2020-01-26,NOK,Day,9.04962,9.15239,9.03824,9.14229,148106.411
2020-01-27,NOK,Day,9.14124,9.18366,9.11032,9.11072,119515.8994
2020-01-28,NOK,Day,9.11052,9.18265,9.10829,9.15783,112477.3997
2020-01-29,NOK,Day,9.15779,9.23255,9.13794,9.17851,128072.4395
2020-01-30,NOK,Day,9.17312,9.24503,9.16492,9.19311,143444.43099999998
2020-02-02,NOK,Day,9.19049,9.28932,9.18064,9.27653,142278.82949999996
2020-02-03,NOK,Day,9.26782,9.28524,9.20038,9.20857,107662.1896
2020-02-04,NOK,Day,9.20844,9.24963,9.17442,9.20851,114073.9794
2020-02-05,NOK,Day,9.20851,9.2552,9.18068,9.21435,108704.2907
2020-02-06,NOK,Day,9.21303,9.30438,9.21177,9.28972,120324.70879999998
2020-02-09,NOK,Day,9.29458,9.30454,9.22976,9.28529,96086.6009
2020-02-10,NOK,Day,9.28529,9.29298,9.23177,9.24794,89583.47039999999
2020-02-11,NOK,Day,9.24794,9.24794,9.19732,9.22378,81755.5799
2020-02-12,NOK,Day,9.22324,9.27694,9.2212,9.24362,92398.7907
2020-02-13,NOK,Day,9.24226,9.27094,9.22449,9.23692,81400.89959999998
2020-02-16,NOK,Day,9.22909,9.26826,9.22692,9.24791,66554.8303
2020-02-17,NOK,Day,9.24791,9.33848,9.23806,9.32411,106071.31049999998
2020-02-18,NOK,Day,9.32411,9.33387,9.264,9.26636,87855.75020000001
2020-02-19,NOK,Day,9.26636,9.33604,9.25971,9.31471,92421.6904
2020-02-20,NOK,Day,9.31046,9.36531,9.26332,9.26671,114169.2197
2020-02-23,NOK,Day,9.34211,9.39019,9.31422,9.35371,137531.82950000002
2020-02-24,NOK,Day,9.35395,9.4032,9.32572,9.35764,150511.1003
2020-02-25,NOK,Day,9.35764,9.40669,9.35212,9.39236,161625.6501
2020-02-26,NOK,Day,9.39236,9.41214,9.36674,9.38681,191585.3697
2020-02-27,NOK,Day,9.38681,9.49505,9.37491,9.38616,277708.4611
2020-03-01,NOK,Day,9.43218,9.43891,9.28618,9.28991,282827.6705
2020-03-02,NOK,Day,9.28991,9.33194,9.17847,9.26578,250622.7302
2020-03-03,NOK,Day,9.26037,9.29324,9.23137,9.25155,187746.379
2020-03-04,NOK,Day,9.25085,9.30782,9.23957,9.277,203341.3793
2020-03-05,NOK,Day,9.27546,9.33212,9.22119,9.2435,290945.28670000006
2020-03-08,NOK,Day,9.36575,9.68819,9.35758,9.56626,355999.4806
2020-03-09,NOK,Day,9.57814,9.63556,9.45659,9.58949,418068.3211
2020-03-10,NOK,Day,9.60889,9.70851,9.54268,9.68452,396143.5801
2020-03-11,NOK,Day,9.69184,10.27188,9.68003,10.15013,287514.66040000005
2020-03-12,NOK,Day,10.1482,10.23969,9.87948,9.98295,270983.3894
2020-03-15,NOK,Day,10.11851,10.39917,9.9921,10.27086,384243.7921999999
2020-03-16,NOK,Day,10.27179,10.58475,10.15818,10.46869,381024.0948
2020-03-17,NOK,Day,10.47399,11.53568,10.43859,11.27101,364975.1499
2020-03-18,NOK,Day,11.25912,12.1228,11.16298,11.20341,197305.1111
2020-03-19,NOK,Day,11.26123,11.90686,10.79396,11.81246,237167.1518
2020-03-22,NOK,Day,11.88354,11.91693,11.1851,11.56104,333072.1131
2020-03-23,NOK,Day,11.55959,11.60539,10.85559,11.04901,327272.1946
2020-03-24,NOK,Day,11.03721,11.09822,10.66938,10.73795,361123.6211
2020-03-25,NOK,Day,10.71975,10.82009,10.39527,10.40087,336746.59130000003
2020-03-26,NOK,Day,10.39931,10.72602,10.39163,10.45598,361380.9637
2020-03-29,NOK,Day,10.40052,10.66684,10.33675,10.52737,413868.9884
2020-03-30,NOK,Day,10.51635,10.58595,10.30581,10.36649,402034.5574
2020-03-31,NOK,Day,10.3861,10.52446,10.26552,10.44323,476571.5015
2020-04-01,NOK,Day,10.44122,10.48656,10.22043,10.37232,429869.13100000005
2020-04-02,NOK,Day,10.36902,10.64203,10.36852,10.56474,460495.867
2020-04-05,NOK,Day,10.5629,10.59131,10.40235,10.42283,430684.52330000006
2020-04-06,NOK,Day,10.41908,10.4554,10.12402,10.27222,380767.06969999993
2020-04-07,NOK,Day,10.26356,10.37479,10.23229,10.26492,391259.0205
2020-04-08,NOK,Day,10.24452,10.33734,10.13058,10.22261,412689.501
2020-04-09,NOK,Day,10.21884,10.26045,10.1363,10.16884,97328.5003
2020-04-12,NOK,Day,10.18276,10.33881,10.16019,10.30953,340433.5591
2020-04-13,NOK,Day,10.30403,10.34292,10.2018,10.29882,338903.1809999999
2020-04-14,NOK,Day,10.2935,10.57882,10.28282,10.50267,372789.3044
2020-04-15,NOK,Day,10.50267,10.58393,10.41422,10.44813,349288.85650000005
2020-04-16,NOK,Day,10.44752,10.52278,10.30707,10.3168,315991.9285
2020-04-19,NOK,Day,10.27924,10.47757,10.26757,10.45272,355344.36159999995
2020-04-20,NOK,Day,10.44383,10.68926,10.40502,10.63775,377247.3297
2020-04-21,NOK,Day,10.63312,10.80147,10.55342,10.76002,355465.03199999995
2020-04-22,NOK,Day,10.76488,10.8043,10.53141,10.63205,290776.17900000006
2020-04-23,NOK,Day,10.63205,10.71782,10.59313,10.61234,271467.1102
2020-04-26,NOK,Day,10.61529,10.64861,10.50254,10.50566,232109.0017
2020-04-27,NOK,Day,10.50566,10.55404,10.34526,10.40331,294055.4913000001
2020-04-28,NOK,Day,10.40331,10.4226,10.30154,10.31104,265270.297
2020-04-29,NOK,Day,10.30712,10.36087,10.20337,10.24085,322879.93
2020-04-30,NOK,Day,10.21412,10.3561,10.21072,10.33525,276195.7763
2020-05-03,NOK,Day,10.30962,10.47349,10.30436,10.32005,271441.1817
2020-05-04,NOK,Day,10.31902,10.35178,10.22292,10.26078,263624.33340000006
2020-05-05,NOK,Day,10.25085,10.31788,10.23614,10.28301,243637.6027
2020-05-06,NOK,Day,10.26309,10.3527,10.20434,10.24029,216289.02029999995
2020-05-07,NOK,Day,10.23562,10.25848,10.17467,10.19959,165999.2792
2020-05-10,NOK,Day,10.18677,10.3072,10.16011,10.29295,158670.73000000004
2020-05-11,NOK,Day,10.295,10.36257,10.09237,10.16398,192013.7107
2020-05-12,NOK,Day,10.15162,10.19859,10.03431,10.15665,200272.5012
2020-05-13,NOK,Day,10.15942,10.27294,10.14612,10.14894,206831.1703
2020-05-14,NOK,Day,10.14673,10.27079,10.13223,10.22407,222623.62960000004
2020-05-17,NOK,Day,10.18852,10.24085,10.01516,10.02454,228007.3811
2020-05-18,NOK,Day,9.99817,10.07035,9.91192,9.97189,258566.40740000003
2020-05-19,NOK,Day,9.97242,10.02011,9.88619,9.89969,197786.1896
2020-05-20,NOK,Day,9.89963,9.98497,9.87808,9.93657,205491.42930000005
2020-05-21,NOK,Day,9.93302,10.09928,9.9254,9.98519,160241.5103
2020-05-24,NOK,Day,10.00033,10.06371,9.98817,10.05387,109440.59070000002
2020-05-25,NOK,Day,10.05379,10.06202,9.85895,9.88283,157216.4811
2020-05-26,NOK,Day,9.8827,9.94562,9.80073,9.85498,238572.3503
2020-05-27,NOK,Day,9.85823,9.91,9.73934,9.77062,193954.5598
2020-05-28,NOK,Day,9.76996,9.79262,9.66113,9.69946,253566.7982
2020-05-31,NOK,Day,9.70363,9.7613,9.60602,9.60602,204503.5488
2020-06-01,NOK,Day,9.60602,9.64582,9.51685,9.54265,196783.8086
2020-06-02,NOK,Day,9.54265,9.57112,9.42299,9.45254,239059.68040000004
2020-06-03,NOK,Day,9.45254,9.51405,9.31092,9.35105,211271.8708000001
2020-06-04,NOK,Day,9.35019,9.37441,9.2589,9.29186,243965.0916
2020-06-07,NOK,Day,9.27665,9.30988,9.23847,9.25813,211001.20779999995
2020-06-08,NOK,Day,9.25892,9.42263,9.21646,9.27102,238749.5592
