Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,SEK,Day,9.27913,9.3716,9.27223,9.35413,147094.9714
2019-07-01,SEK,Day,9.35443,9.36143,9.31516,9.32854,128206.6006
2019-07-02,SEK,Day,9.32922,9.36514,9.28563,9.30556,132071.7102
2019-07-03,SEK,Day,9.30553,9.33512,9.29695,9.32138,72316.23939999999
2019-07-04,SEK,Day,9.32138,9.46273,9.31773,9.42613,123202.84070000002
2019-07-07,SEK,Day,9.43166,9.46561,9.42072,9.45747,99862.35940000002
2019-07-08,SEK,Day,9.45747,9.49914,9.45433,9.47045,101310.0906
2019-07-09,SEK,Day,9.47053,9.47925,9.40645,9.41781,144741.55070000002
2019-07-10,SEK,Day,9.41743,9.42487,9.36999,9.37953,137106.8901
2019-07-11,SEK,Day,9.37933,9.39093,9.35303,9.35303,119182.531
2019-07-14,SEK,Day,9.36514,9.37746,9.35014,9.35036,123800.3092
2019-07-15,SEK,Day,9.35036,9.40271,9.34523,9.38561,121099.5113
2019-07-16,SEK,Day,9.38555,9.40513,9.35286,9.36546,101719.49
2019-07-17,SEK,Day,9.36493,9.37538,9.30013,9.30077,121341.3698
2019-07-18,SEK,Day,9.3001,9.39738,9.30007,9.37529,85045.19009999999
2019-07-21,SEK,Day,9.37593,9.41473,9.37469,9.40782,75548.05040000001
2019-07-22,SEK,Day,9.40775,9.47653,9.40532,9.45783,90117.90010000004
2019-07-23,SEK,Day,9.45783,9.48704,9.41542,9.42393,88732.93939999999
2019-07-24,SEK,Day,9.42393,9.46294,9.41573,9.44972,119808.21869999998
2019-07-25,SEK,Day,9.44972,9.51148,9.4422,9.49433,89633.99040000001
2019-07-28,SEK,Day,9.49283,9.51815,9.48001,9.48283,76950.13979999999
2019-07-29,SEK,Day,9.48283,9.57334,9.47943,9.56016,86199.52919999999
2019-07-30,SEK,Day,9.55163,9.67682,9.54923,9.65043,113262.85929999998
2019-07-31,SEK,Day,9.65143,9.69996,9.63492,9.64513,156483.9082
2019-08-01,SEK,Day,9.64023,9.67284,9.62718,9.62718,145920.85170000003
2019-08-04,SEK,Day,9.63033,9.65072,9.57914,9.59486,182172.6994
2019-08-05,SEK,Day,9.59753,9.60654,9.56643,9.58338,200663.6097
2019-08-06,SEK,Day,9.58193,9.64498,9.55422,9.6364,262219.8311
2019-08-07,SEK,Day,9.59523,9.64151,9.57054,9.59755,173312.10159999997
2019-08-08,SEK,Day,9.59735,9.60428,9.5238,9.52753,144293.3791
2019-08-11,SEK,Day,9.53311,9.60358,9.52773,9.55983,146268.0493
2019-08-12,SEK,Day,9.55984,9.58789,9.52503,9.53568,200122.1095
2019-08-13,SEK,Day,9.53568,9.63755,9.49023,9.62901,179610.78900000002
2019-08-14,SEK,Day,9.62891,9.65572,9.59099,9.63662,239733.6592
2019-08-15,SEK,Day,9.63778,9.69304,9.63193,9.64613,224779.7694
2019-08-18,SEK,Day,9.63823,9.68736,9.63443,9.68352,129349.0797
2019-08-19,SEK,Day,9.68292,9.73292,9.67334,9.68675,111820.0802
2019-08-20,SEK,Day,9.6852,9.69276,9.60757,9.62182,105008.8997
2019-08-21,SEK,Day,9.62241,9.69059,9.59003,9.67471,146760.841
2019-08-22,SEK,Day,9.67491,9.6982,9.5664,9.57476,187131.4612
