Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,CAD,Month,1.30781,1.32141,1.30153,1.31897,2498531.2277
2019-07-31,CAD,Month,1.31896,1.33456,1.31773,1.33085,3503171.364299999
2019-08-31,CAD,Month,1.33157,1.33823,1.31333,1.32397,2291234.0824000025
2019-09-30,CAD,Month,1.32397,1.33476,1.30417,1.31621,2756433.181399998
2019-10-31,CAD,Month,1.31621,1.33273,1.31151,1.32727,1759479.5481999991
2019-11-30,CAD,Month,1.32723,1.33206,1.29514,1.29853,1626705.1307999997
2019-12-31,CAD,Month,1.29842,1.32532,1.29566,1.32347,2084966.0413
2020-01-31,CAD,Month,1.32374,1.34642,1.32018,1.33965,3605632.512299999
2020-02-29,CAD,Month,1.3433,1.46675,1.33146,1.40595,5330775.597300001
2020-03-31,CAD,Month,1.40595,1.42986,1.38498,1.39439,3846004.796200001
2020-04-30,CAD,Month,1.39439,1.41726,1.37141,1.3766,2519921.2605999983
2020-05-31,CAD,Month,1.37761,1.38004,1.33149,1.35739,3636253.971400002
2020-06-30,CAD,Month,1.3576,1.3646,1.33307,1.34097,2577165.215899999
2020-07-31,CAD,Month,1.34001,1.34509,1.30199,1.30461,3139227.527800002
2020-08-31,CAD,Month,1.30456,1.34201,1.29938,1.33156,2672589.637800001
2020-09-30,CAD,Month,1.33161,1.33897,1.30806,1.33185,1983040.0068
2020-10-31,CAD,Month,1.33151,1.33702,1.29228,1.29967,2019095.3408999988
2020-11-30,CAD,Month,1.29967,1.30078,1.26876,1.27219,1728647.7909
2020-12-31,CAD,Month,1.27136,1.2881,1.25885,1.27718,1997447.232400001
2021-01-31,CAD,Month,1.27865,1.28695,1.24676,1.27346,1768453.9701000017
2021-02-28,CAD,Month,1.27284,1.2737,1.23647,1.25612,2233480.1809
2021-03-31,CAD,Month,1.25612,1.26532,1.22656,1.22865,1449128.4323999996
2021-04-30,CAD,Month,1.22875,1.23513,1.20124,1.20621,1642901.1009999989
2021-05-31,CAD,Month,1.20629,1.24866,1.20064,1.23955,1653568.4921999995
2021-06-30,CAD,Month,1.23949,1.28072,1.23023,1.24661,2096109.2600999984
2021-07-31,CAD,Month,1.24784,1.29487,1.24525,1.26146,1704671.9207999995
2021-08-31,CAD,Month,1.26141,1.28956,1.24932,1.26771,2137318.3101000013
2021-09-30,CAD,Month,1.26772,1.27383,1.22879,1.23823,1969912.8392999996
2021-10-31,CAD,Month,1.23804,1.28367,1.23514,1.2776,2107052.2122000004
2021-11-30,CAD,Month,1.27756,1.29633,1.26063,1.26356,2320189.7098000003
2021-12-31,CAD,Month,1.26327,1.28134,1.24497,1.27049,2836562.550600001
2022-01-31,CAD,Month,1.27049,1.28771,1.26355,1.26703,3156523.3997999984
2022-02-28,CAD,Month,1.26702,1.29006,1.24293,1.25032,3438355.3989999983
2022-03-31,CAD,Month,1.24963,1.28792,1.24024,1.28536,2624105.001700003
2022-04-30,CAD,Month,1.28291,1.30761,1.26287,1.26445,3662469.6200000006
2022-05-31,CAD,Month,1.26455,1.30785,1.25172,1.28716,3496250.054199999
2022-06-30,CAD,Month,1.28713,1.32233,1.27881,1.27925,3528186.6492999992
2022-07-31,CAD,Month,1.27974,1.31401,1.27272,1.31263,4705928.432200008
2022-08-31,CAD,Month,1.31263,1.38376,1.29533,1.38305,6367339.845400005
2022-09-30,CAD,Month,1.38085,1.39769,1.34946,1.36214,7463672.148499997
2022-10-31,CAD,Month,1.362,1.38075,1.32254,1.34078,6497358.3977000015
2022-11-30,CAD,Month,1.34218,1.37046,1.33842,1.3546,4325644.366600002
2022-12-31,CAD,Month,1.35256,1.36849,1.32983,1.33042,3366527.709800001
2023-01-31,CAD,Month,1.33041,1.36647,1.32616,1.3645,3099275.047900001
2023-02-28,CAD,Month,1.36447,1.38615,1.3507,1.35132,3896863.496700003
2023-03-31,CAD,Month,1.34941,1.36675,1.33001,1.35412,1710359.9799000008
2023-04-30,CAD,Month,1.35333,1.36542,1.33143,1.35715,1674357.4723000014
2023-05-31,CAD,Month,1.35715,1.35846,1.3116,1.32431,1726948.6071000008
2023-06-30,CAD,Month,1.32334,1.33867,1.3092,1.3213,759414.3699999984
