Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,THB,Month,30.6612,31.0112,30.5022,30.7072,178193.46999999977
2019-07-31,THB,Month,30.9082,30.9432,30.5435,30.6115,247337.80990000017
2019-08-31,THB,Month,30.6425,30.6865,30.3505,30.5975,180804.9099000001
2019-09-30,THB,Month,30.6035,30.6875,30.1464,30.1784,160833.05000000005
2019-10-31,THB,Month,30.1644,30.4294,30.1474,30.2074,125757.24000000014
2019-11-30,THB,Month,30.2084,30.3624,29.7054,29.7274,167508.66010000004
2019-12-31,THB,Month,30.1134,31.2774,30.0724,31.2054,260243.89999999985
2020-01-31,THB,Month,31.1594,31.9214,30.9004,31.5164,304576.0300000002
2020-02-29,THB,Month,31.5264,33.0544,31.2554,32.7664,481555.75959999976
2020-03-31,THB,Month,32.7124,33.1804,32.2754,32.4714,364207.4003
2020-04-30,THB,Month,32.4484,32.5684,31.7874,31.8164,215569.9505000001
2020-05-31,THB,Month,31.8204,31.8204,30.7974,30.8694,316664.2998999997
2020-06-30,THB,Month,30.8794,31.8514,30.8794,31.2114,227466.15000000008
2020-07-31,THB,Month,31.2524,31.6324,30.9524,31.0484,191951.85000000012
2020-08-31,THB,Month,31.0414,31.7444,30.9374,31.5694,190803.40000000005
2020-09-30,THB,Month,31.6124,31.6524,30.9934,31.1744,124722.8
2020-10-31,THB,Month,31.1774,31.2017,30.1224,30.2794,178808.00980000012
2020-11-30,THB,Month,30.2864,30.2878,29.7459,29.9764,118822.57000000002
2020-12-31,THB,Month,29.9894,30.1874,29.8344,29.9084,140585.4601
2021-01-31,THB,Month,29.8994,30.5294,29.8374,30.4194,143683.7599
2021-02-28,THB,Month,30.4181,31.3951,30.1594,31.2352,283227.9292999999
2021-03-31,THB,Month,31.2382,31.5942,31.1094,31.1774,215372.96000000008
2021-04-30,THB,Month,31.1974,31.5112,31.0282,31.1824,208955.1397000001
2021-05-31,THB,Month,31.1802,32.1472,31.0204,32.0284,224386.51980000007
2021-06-30,THB,Month,32.0184,32.9832,31.9664,32.9164,183623.47980000035
2021-07-31,THB,Month,32.9364,33.4862,32.1894,32.2264,169239.2600000001
2021-08-31,THB,Month,32.1934,33.9932,32.1774,33.6654,182785.42990000013
2021-09-30,THB,Month,33.6391,33.9842,32.9674,33.3434,152225.99979999996
2021-10-31,THB,Month,33.2661,33.8142,32.5544,33.7192,137761.95999999996
2021-11-30,THB,Month,33.6584,33.9912,33.1454,33.1984,102450.81999999992
2021-12-31,THB,Month,33.2164,33.7362,32.7944,33.2404,133588.49000000002
2022-01-31,THB,Month,33.2024,33.2781,32.0774,32.6972,164840.00980000017
2022-02-28,THB,Month,32.6732,33.7984,32.4212,33.2254,186225.0298000001
2022-03-31,THB,Month,33.2474,34.4912,33.2474,34.2284,135607.74010000005
2022-04-30,THB,Month,34.234,34.8381,34.0032,34.2644,168586.02000000008
2022-05-31,THB,Month,34.288,35.5701,34.1744,35.2964,164673.32999999993
2022-06-30,THB,Month,35.3184,36.9431,35.3154,36.3352,225905.5902
2022-07-31,THB,Month,36.3114,36.587,35.0501,36.5524,273255.3498000001
2022-08-31,THB,Month,36.631,38.4514,36.1861,37.8262,392354.7699000001
2022-09-30,THB,Month,37.8199,38.4534,37.1154,38.0524,396731.20960000006
2022-10-31,THB,Month,38.0414,38.0414,35.1644,35.2174,262201.56050000025
2022-11-30,THB,Month,35.0124,35.1524,34.4735,34.6144,251355.8799000001
2022-12-31,THB,Month,34.5824,34.5874,32.5605,32.8135,372467.5193000004
2023-01-31,THB,Month,32.8475,35.3845,32.6445,35.1905,383995.0191000002
2023-02-28,THB,Month,35.3115,35.3195,33.9085,34.1525,451501.2297999999
2023-03-31,THB,Month,34.2705,34.5155,33.7725,34.1525,225580.50000000003
2023-04-30,THB,Month,34.1405,34.8885,33.4955,34.6955,289453.74000000034
2023-05-31,THB,Month,34.6355,35.7375,34.4395,35.2845,283482.3607
2023-06-30,THB,Month,35.2915,35.3085,34.4874,34.6525,144444.8699999998
