Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,CZK,Week,22.3745,22.7575,22.3565,22.7027,216439.5099
2019-07-07,CZK,Week,22.6996,22.8155,22.677,22.6938,226664.2316000001
2019-07-14,CZK,Week,22.6896,22.8557,22.6325,22.7409,241276.91889999996
2019-07-21,CZK,Week,22.7573,23.0062,22.7407,22.9742,276137.0397000001
2019-07-28,CZK,Week,22.9636,23.35,22.94,23.1668,385107.2589000001
2019-08-04,CZK,Week,23.1614,23.1834,22.9065,23.0741,390687.7093999999
2019-08-11,CZK,Week,23.0498,23.3075,23.002,23.2072,378582.9801
2019-08-18,CZK,Week,23.1848,23.3255,23.1695,23.216,281266.04
2019-08-25,CZK,Week,23.1905,23.6655,23.1405,23.5876,348670.2226
2019-09-01,CZK,Week,23.5992,23.6965,23.3245,23.4228,251388.2906
2019-09-08,CZK,Week,23.4239,23.6375,23.2625,23.3234,238257.6205
2019-09-15,CZK,Week,23.3251,23.5425,23.3125,23.4535,283157.1815
2019-09-22,CZK,Week,23.471,23.6935,23.4485,23.6039,288579.7207
2019-09-29,CZK,Week,23.6047,23.7205,23.3724,23.4131,289362.18959999987
2019-10-06,CZK,Week,23.4091,23.5814,23.3124,23.3795,267186.79970000003
2019-10-13,CZK,Week,23.3626,23.4884,22.9251,22.9283,259461.4299
2019-10-20,CZK,Week,22.9553,23.0906,22.9154,23.0499,218680.88929999992
2019-10-27,CZK,Week,23.0621,23.0904,22.8134,22.8323,225523.33940000008
2019-11-03,CZK,Week,22.8384,23.1424,22.8254,23.1143,215668.1795000001
2019-11-10,CZK,Week,23.1169,23.2694,23.0971,23.147,174683.94970000003
2019-11-17,CZK,Week,23.1258,23.1595,22.9814,23.1195,173209.8596
2019-11-24,CZK,Week,23.1284,23.2454,23.0718,23.161,151692.59019999998
2019-12-01,CZK,Week,23.1442,23.2126,22.9574,23.0583,197976.72899999996
2019-12-08,CZK,Week,23.0726,23.0924,22.7784,22.8863,245154.00150000007
2019-12-15,CZK,Week,22.8964,22.9804,22.7724,22.9455,195092.8095000001
2019-12-22,CZK,Week,22.9414,23.0583,22.7496,22.7599,147170.7301
2019-12-29,CZK,Week,22.7468,22.7894,22.6044,22.7051,180739.4793
2020-01-05,CZK,Week,22.7104,22.7864,22.5334,22.7006,236042.33050000013
2020-01-12,CZK,Week,22.7124,22.7334,22.4554,22.6763,178761.29989999998
2020-01-19,CZK,Week,22.6424,22.8247,22.5134,22.8191,166387.41959999996
2020-01-26,CZK,Week,22.7855,22.9624,22.708,22.7259,179145.28970000002
2020-02-02,CZK,Week,22.702,22.8984,22.6034,22.8691,193008.4287
2020-02-09,CZK,Week,22.8714,22.9715,22.7524,22.9658,182658.3191
2020-02-16,CZK,Week,22.9184,23.2564,22.8464,23.0683,194671.709
2020-02-23,CZK,Week,23.1169,23.3493,22.9559,23.0527,410638.16029999993
2020-03-01,CZK,Week,23.0339,23.0574,22.3444,22.4783,628446.7899999999
2020-03-08,CZK,Week,22.4024,23.827,22.202,23.654,815291.6277000001
2020-03-15,CZK,Week,23.6232,26.0694,23.5425,25.3474,573868.4883000002
2020-03-22,CZK,Week,25.441,25.9432,24.4783,24.5183,632431.0414000002
2020-03-29,CZK,Week,24.5066,25.7778,24.4714,25.6253,430231.7413000002
2020-04-05,CZK,Week,25.5905,25.6701,24.5744,24.6309,375820.1705
2020-04-12,CZK,Week,24.5432,25.1884,24.3644,24.9902,343277.06060000014
2020-04-19,CZK,Week,24.9719,25.6473,24.9628,25.0479,318819.5210000001
2020-04-26,CZK,Week,25.0967,25.2728,24.5946,24.7395,227633.03049999996
2020-05-03,CZK,Week,24.7333,25.3614,24.717,25.0955,222933.2305
2020-05-10,CZK,Week,25.147,25.6462,25.0064,25.5813,241436.1612999999
2020-05-17,CZK,Week,25.5389,25.5832,24.6414,24.97,230806.61049999995
2020-05-24,CZK,Week,25.0162,25.1274,24.1464,24.2074,256324.64149999997
2020-05-31,CZK,Week,24.1955,24.2465,23.3434,23.5351,348345.2213
2020-06-07,CZK,Week,23.4799,23.8574,23.224,23.7186,419582.0914
2020-06-14,CZK,Week,23.7742,23.9312,23.4051,23.8215,457199.9884000001
2020-06-21,CZK,Week,23.7858,23.9934,23.4524,23.8291,279183.8815
2020-06-28,CZK,Week,23.8301,23.9617,23.5345,23.6817,249378.5906
2020-07-05,CZK,Week,23.7057,23.783,23.4264,23.592,246864.6594
2020-07-12,CZK,Week,23.5405,23.6406,23.2174,23.2924,241766.91080000007
2020-07-19,CZK,Week,23.2979,23.3424,22.4715,22.481,325841.0807
2020-07-26,CZK,Week,22.5134,22.5914,21.9863,22.259,367919.6695
2020-08-02,CZK,Week,22.2626,22.4914,21.8864,22.2875,349860.9097
2020-08-09,CZK,Week,22.2897,22.3595,22.0,22.0134,320188.5506999999
2020-08-16,CZK,Week,22.024,22.1955,21.8054,22.0597,287095.5112
2020-08-23,CZK,Week,22.0566,22.344,21.909,21.9166,323163.29179999995
2020-08-30,CZK,Week,21.9189,22.4766,21.7985,22.3395,288111.3698
2020-09-06,CZK,Week,22.3261,22.5824,22.2857,22.4165,250110.34010000003
2020-09-13,CZK,Week,22.4348,22.7863,22.3774,22.5635,229412.67120000007
2020-09-20,CZK,Week,22.5191,23.3859,22.5124,23.2855,283424.58959999995
2020-09-27,CZK,Week,23.3062,23.3834,22.8314,23.1466,274087.24880000006
2020-10-04,CZK,Week,23.1039,23.1534,22.8185,22.8186,235921.7787
2020-10-11,CZK,Week,22.8925,23.4182,22.8473,23.2586,230901.3889
2020-10-18,CZK,Week,23.2012,23.3509,22.7954,22.9165,247430.02
2020-10-25,CZK,Week,22.9315,23.4922,22.9235,23.3619,404350.3211
2020-11-01,CZK,Week,23.3585,23.4578,22.3396,22.3618,510447.5312
2020-11-08,CZK,Week,22.3474,22.5245,22.1972,22.3073,549497.2996999996
2020-11-15,CZK,Week,22.3038,22.3741,22.0673,22.2101,290964.2587
2020-11-22,CZK,Week,22.2054,22.3225,21.8269,21.8448,162638.61990000008
2020-11-29,CZK,Week,21.8674,22.0131,21.6904,21.8205,195980.0797000001
2020-12-06,CZK,Week,21.8354,21.9679,21.5584,21.754,197026.34889999995
2020-12-13,CZK,Week,21.6624,21.7444,21.2814,21.3067,172668.0097
2020-12-20,CZK,Week,21.3814,21.7186,21.3444,21.4527,140730.0397
2020-12-27,CZK,Week,21.4584,21.5967,21.2751,21.4541,117893.8993
2021-01-03,CZK,Week,21.4324,21.4619,21.1331,21.3903,250892.58849999995
2021-01-10,CZK,Week,21.3948,21.6861,21.3594,21.6569,209540.97939999995
2021-01-17,CZK,Week,21.6304,21.7283,21.4052,21.4477,185161.1586
2021-01-24,CZK,Week,21.4454,21.6465,21.372,21.431,279571.4793999999
2021-01-31,CZK,Week,21.4134,21.6555,21.3704,21.3819,208243.5298
2021-02-07,CZK,Week,21.4174,21.4471,21.1984,21.2194,169065.05019999997
2021-02-14,CZK,Week,21.2159,21.5141,21.1093,21.3444,239908.44000000003
2021-02-21,CZK,Week,21.3624,21.6939,21.241,21.6664,303322.7293999999
2021-02-28,CZK,Week,21.6604,22.153,21.4537,22.0924,353007.45080000005
2021-03-07,CZK,Week,22.0694,22.3054,21.8115,21.8768,262470.9506
2021-03-14,CZK,Week,21.887,22.013,21.6355,21.8748,218065.07030000008
2021-03-21,CZK,Week,21.9296,22.2734,21.8194,22.0846,189989.8899
2021-03-28,CZK,Week,22.0726,22.3424,22.0726,22.1399,146758.26970000006
2021-04-04,CZK,Week,22.1374,22.2174,21.6457,21.8499,182444.2805
2021-04-11,CZK,Week,21.8253,21.9924,21.577,21.6274,296640.7692
2021-04-18,CZK,Week,21.6181,21.7057,21.3245,21.3245,234650.67040000003
2021-04-25,CZK,Week,21.3306,21.5323,21.2705,21.5011,286428.79050000006
2021-05-02,CZK,Week,21.4885,21.578,21.0474,21.0584,213784.0007
2021-05-09,CZK,Week,21.0515,21.2142,20.9401,20.9407,273372.3587
2021-05-16,CZK,Week,20.9543,21.0172,20.7459,20.8804,304977.9303
2021-05-23,CZK,Week,20.8813,20.9772,20.7132,20.8615,227906.7709000001
2021-05-30,CZK,Week,20.8583,21.0413,20.7399,20.8754,198172.0382
2021-06-06,CZK,Week,20.8914,21.0,20.7564,20.9405,165148.83049999998
2021-06-13,CZK,Week,20.9568,21.5824,20.9175,21.5395,242689.7293
2021-06-20,CZK,Week,21.5431,21.5885,21.1915,21.3353,213669.4501
2021-06-27,CZK,Week,21.2696,21.6736,21.2696,21.5274,193375.4404
2021-07-04,CZK,Week,21.5137,21.9163,21.4565,21.6555,235696.1901000001
2021-07-11,CZK,Week,21.6703,21.8246,21.5615,21.6064,212472.24000000008
2021-07-18,CZK,Week,21.5662,21.8577,21.5651,21.7624,221776.13990000007
2021-07-25,CZK,Week,21.7573,21.8513,21.3799,21.4539,192842.52020000003
2021-08-01,CZK,Week,21.4657,21.6373,21.2448,21.5844,199659.3498
2021-08-08,CZK,Week,21.5286,21.711,21.5013,21.5039,144611.61969999995
2021-08-15,CZK,Week,21.4774,21.9134,21.395,21.8383,173521.30029999992
2021-08-22,CZK,Week,21.7928,21.8567,21.5971,21.6048,185565.3799
2021-08-29,CZK,Week,21.6059,21.7002,21.3076,21.3303,169564.4997
2021-09-05,CZK,Week,21.3185,21.5325,21.2294,21.4331,170481.68069999994
2021-09-12,CZK,Week,21.419,21.6411,21.3788,21.6223,159339.59030000007
2021-09-19,CZK,Week,21.5804,21.7359,21.5495,21.6627,199541.1886
2021-09-26,CZK,Week,21.6613,22.0657,21.647,21.8135,201652.2102000001
2021-10-03,CZK,Week,21.8111,22.057,21.7353,21.9674,163249.52930000002
2021-10-10,CZK,Week,21.968,22.0459,21.8237,21.8623,157410.20000000004
2021-10-17,CZK,Week,21.821,22.0837,21.8022,22.0387,159020.78919999997
2021-10-24,CZK,Week,22.0067,22.2399,21.9865,22.1643,202006.3396
2021-10-31,CZK,Week,22.1497,22.2354,21.7927,21.7995,205910.56000000003
2021-11-07,CZK,Week,21.8004,22.0855,21.7021,22.0379,216548.6807
2021-11-14,CZK,Week,22.0214,22.5788,21.9962,22.5174,226756.0105000001
2021-11-21,CZK,Week,22.4974,22.9246,22.4877,22.6513,289158.9198999999
2021-11-28,CZK,Week,22.7014,22.7935,22.3898,22.4503,281902.33160000003
2021-12-05,CZK,Week,22.4584,22.6791,22.364,22.3731,180347.9108
2021-12-12,CZK,Week,22.3794,22.5403,22.2183,22.4011,180944.2197
2021-12-19,CZK,Week,22.4384,22.4424,21.9984,22.0498,193630.2102000001
2021-12-26,CZK,Week,22.0824,22.2247,21.8248,21.8559,107272.01970000002
2022-01-02,CZK,Week,21.8624,22.0046,21.4902,21.4915,186565.4205999999
