Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,JPY,Week,108.15,108.637,107.532,108.454,620440.8274000001
2019-07-07,JPY,Week,108.411,108.99,107.804,107.884,665976.4305000004
2019-07-14,JPY,Week,107.861,108.375,107.211,107.698,695173.2090000004
2019-07-21,JPY,Week,107.711,108.828,107.699,108.662,630697.7685000001
2019-07-28,JPY,Week,108.62,109.318,106.508,106.55,1180540.4876000006
2019-08-04,JPY,Week,106.549,107.087,105.268,105.638,1590536.7369
2019-08-11,JPY,Week,105.545,106.973,105.049,106.358,1454616.6652999998
2019-08-18,JPY,Week,106.245,106.734,105.254,105.363,995042.314
2019-08-25,JPY,Week,104.947,106.681,104.453,106.228,1218813.6446999998
2019-09-01,JPY,Week,106.061,107.232,105.737,106.914,923936.3354
2019-09-08,JPY,Week,106.82,108.259,106.761,108.057,949514.6322
2019-09-15,JPY,Week,107.476,108.475,107.457,107.535,905643.6396999996
2019-09-22,JPY,Week,107.714,108.18,106.961,107.862,1063773.5999999996
2019-09-29,JPY,Week,107.96,108.47,106.483,106.89,1063648.419
2019-10-06,JPY,Week,106.651,108.628,106.649,108.358,991878.0429999996
2019-10-13,JPY,Week,108.343,108.939,108.032,108.371,766616.5768000002
2019-10-20,JPY,Week,108.453,108.773,108.25,108.655,682891.6006999997
2019-10-27,JPY,Week,108.74,109.287,107.887,108.168,655839.5318
2019-11-03,JPY,Week,108.218,109.487,108.182,109.217,634891.8471000002
2019-11-10,JPY,Week,109.195,109.292,108.237,108.773,556071.8791999997
2019-11-17,JPY,Week,108.782,109.073,108.279,108.619,636695.7722999998
2019-11-24,JPY,Week,108.673,109.669,108.611,109.469,448739.3595999999
2019-12-01,JPY,Week,109.509,109.727,108.427,108.534,636544.2590999999
2019-12-08,JPY,Week,108.614,109.707,108.43,109.32,550348.9989000002
2019-12-15,JPY,Week,109.267,109.685,109.181,109.429,401757.041
2019-12-22,JPY,Week,109.4,109.684,109.273,109.421,322510.038
2019-12-29,JPY,Week,109.408,109.472,107.839,108.047,559796.9271000001
2020-01-05,JPY,Week,107.838,109.689,107.651,109.451,729736.6829
2020-01-12,JPY,Week,109.528,110.29,109.504,110.102,463758.0493999998
2020-01-19,JPY,Week,110.083,110.223,109.172,109.267,484731.5074
2020-01-26,JPY,Week,108.916,109.265,108.308,108.308,794018.6421999999
2020-02-02,JPY,Week,108.416,110.021,108.315,109.699,676036.6688999995
2020-02-09,JPY,Week,109.686,110.133,109.561,109.729,1719306.9486000005
2020-02-16,JPY,Week,109.847,112.224,109.657,111.542,680440.2118000002
2020-02-23,JPY,Week,111.256,111.681,107.51,107.994,1884089.3657999996
2020-03-01,JPY,Week,107.434,108.578,104.993,105.283,1804629.5359
2020-03-08,JPY,Week,104.211,108.501,101.18,107.899,2389401.3466000007
2020-03-15,JPY,Week,107.078,111.503,105.146,110.659,2993572.435499999
2020-03-22,JPY,Week,110.749,111.713,107.755,107.9,2208212.312099999
2020-03-29,JPY,Week,107.69,108.727,106.915,108.509,1392254.4002000005
2020-04-05,JPY,Week,108.344,109.381,108.207,108.338,1068274.0873
2020-04-12,JPY,Week,108.383,108.526,106.926,107.506,842653.5160999999
2020-04-19,JPY,Week,107.472,108.042,107.281,107.491,733509.9321
2020-04-26,JPY,Week,107.533,107.622,106.357,106.871,849856.3315000001
2020-05-03,JPY,Week,106.831,107.069,105.986,106.608,662913.5274000003
2020-05-10,JPY,Week,106.516,107.768,106.486,107.034,598908.1006000001
2020-05-17,JPY,Week,107.084,108.088,107.068,107.597,524862.5894
2020-05-24,JPY,Week,107.56,107.947,107.079,107.767,592648.0799000002
2020-05-31,JPY,Week,107.678,109.849,107.376,109.581,943463.0945
2020-06-07,JPY,Week,109.563,109.693,106.571,107.379,1184494.6208000006
2020-06-14,JPY,Week,107.295,107.639,106.668,106.856,990213.7398999992
2020-06-21,JPY,Week,106.769,107.451,106.072,107.206,896671.5111999998
