Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,PLN,Week,3.73439,3.79618,3.72968,3.78335,406890.0109
2019-07-07,PLN,Week,3.78554,3.81308,3.77993,3.78198,314072.2293
2019-07-14,PLN,Week,3.78587,3.80538,3.77032,3.78664,266358.6504
2019-07-21,PLN,Week,3.78622,3.84604,3.78167,3.83235,463268.99139999977
2019-07-28,PLN,Week,3.83571,3.9001,3.83293,3.87614,576645.8710999998
2019-08-04,PLN,Week,3.87276,3.88113,3.84048,3.85248,530341.7396000001
2019-08-11,PLN,Week,3.85923,3.94729,3.85348,3.90288,640389.7606
2019-08-18,PLN,Week,3.9068,3.94968,3.90421,3.91918,488631.5006
2019-08-25,PLN,Week,3.92065,3.99721,3.91628,3.97248,640279.8205000003
2019-09-01,PLN,Week,3.97854,3.99848,3.91248,3.92368,454254.2405999999
2019-09-08,PLN,Week,3.93184,3.96179,3.89411,3.89881,373253.3308
2019-09-15,PLN,Week,3.89839,3.97929,3.89774,3.95878,352140.2122999999
2019-09-22,PLN,Week,3.96779,4.02123,3.96454,3.99488,324628.94100000005
2019-09-29,PLN,Week,4.00201,4.02448,3.92435,3.92435,362854.5018999999
2019-10-06,PLN,Week,3.93171,3.95326,3.88825,3.89145,372449.6509
2019-10-13,PLN,Week,3.89843,3.9096,3.82576,3.82945,383612.9810999999
2019-10-20,PLN,Week,3.83514,3.86419,3.82535,3.84976,337941.7808
2019-10-27,PLN,Week,3.85869,3.86431,3.80395,3.80516,351254.6005
2019-11-03,PLN,Week,3.80645,3.87265,3.80195,3.85936,325416.2007
2019-11-10,PLN,Week,3.86392,3.90731,3.86305,3.8633,292682.4911
2019-11-17,PLN,Week,3.86314,3.90186,3.86296,3.89141,296000.3903
2019-11-24,PLN,Week,3.89637,3.9331,3.89322,3.90839,285898.1606
2019-12-01,PLN,Week,3.90834,3.91706,3.84515,3.85871,306565.5705
2019-12-08,PLN,Week,3.86426,3.87656,3.8197,3.83233,411157.8821
2019-12-15,PLN,Week,3.83386,3.84973,3.81155,3.83805,326060.96140000003
2019-12-22,PLN,Week,3.83856,3.85486,3.80574,3.80574,220412.9201
2019-12-29,PLN,Week,3.80735,3.82585,3.78491,3.79093,282325.0605
2020-01-05,PLN,Week,3.79803,3.83145,3.77815,3.80222,385356.3903
2020-01-12,PLN,Week,3.80661,3.82581,3.77434,3.81598,290393.5508
2020-01-19,PLN,Week,3.81933,3.86515,3.80865,3.85583,262229.7908
2020-01-26,PLN,Week,3.85479,3.90335,3.85405,3.86816,269956.1109
2020-02-02,PLN,Week,3.87133,3.90557,3.84943,3.89943,267378.94060000003
2020-02-09,PLN,Week,3.90459,3.92526,3.89015,3.91665,251113.7207
2020-02-16,PLN,Week,3.91757,3.97178,3.91545,3.94883,270226.86030000006
2020-02-23,PLN,Week,3.9667,3.98245,3.91715,3.91891,499702.12860000005
2020-03-01,PLN,Week,3.91658,3.92634,3.78085,3.80235,684102.8917999999
2020-03-08,PLN,Week,3.7871,3.96572,3.75558,3.93307,1143891.8301999995
2020-03-15,PLN,Week,3.95598,4.29825,3.89226,4.24962,1348045.4486000007
2020-03-22,PLN,Week,4.2483,4.30716,4.06151,4.06519,1105179.4927
2020-03-29,PLN,Week,4.07091,4.25115,4.06755,4.23522,948191.2015999998
2020-04-05,PLN,Week,4.24193,4.24983,4.13711,4.15241,697357.8544000001
2020-04-12,PLN,Week,4.15497,4.20499,4.10965,4.14852,653980.5105999999
2020-04-19,PLN,Week,4.15155,4.23121,4.14334,4.17963,502585.1793
2020-04-26,PLN,Week,4.18484,4.20531,4.13471,4.14856,385736.9795
2020-05-03,PLN,Week,4.15762,4.23535,4.15383,4.19375,408171.5412999998
2020-05-10,PLN,Week,4.19725,4.24096,4.1824,4.21673,430445.3204000001
