Date,Symbol,Frequency,Open,High,Low,Close,Volume
2019-06-30,RON,Week,4.17215,4.21427,4.16455,4.20066,106055.0
2019-07-07,RON,Week,4.20809,4.22243,4.18973,4.19223,102133.5
2019-07-14,RON,Week,4.19597,4.22461,4.19127,4.20802,85886.63
2019-07-21,RON,Week,4.21424,4.25285,4.20461,4.2385,90959.5
2019-07-28,RON,Week,4.24577,4.29078,4.23244,4.24936,102182.99
2019-08-04,RON,Week,4.251,4.25499,4.20563,4.21718,140422.5
2019-08-11,RON,Week,4.21355,4.27292,4.20277,4.25681,104660.0
2019-08-18,RON,Week,4.26176,4.27376,4.23157,4.23294,73998.0
2019-08-25,RON,Week,4.23596,4.30952,4.2353,4.29781,100422.25
2019-09-01,RON,Week,4.29954,4.32875,4.26746,4.28543,94460.0
2019-09-08,RON,Week,4.29118,4.33064,4.26262,4.27204,112532.0
2019-09-15,RON,Week,4.27508,4.32092,4.27008,4.30913,99756.0
2019-09-22,RON,Week,4.30819,4.35237,4.30719,4.34505,103405.0
2019-09-29,RON,Week,4.34595,4.36295,4.31582,4.32121,92684.0
2019-10-06,RON,Week,4.32267,4.3405,4.29436,4.30338,111213.0
2019-10-13,RON,Week,4.30846,4.32538,4.2533,4.2533,103185.0
2019-10-20,RON,Week,4.26151,4.29143,4.25636,4.28416,76712.0
2019-10-27,RON,Week,4.28623,4.29559,4.25202,4.25318,81628.0
2019-11-03,RON,Week,4.25268,4.32324,4.24965,4.31799,82357.25
2019-11-10,RON,Week,4.32005,4.33638,4.31055,4.31055,65789.25
2019-11-17,RON,Week,4.30932,4.33568,4.30415,4.32958,62891.75
2019-11-24,RON,Week,4.32913,4.36902,4.32349,4.33582,54106.75
2019-12-01,RON,Week,4.33618,4.34166,4.2954,4.31565,63659.75
2019-12-08,RON,Week,4.31453,4.32134,4.27102,4.2935,79472.75
2019-12-15,RON,Week,4.28815,4.30869,4.27375,4.30329,64793.5
2019-12-22,RON,Week,4.30102,4.317,4.27545,4.27642,37679.25
2019-12-29,RON,Week,4.26801,4.29504,4.25446,4.27369,40501.5
2020-01-05,RON,Week,4.27279,4.31085,4.26035,4.29272,80824.25
2020-01-12,RON,Week,4.29317,4.31065,4.27662,4.30564,67821.0
2020-01-19,RON,Week,4.30259,4.33697,4.29567,4.33344,61704.5
2020-01-26,RON,Week,4.33268,4.34663,4.30313,4.30313,61883.0
2020-02-02,RON,Week,4.3104,4.35042,4.30886,4.34601,65016.25
2020-02-09,RON,Week,4.34512,4.40233,4.34423,4.39997,61304.25
2020-02-16,RON,Week,4.39804,4.44929,4.39804,4.41664,60967.75
2020-02-23,RON,Week,4.43256,4.44563,4.35336,4.36132,142300.5
2020-03-01,RON,Week,4.35601,4.36161,4.23774,4.25435,172068.0
2020-03-08,RON,Week,4.2169,4.36291,4.18976,4.34167,335668.25
2020-03-15,RON,Week,4.32865,4.55666,4.29321,4.52727,323132.25
2020-03-22,RON,Week,4.52211,4.54521,4.33481,4.33481,159380.25
2020-03-29,RON,Week,4.3642,4.48192,4.35348,4.46329,200312.5
2020-04-05,RON,Week,4.45798,4.48473,4.40653,4.41249,38009.5
2020-04-12,RON,Week,4.41198,4.47329,4.39647,4.44107,48375.0
2020-04-19,RON,Week,4.44616,4.51236,4.43735,4.46561,116920.25
2020-04-26,RON,Week,4.45643,4.47809,4.3886,4.39892,110648.0
2020-05-03,RON,Week,4.41473,4.48181,4.40973,4.44963,102724.0
2020-05-10,RON,Week,4.4456,4.48834,4.43581,4.4708,78289.0
